Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Connors,Steve Kent,Alexander Tilley,Judy Vanta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 74","Holyrood",104,64,1,17,0,186,509
10001,"Avalon/Avalon"," 75","Holyrood",82,39,1,6,0,128,385
10001,"Avalon/Avalon"," 76","Holyrood",61,74,1,9,5,150,414
10001,"Avalon/Avalon"," 77","Holyrood",70,80,1,13,0,164,431
10001,"Avalon/Avalon"," 78A","Conception Bay South",112,91,2,11,0,216,523
10001,"Avalon/Avalon"," 78B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,13
10001,"Avalon/Avalon"," 79","Conception Bay South",93,83,4,12,2,194,531
10001,"Avalon/Avalon"," 80","Conception Bay South",126,117,1,7,0,251,604
10001,"Avalon/Avalon"," 81","Conception Bay South",106,65,0,7,0,178,485
10001,"Avalon/Avalon"," 82","Conception Bay South",138,87,0,6,0,231,568
10001,"Avalon/Avalon"," 83","Conception Bay South",106,106,1,10,1,224,551
10001,"Avalon/Avalon"," 84","Conception Bay South",89,67,1,12,0,169,436
10001,"Avalon/Avalon"," 85A","Conception Bay South",100,69,1,5,0,175,446
10001,"Avalon/Avalon"," 85B","Mobile poll/Bureau itinérant",51,30,0,0,7,88,21
10001,"Avalon/Avalon"," 86","Conception Bay South",138,69,2,22,0,231,596
10001,"Avalon/Avalon"," 87","Conception Bay South",76,54,0,2,0,132,331
10001,"Avalon/Avalon"," 88","Conception Bay South",147,88,2,18,0,255,636
10001,"Avalon/Avalon"," 89","Conception Bay South",130,102,3,16,1,252,594
10001,"Avalon/Avalon"," 90","Conception Bay South",120,72,0,12,0,204,524
10001,"Avalon/Avalon"," 91","Conception Bay South",157,93,2,8,0,260,565
10001,"Avalon/Avalon"," 92","Conception Bay South",112,88,0,15,0,215,587
10001,"Avalon/Avalon"," 93","Conception Bay South",88,53,1,12,0,154,497
10001,"Avalon/Avalon"," 94","Conception Bay South",115,61,1,12,0,189,494
10001,"Avalon/Avalon"," 95","Conception Bay South",138,66,1,11,0,216,453
10001,"Avalon/Avalon"," 96","Conception Bay South",97,68,0,17,0,182,481
10001,"Avalon/Avalon"," 97","Conception Bay South",92,68,3,4,0,167,518
10001,"Avalon/Avalon"," 98","Conception Bay South",127,101,0,11,0,239,619
10001,"Avalon/Avalon"," 99","Conception Bay South",58,44,0,4,2,108,374
10001,"Avalon/Avalon"," 100","Conception Bay South",93,66,1,10,1,171,596
10001,"Avalon/Avalon"," 101","Conception Bay South",112,71,1,18,1,203,592
10001,"Avalon/Avalon"," 102","Conception Bay South",101,90,1,13,1,206,536
10001,"Avalon/Avalon"," 103","Conception Bay South",103,46,2,15,0,166,418
10001,"Avalon/Avalon"," 104","Conception Bay South",136,77,1,5,1,220,561
10001,"Avalon/Avalon"," 105","Conception Bay South",116,77,2,15,1,211,575
10001,"Avalon/Avalon"," 106","Conception Bay South",120,52,0,10,2,184,558
