Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amos Bradley,Patty Hajdu,Bob Herman,John Malcolm Northey,Joy Wakefield,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 608","Aroland",Combined with No./Résultats combinés à ceux du n°609,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 609","Aroland",0,48,26,0,5,0,79,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 610","Ogoki--Marten Falls 65",0,6,2,0,1,0,9,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 611","Longlac",7,118,119,1,13,2,260,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 612","Manitouwadge",4,216,243,7,21,1,492,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 613","Ginoogaming",Combined with No./Résultats combinés à ceux du n°611,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 614","Long Lake 58",Combined with No./Résultats combinés à ceux du n°611,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 615","Geraldton",4,145,103,1,17,1,271,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 616","Beardmore--Jellicoe",3,30,29,0,0,2,64,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 617","Lake Nipigon",Combined with No./Résultats combinés à ceux du n°616,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 618","Greenstone--Lake Nipigon",Combined with No./Résultats combinés à ceux du n°616,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 619","Sand Point First Nation",Combined with No./Résultats combinés à ceux du n°616,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 620","Rocky Bay 1",Combined with No./Résultats combinés à ceux du n°616,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 621","Lake Helen 53A",Combined with No./Résultats combinés à ceux du n°622,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 622","Nipigon",4,162,148,3,19,2,338,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 623","Gull Bay",Combined with No./Résultats combinés à ceux du n°604,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 624","Gorham",7,672,546,4,28,5,1262,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 625","Thunder Bay",8,762,350,11,78,7,1216,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 626","Thunder Bay",8,624,402,2,60,3,1099,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 627","Thunder Bay",5,768,338,11,49,5,1176,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 628","Thunder Bay",10,896,395,6,85,2,1394,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 629","Thunder Bay",5,722,332,7,70,1,1137,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 630","Thunder Bay",6,593,456,0,27,1,1083,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 631","Thunder Bay",4,847,419,4,47,3,1324,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 632","Thunder Bay",2,284,153,6,35,2,482,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 633","Thunder Bay",9,809,258,2,65,6,1149,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 634","Shuniah",4,387,299,3,29,0,722,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 635","Red Rock",6,138,119,2,24,0,289,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 636","Schreiber",7,180,112,2,25,0,326,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 637","Pays Plat 51",Combined with No./Résultats combinés à ceux du n°636,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 638","Terrace Bay",4,240,168,0,22,1,435,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 639","Marathon",2,278,202,3,30,2,517,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 640","Pic River 50",0,44,0,1,2,0,47,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 641","Michipicoten",Combined with No./Résultats combinés à ceux du n°640,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",,Group 1/Groupe 1, 7,443,215,8,76,32,781,252
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",,Group 2/Groupe 2, 20,2651,1233,36,272,62,4274,
