Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Leslie Bory,Larry Brock,Mike Clancy,Karleigh Csordas,Anne Gajerski-Cauley,Clo Marie,Joy O'Donnell,Nicholas Xenos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 502","Mobile poll/Bureau itinérant",1,58,1,0,7,0,48,1,5,121,125
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 503","Mobile poll/Bureau itinérant",1,14,2,2,3,0,13,0,4,39,121
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,46
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 505A","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505B,,,,,,,,,,7
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 505B","Mobile poll/Bureau itinérant",2,22,1,2,2,0,22,3,2,56,209
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,,,22
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,57
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,,45
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 509","Mobile poll/Bureau itinérant",1,22,0,1,4,1,38,0,3,70,71
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 510","Brantford",Combined with No./Résultats combinés à ceux du n°118,,,,,,,,,,37
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512A,,,,,,,,,,27
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 512A","Mobile poll/Bureau itinérant",1,23,1,3,11,0,28,0,2,69,155
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 512B","Brantford",Combined with No./Résultats combinés à ceux du n°129,,,,,,,,,,78
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 513","Mobile poll/Bureau itinérant",1,32,0,5,1,1,55,0,1,96,142
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,,38
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 515","Mobile poll/Bureau itinérant",0,12,1,1,4,1,7,0,3,29,88
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 600","Brant",0,889,2,19,41,2,468,5,3,1429,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 601","Brant",0,539,1,11,14,0,249,3,8,825,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 602","Brant",0,548,2,12,17,0,432,10,12,1033,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 603","Brantford",0,235,0,5,6,1,261,2,7,517,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 604","Brantford",2,718,2,13,41,1,719,6,3,1505,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 605","Brantford",1,594,1,9,43,1,614,7,5,1275,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 606","Brantford",3,409,0,10,22,0,407,2,1,854,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 607","Brant",0,399,1,5,20,1,379,5,6,816,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 608","Brantford",3,529,4,10,37,1,567,2,2,1155,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 609","Brantford",3,759,0,21,50,1,769,5,4,1612,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 610","Brantford",0,393,0,13,29,3,402,3,1,844,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 611","Brantford",1,463,0,17,18,1,603,4,1,1108,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 612","Brantford",0,463,5,19,33,1,617,6,0,1144,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 613","Brantford",0,346,3,11,35,0,357,4,2,758,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 614","Brantford",0,198,0,10,28,2,140,0,1,379,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 615","Brantford",1,486,0,12,43,1,389,5,2,939,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 616","Brantford",7,644,1,15,45,1,544,6,12,1275,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 617","Brant",3,658,4,10,17,0,485,9,0,1186,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 618","Six Nations (Part) 40",2,598,3,15,53,0,466,9,2,1148,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 619","Brantford",0,321,1,17,25,1,242,5,5,617,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 620","Brantford",2,295,1,13,16,1,337,1,2,668,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 621","Brantford",0,423,1,6,16,0,409,4,1,860,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 622","Brantford",1,485,0,9,24,2,453,0,0,974,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 623","Brantford",2,612,1,8,26,1,525,4,7,1186,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 624","Brant",1,197,3,6,8,0,151,3,0,369,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 625","Six Nations 40",0,48,0,7,18,0,109,2,0,184,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 626","New Credit 40A",1,40,0,4,15,1,97,1,0,159,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 627","Six Nations 40",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,,,
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations",,Group 1/Groupe 1, 1,141,3,10,18,0,285,3,26,487,256
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations",,Group 2/Groupe 2, 4,1021,4,33,52,1,921,5,38,2079,
