Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 607","Hamilton",712,10,1239,1,37,5,1,2005,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 608","Hamilton",670,10,1005,6,41,2,3,1737,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 609","Hamilton",548,7,1017,3,32,3,6,1616,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 610","Hamilton ",537,8,873,3,55,6,10,1492,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 611","Hamilton ",543,14,1146,3,84,6,4,1800,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 612","Hamilton ",487,23,936,2,101,4,5,1558,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 613","Hamilton ",397,10,570,3,70,6,0,1056,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 614","Hamilton ",426,11,774,3,59,5,3,1281,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 615","Hamilton",548,9,697,4,63,2,2,1325,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 616","Hamilton",689,8,735,0,31,3,8,1474,
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas",,Group 1/Groupe 1, 231,4,544,5,74,4,57,919,538
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas",,Group 2/Groupe 2, 748,23,1763,5,202,12,77,2830,
