Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Faisal Ali,Greg Brady,Kyle Forster,Jennifer McKelvie,Leigh Paulseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,52
35001,"Ajax/Ajax"," 501","Mobile poll/Bureau itinérant",1,27,8,65,0,3,104,105
35001,"Ajax/Ajax"," 502","Mobile poll/Bureau itinérant",1,33,3,65,0,7,109,101
35001,"Ajax/Ajax"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,69
35001,"Ajax/Ajax"," 504","Mobile poll/Bureau itinérant",2,38,10,68,3,4,125,93
35001,"Ajax/Ajax"," 505","Mobile poll/Bureau itinérant",2,18,7,45,4,2,78,100
35001,"Ajax/Ajax"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,76
35001,"Ajax/Ajax"," 600","Ajax",43,744,23,1114,21,4,1949,
35001,"Ajax/Ajax"," 601","Ajax",12,584,25,990,6,0,1617,
35001,"Ajax/Ajax"," 602","Ajax",12,574,30,937,8,7,1568,
35001,"Ajax/Ajax"," 603","Ajax",31,626,30,995,11,10,1703,
35001,"Ajax/Ajax"," 604","Ajax",20,732,65,1006,14,16,1853,
35001,"Ajax/Ajax"," 605","Ajax",7,368,32,652,13,5,1077,
35001,"Ajax/Ajax"," 606","Ajax",5,450,43,816,6,4,1324,
35001,"Ajax/Ajax"," 607","Ajax",1,556,29,788,7,6,1387,
35001,"Ajax/Ajax"," 608","Ajax",11,565,32,896,9,6,1519,
35001,"Ajax/Ajax"," 609","Ajax",5,628,19,1147,10,9,1818,
35001,"Ajax/Ajax"," 610","Ajax",9,411,35,586,2,1,1044,
35001,"Ajax/Ajax"," 611","Ajax",7,430,29,559,5,2,1032,
35001,"Ajax/Ajax"," 612","Ajax",14,565,20,847,9,12,1467,
35001,"Ajax/Ajax"," 613","Ajax",3,447,38,628,17,3,1136,
35001,"Ajax/Ajax"," 614","Ajax",2,473,25,774,11,2,1287,
35001,"Ajax/Ajax"," 615","Ajax",4,611,17,947,11,11,1601,
35001,"Ajax/Ajax"," 616","Ajax",4,763,33,1273,10,4,2087,
35001,"Ajax/Ajax",,Group 1/Groupe 1, 4,159,20,402,3,24,612,327
35001,"Ajax/Ajax",,Group 2/Groupe 2, 33,905,61,1586,24,58,2667,
