Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Delgado,Colin Kindret,Stephanie Kusie,Austin Mullins,Sunjiv Raval,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Midnapore/Calgary Midnapore"," 607","Calgary",4,13,759,28,438,3,1245,
48010,"Calgary Midnapore/Calgary Midnapore"," 608","Calgary",11,12,843,43,427,0,1336,
48010,"Calgary Midnapore/Calgary Midnapore"," 609","Calgary",8,5,870,30,457,5,1375,
48010,"Calgary Midnapore/Calgary Midnapore"," 610","Calgary",12,6,1182,35,540,1,1776,
48010,"Calgary Midnapore/Calgary Midnapore"," 611","Calgary",6,12,959,48,434,2,1461,
48010,"Calgary Midnapore/Calgary Midnapore"," 612","Calgary",6,10,851,38,392,2,1299,
48010,"Calgary Midnapore/Calgary Midnapore"," 613","Calgary",9,8,842,30,318,1,1208,
48010,"Calgary Midnapore/Calgary Midnapore"," 614","Calgary",4,5,990,21,390,14,1424,
48010,"Calgary Midnapore/Calgary Midnapore"," 615","Calgary",9,9,1281,33,469,9,1810,
48010,"Calgary Midnapore/Calgary Midnapore"," 616","Calgary",10,2,1174,51,580,7,1824,
48010,"Calgary Midnapore/Calgary Midnapore"," 617","Calgary",3,9,1138,36,355,5,1546,
48010,"Calgary Midnapore/Calgary Midnapore"," 618","Calgary",1,6,1092,28,463,4,1594,
48010,"Calgary Midnapore/Calgary Midnapore",,Group 1/Groupe 1, 18,8,960,82,654,60,1782,429
48010,"Calgary Midnapore/Calgary Midnapore",,Group 2/Groupe 2, 15,22,2238,76,954,87,3392,
