Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ryder Finlay,Giovanna Mingarelli,Deborah Perrier,Thaila Riden,Julie Séguin,Jason St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 170","Benoit",3,61,1,0,88,0,0,153,431
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 171","Forest Park",4,94,0,2,68,0,1,169,494
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 172","Casselman",8,80,0,0,63,0,2,153,394
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 173","Casselman",1,80,3,2,59,0,0,145,366
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 174","Casselman",2,104,1,4,74,2,1,188,459
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 175","Benoit",2,69,2,2,62,2,1,140,387
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 176","Mayerville",11,173,2,5,101,1,4,297,492
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 177","St. Albert",1,68,2,0,55,1,0,127,278
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 178","The Nation / La Nation",5,85,6,0,88,3,1,188,362
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 179","The Nation / La Nation",8,107,7,3,97,1,2,225,458
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 180","Russell",1,78,0,3,70,5,0,157,350
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 181","Russell",6,69,0,2,51,0,1,129,346
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 182","Russell",8,163,4,3,124,1,1,304,748
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 183","Russell",4,115,6,1,57,1,0,184,538
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 184","Russell",4,72,0,3,71,0,0,150,378
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 185","Russell",2,80,2,7,66,0,0,157,380
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 186","Russell",2,58,0,0,51,0,0,111,344
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 187","Russell",7,92,1,3,72,1,5,181,475
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 188","Russell",2,37,1,3,46,0,1,90,348
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 189","Russell",3,73,0,1,46,0,0,123,317
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 190","Russell",2,63,5,0,63,0,0,133,428
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 191","Russell",9,105,2,2,81,0,0,199,504
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 192","North Russell",2,48,2,2,84,0,0,138,354
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 193","Russell",2,51,1,0,65,0,0,119,285
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 194","Russell",4,134,2,1,174,1,2,318,759
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 195","Russell",3,89,1,1,57,1,0,152,415
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 196","Russell",6,83,1,3,116,2,1,212,522
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 197","Russell",2,56,3,0,64,0,1,126,305
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 198","Russell",4,121,1,2,70,1,0,199,562
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 199","Russell",8,94,2,1,69,1,0,175,499
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 200","Russell",3,42,0,0,72,0,1,118,273
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 201","Russell",4,72,0,1,70,0,1,148,366
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 202","Marionville",10,107,2,4,108,2,0,233,364
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 203","Russell",6,84,4,6,67,1,1,169,465
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 204","Russell",10,71,3,0,54,2,0,140,401
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 205","Russell",4,58,2,1,54,0,0,119,318
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 206","Russell",6,103,1,2,114,1,0,227,615
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 207","Russell",5,74,3,0,52,0,3,137,437
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 208","Russell",8,108,1,3,103,0,0,223,646
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 209","Russell",7,66,0,1,63,2,1,140,435
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 210","Forget",2,38,3,1,64,0,0,108,288
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 211","Russell",2,60,2,1,73,0,1,139,330
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 212","Russell",4,106,1,5,83,2,0,201,437
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 213","Russell",4,100,6,3,71,1,1,186,461
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 214","Russell",7,66,5,1,77,1,0,157,402
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 215","Russell",3,130,2,3,106,0,1,245,617
