Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dionne Fehler,Rahima Mian,Andrew Scheer,Chris Simmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 622","Treaty Four Reserve Grounds 77",Combined with No./Résultats combinés à ceux du n°621,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 623","Pasqua 79",0,1,0,2,0,3,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 624","Muscowpetung 80",Combined with No./Résultats combinés à ceux du n°623,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 625","Piapot 75",Combined with No./Résultats combinés à ceux du n°617,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 626","Balgonie",5,174,880,60,5,1124,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 627","White City",8,359,1280,61,4,1712,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 628","Pilot Butte",5,236,1116,63,5,1425,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 629","Regina",16,465,984,129,19,1613,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 630","Regina",8,341,830,128,0,1307,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 631","Regina",7,307,614,87,5,1020,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 632","Regina",4,204,322,69,1,600,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 633","Regina",10,269,380,92,4,755,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 634","Regina",10,110,223,35,4,382,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 635","Regina",13,349,468,119,9,958,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 636","Regina",13,475,770,120,2,1380,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 637","Regina",13,522,978,131,2,1646,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 1/Groupe 1, 14,217,195,68,47,541,242
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 2/Groupe 2, 7,472,820,154,69,1522,
