Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Ferreri,Matthew Grove,Emma Harrison,Chad Jewell,Jami-Leigh McMaster,Jazmine Raine,Heather Ray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Peterborough/Peterborough"," 93","Peterborough",49,0,106,0,1,1,0,0,157,461
35086,"Peterborough/Peterborough"," 94","Peterborough",46,0,112,1,0,0,6,0,165,401
35086,"Peterborough/Peterborough"," 95","Peterborough",28,0,87,0,0,2,3,0,120,404
35086,"Peterborough/Peterborough"," 96","Peterborough",65,0,88,2,0,0,2,0,157,448
35086,"Peterborough/Peterborough"," 97","Peterborough",44,1,55,0,1,3,11,2,117,407
35086,"Peterborough/Peterborough"," 98","Peterborough",48,1,78,0,1,0,10,1,139,488
35086,"Peterborough/Peterborough"," 99A","Peterborough",41,0,51,1,1,1,1,1,97,328
35086,"Peterborough/Peterborough"," 99B","Peterborough",42,0,44,0,0,0,1,2,89,302
35086,"Peterborough/Peterborough"," 100","Peterborough",54,0,57,1,0,2,4,1,119,371
35086,"Peterborough/Peterborough"," 101","Peterborough",71,0,124,0,2,5,4,1,207,557
35086,"Peterborough/Peterborough"," 102","Peterborough",41,0,72,1,0,0,6,0,120,371
35086,"Peterborough/Peterborough"," 103","Peterborough",54,0,50,3,0,1,1,0,109,336
35086,"Peterborough/Peterborough"," 104","Peterborough",62,0,86,1,0,1,4,1,155,461
35086,"Peterborough/Peterborough"," 105","Peterborough",61,0,58,1,0,2,8,0,130,469
35086,"Peterborough/Peterborough"," 106","Peterborough",61,0,91,0,3,1,5,0,161,423
35086,"Peterborough/Peterborough"," 107","Peterborough",51,3,97,0,1,4,6,0,162,417
35086,"Peterborough/Peterborough"," 108","Peterborough",40,0,104,0,1,5,7,0,157,396
35086,"Peterborough/Peterborough"," 109","Peterborough",70,0,56,0,0,5,10,2,143,471
35086,"Peterborough/Peterborough"," 110","Peterborough",74,0,73,1,0,0,8,2,158,508
35086,"Peterborough/Peterborough"," 111","Peterborough",55,1,71,0,1,1,6,1,136,375
35086,"Peterborough/Peterborough"," 112","Peterborough",74,0,102,1,3,2,8,1,191,492
35086,"Peterborough/Peterborough"," 113","Peterborough",37,0,89,1,0,4,5,0,136,394
35086,"Peterborough/Peterborough"," 114","Peterborough",115,0,85,0,0,1,12,1,214,523
35086,"Peterborough/Peterborough"," 115","Peterborough",61,0,98,0,1,4,9,0,173,476
35086,"Peterborough/Peterborough"," 116","Peterborough",59,1,87,1,1,0,5,1,155,427
35086,"Peterborough/Peterborough"," 117","Asphodel-Norwood",97,2,79,1,0,1,7,0,187,314
35086,"Peterborough/Peterborough"," 118","Otonabee-South Monaghan",52,0,33,0,0,0,1,0,86,288
35086,"Peterborough/Peterborough"," 119","Peterborough",48,0,58,2,0,2,3,1,114,333
35086,"Peterborough/Peterborough"," 120","Peterborough",38,0,85,0,0,1,4,2,130,400
35086,"Peterborough/Peterborough"," 121","Peterborough",68,0,119,0,0,2,8,1,198,562
35086,"Peterborough/Peterborough"," 122","Selwyn",83,1,70,0,1,1,5,0,161,362
35086,"Peterborough/Peterborough"," 123","Peterborough",89,1,112,0,0,4,6,1,213,464
35086,"Peterborough/Peterborough"," 124","Peterborough",58,0,63,0,1,5,15,0,142,391
35086,"Peterborough/Peterborough"," 125","Peterborough",71,0,86,0,2,2,13,0,174,446
35086,"Peterborough/Peterborough"," 126","Peterborough",163,0,159,1,1,1,7,2,334,694
35086,"Peterborough/Peterborough"," 127","Fowlers Corners",113,1,89,1,0,0,3,4,211,436
35086,"Peterborough/Peterborough"," 128","Peterborough",90,0,95,0,1,4,7,0,197,487
35086,"Peterborough/Peterborough"," 129","Peterborough",60,1,90,0,1,4,11,0,167,447
35086,"Peterborough/Peterborough"," 130","Peterborough",62,0,81,0,0,5,10,0,158,466
35086,"Peterborough/Peterborough"," 131","Otonabee-South Monaghan",87,0,49,0,1,0,4,0,141,265
35086,"Peterborough/Peterborough"," 132","Otonabee-South Monaghan",79,1,53,1,0,4,7,0,145,293
35086,"Peterborough/Peterborough"," 133","Otonabee-South Monaghan",90,1,57,0,0,2,3,0,153,318
35086,"Peterborough/Peterborough"," 134","Otonabee-South Monaghan",58,0,63,2,0,0,3,0,126,234
35086,"Peterborough/Peterborough"," 135","Peterborough",64,0,97,0,0,4,7,0,172,419
35086,"Peterborough/Peterborough"," 136","Peterborough",58,1,132,0,2,6,15,0,214,485
35086,"Peterborough/Peterborough"," 137","Peterborough",65,0,94,1,1,3,15,0,179,460
35086,"Peterborough/Peterborough"," 138","Peterborough",30,1,108,1,0,0,12,2,154,470
35086,"Peterborough/Peterborough"," 139","Peterborough",38,1,94,0,3,6,8,0,150,420
35086,"Peterborough/Peterborough"," 140","Peterborough",31,0,78,0,0,2,7,0,118,426
35086,"Peterborough/Peterborough"," 141","Peterborough",36,0,69,1,0,4,6,0,116,465
35086,"Peterborough/Peterborough"," 142","Peterborough",54,1,74,0,2,3,11,1,146,449
35086,"Peterborough/Peterborough"," 143","Peterborough",36,0,86,0,1,1,9,1,134,438
35086,"Peterborough/Peterborough"," 144","Peterborough",37,1,74,1,0,0,15,1,129,394
35086,"Peterborough/Peterborough"," 145","Peterborough",31,0,110,1,0,1,16,0,159,504
35086,"Peterborough/Peterborough"," 146","Peterborough",48,1,96,2,2,4,10,1,164,456
35086,"Peterborough/Peterborough"," 147","Peterborough",40,0,100,0,0,3,9,0,152,482
35086,"Peterborough/Peterborough"," 148","Peterborough",48,2,135,0,0,2,10,0,197,447
35086,"Peterborough/Peterborough"," 149","Peterborough",25,1,122,1,2,0,6,0,157,489
35086,"Peterborough/Peterborough"," 150","Peterborough",57,0,104,0,0,0,5,0,166,504
35086,"Peterborough/Peterborough"," 151","Peterborough",46,0,78,0,1,5,10,0,140,456
35086,"Peterborough/Peterborough"," 152","Peterborough",36,0,67,0,2,0,3,0,108,400
35086,"Peterborough/Peterborough"," 153","Peterborough",80,1,101,0,2,3,2,3,192,485
35086,"Peterborough/Peterborough"," 154","Peterborough",127,0,136,0,1,4,4,0,272,515
35086,"Peterborough/Peterborough"," 155","Peterborough",71,0,57,0,2,0,12,0,142,487
35086,"Peterborough/Peterborough"," 156","Peterborough",73,0,77,2,0,0,6,0,158,461
35086,"Peterborough/Peterborough"," 157","Peterborough",80,3,84,0,1,1,4,0,173,437
35086,"Peterborough/Peterborough"," 158","Peterborough",45,0,83,1,0,0,2,0,131,377
35086,"Peterborough/Peterborough"," 159","Peterborough",45,0,59,0,0,0,1,0,105,352
35086,"Peterborough/Peterborough"," 160","Peterborough",68,0,127,0,0,3,3,0,201,459
35086,"Peterborough/Peterborough"," 161","Peterborough",60,1,108,1,0,2,6,1,179,476
35086,"Peterborough/Peterborough"," 162","Peterborough",49,0,109,1,0,4,13,0,176,461
35086,"Peterborough/Peterborough"," 163","Peterborough",77,0,82,0,0,1,6,0,166,433
35086,"Peterborough/Peterborough"," 164","Peterborough",87,0,76,0,0,1,2,0,166,457
35086,"Peterborough/Peterborough"," 165","Peterborough",85,1,105,0,0,3,7,0,201,495
35086,"Peterborough/Peterborough"," 166","Peterborough",58,0,87,3,0,1,14,0,163,356
35086,"Peterborough/Peterborough"," 167","Peterborough",55,0,59,2,3,4,11,0,134,379
35086,"Peterborough/Peterborough"," 168","Peterborough",39,0,87,0,0,1,6,1,134,411
35086,"Peterborough/Peterborough"," 169","Peterborough",26,0,98,0,0,0,10,1,135,382
35086,"Peterborough/Peterborough"," 170","Peterborough",46,0,57,0,0,2,10,1,116,388
35086,"Peterborough/Peterborough"," 171","Peterborough",75,1,99,1,2,3,4,3,188,438
35086,"Peterborough/Peterborough"," 172","Peterborough",70,0,81,1,2,1,4,0,159,382
35086,"Peterborough/Peterborough"," 173","Peterborough",61,0,116,1,1,3,15,3,200,492
35086,"Peterborough/Peterborough"," 174","Peterborough",62,0,48,0,1,0,1,0,112,339
35086,"Peterborough/Peterborough"," 175","Peterborough",59,0,82,0,0,0,3,0,144,386
35086,"Peterborough/Peterborough"," 176","Peterborough",68,0,79,0,1,4,0,0,152,416
35086,"Peterborough/Peterborough"," 177","Peterborough",59,1,87,0,0,1,5,0,153,397
35086,"Peterborough/Peterborough"," 178","Peterborough",42,0,64,0,0,0,4,0,110,331
35086,"Peterborough/Peterborough"," 179","Peterborough",58,1,62,0,0,0,3,0,124,342
35086,"Peterborough/Peterborough"," 180","Peterborough",35,0,110,1,0,2,4,0,152,362
35086,"Peterborough/Peterborough"," 181","Peterborough",84,0,100,0,1,3,13,0,201,364
35086,"Peterborough/Peterborough"," 182","Peterborough",84,0,123,1,1,5,15,0,229,397
35086,"Peterborough/Peterborough"," 183","Peterborough",107,0,82,1,3,1,12,1,207,448
35086,"Peterborough/Peterborough"," 184","Peterborough",102,0,97,1,1,3,8,2,214,367
35086,"Peterborough/Peterborough"," 185","Peterborough",54,0,75,1,1,0,1,0,132,456
35086,"Peterborough/Peterborough"," 186","Peterborough",62,0,68,2,1,0,5,2,140,422
35086,"Peterborough/Peterborough"," 187","Peterborough",47,0,82,1,0,2,4,1,137,422
35086,"Peterborough/Peterborough"," 188","Peterborough",51,2,62,0,1,2,4,0,122,401
35086,"Peterborough/Peterborough"," 189","Peterborough",68,1,89,0,0,1,0,0,159,398
35086,"Peterborough/Peterborough"," 190","Peterborough",42,0,46,0,0,1,0,0,89,375
35086,"Peterborough/Peterborough"," 191","Peterborough",61,0,91,0,0,1,8,0,161,405
35086,"Peterborough/Peterborough"," 192","Peterborough",47,0,63,0,0,0,3,0,113,385
35086,"Peterborough/Peterborough"," 193","Peterborough",74,1,108,0,2,2,18,0,205,427
35086,"Peterborough/Peterborough"," 194","Peterborough",74,1,81,0,2,1,7,1,167,335
35086,"Peterborough/Peterborough"," 195","Peterborough",66,2,75,0,1,2,12,0,158,371
35086,"Peterborough/Peterborough"," 196","Peterborough",107,0,125,0,0,3,5,2,242,459
35086,"Peterborough/Peterborough"," 197","Peterborough",74,1,79,1,1,4,3,1,164,362
35086,"Peterborough/Peterborough"," 198","Peterborough",63,1,78,0,2,0,6,1,151,383
35086,"Peterborough/Peterborough"," 199","Peterborough",67,0,81,3,0,5,13,0,169,438
35086,"Peterborough/Peterborough"," 200","Peterborough",71,0,62,2,1,1,6,1,144,415
35086,"Peterborough/Peterborough"," 201","Peterborough",68,0,111,0,0,1,21,0,201,431
35086,"Peterborough/Peterborough"," 202","Peterborough",78,0,77,0,0,1,10,0,166,432
35086,"Peterborough/Peterborough"," 203","Peterborough",76,0,65,0,0,0,1,0,142,413
35086,"Peterborough/Peterborough"," 204","Peterborough",62,0,67,0,1,0,4,0,134,409
35086,"Peterborough/Peterborough"," 205","Peterborough",58,1,88,0,0,1,6,0,154,397
35086,"Peterborough/Peterborough"," 206","Peterborough",54,0,59,2,0,2,5,0,122,400
35086,"Peterborough/Peterborough"," 207","Peterborough",92,0,85,0,1,2,7,2,189,468
