Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeremy Hoefsloot,Rod Loyola,Madeline Mayes,Paul McCormack,Ashok Patel,Tim Uppal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Gateway/Edmonton Gateway"," 124","Edmonton",63,15,7,0,1,105,3,194,592
48016,"Edmonton Gateway/Edmonton Gateway"," 125","Edmonton",50,15,9,1,2,118,3,198,686
48016,"Edmonton Gateway/Edmonton Gateway"," 126","Edmonton",78,24,7,0,10,167,2,288,787
48016,"Edmonton Gateway/Edmonton Gateway"," 127","Edmonton",85,29,17,5,6,153,3,298,841
48016,"Edmonton Gateway/Edmonton Gateway"," 128A","Edmonton",106,21,11,1,12,204,6,361,552
48016,"Edmonton Gateway/Edmonton Gateway"," 128B","Edmonton",Combined with No./Résultats combinés à ceux du n°128A,,,,,,,,574
48016,"Edmonton Gateway/Edmonton Gateway"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,31
48016,"Edmonton Gateway/Edmonton Gateway"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,11
48016,"Edmonton Gateway/Edmonton Gateway"," 502","Mobile poll/Bureau itinérant",20,1,5,1,1,36,1,65,34
48016,"Edmonton Gateway/Edmonton Gateway"," 503","Mobile poll/Bureau itinérant",24,4,8,0,2,29,1,68,84
48016,"Edmonton Gateway/Edmonton Gateway"," 504","Edmonton",Combined with No./Résultats combinés à ceux du n°25A,,,,,,,,149
48016,"Edmonton Gateway/Edmonton Gateway"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,19
48016,"Edmonton Gateway/Edmonton Gateway"," 506","Mobile poll/Bureau itinérant",16,1,8,3,0,59,5,92,65
48016,"Edmonton Gateway/Edmonton Gateway"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,51
48016,"Edmonton Gateway/Edmonton Gateway"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,15
48016,"Edmonton Gateway/Edmonton Gateway"," 509","Mobile poll/Bureau itinérant",11,1,3,2,0,91,0,108,147
48016,"Edmonton Gateway/Edmonton Gateway"," 510","Mobile poll/Bureau itinérant",80,4,13,5,2,73,4,181,176
48016,"Edmonton Gateway/Edmonton Gateway"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,93
48016,"Edmonton Gateway/Edmonton Gateway"," 600","Edmonton",451,76,49,16,2,418,4,1016,
48016,"Edmonton Gateway/Edmonton Gateway"," 601","Edmonton",375,83,38,9,5,470,8,988,
48016,"Edmonton Gateway/Edmonton Gateway"," 602","Edmonton",732,29,92,13,6,669,5,1546,
48016,"Edmonton Gateway/Edmonton Gateway"," 603","Edmonton",759,23,87,11,3,680,19,1582,
48016,"Edmonton Gateway/Edmonton Gateway"," 604","Edmonton",311,32,54,8,1,371,6,783,
48016,"Edmonton Gateway/Edmonton Gateway"," 605","Edmonton",364,20,54,8,6,601,3,1056,
48016,"Edmonton Gateway/Edmonton Gateway"," 606","Edmonton",637,99,57,9,21,735,8,1566,
48016,"Edmonton Gateway/Edmonton Gateway"," 607","Edmonton",625,62,34,22,54,887,7,1691,
48016,"Edmonton Gateway/Edmonton Gateway"," 608","Edmonton",775,69,67,9,38,887,4,1849,
48016,"Edmonton Gateway/Edmonton Gateway"," 609","Edmonton",708,50,68,16,41,789,13,1685,
48016,"Edmonton Gateway/Edmonton Gateway"," 610","Edmonton",507,49,45,13,70,702,5,1391,
48016,"Edmonton Gateway/Edmonton Gateway"," 611","Edmonton",600,53,41,6,19,858,4,1581,
48016,"Edmonton Gateway/Edmonton Gateway"," 612","Edmonton",510,76,48,7,17,701,10,1369,
48016,"Edmonton Gateway/Edmonton Gateway"," 613","Edmonton",463,162,44,7,48,636,12,1372,
48016,"Edmonton Gateway/Edmonton Gateway"," 614","Beaumont",581,115,48,9,63,813,4,1633,
48016,"Edmonton Gateway/Edmonton Gateway",,Group 1/Groupe 1, 668,75,98,16,19,876,80,1832,223
48016,"Edmonton Gateway/Edmonton Gateway",,Group 2/Groupe 2, 605,87,99,9,11,704,75,1590,
