Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Brassard,Andrew Harrigan,John Olthuis,Mark Sampson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 116","Innisfil",187,10,89,2,0,288,603
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 117","Innisfil",185,4,92,4,1,286,599
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 118","Innisfil",172,7,84,2,3,268,559
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 119","Innisfil",134,10,74,1,2,221,597
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 120","Innisfil",118,5,60,2,0,185,601
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 121","Innisfil",161,4,78,7,0,250,612
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 122","Innisfil",131,6,74,3,3,217,691
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 123","Innisfil",106,5,66,1,0,178,554
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 124","Innisfil",139,11,72,5,0,227,631
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 125","Innisfil",132,3,64,2,1,202,666
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 126","Innisfil",113,3,72,1,3,192,537
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 127","Innisfil",124,7,60,2,2,195,584
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 128","Innisfil",130,10,53,5,2,200,586
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 129","Innisfil",131,7,53,4,1,196,569
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 130","Innisfil",142,5,45,2,0,194,520
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 131","Innisfil",189,7,83,3,0,282,613
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 132","Innisfil",122,10,59,1,1,193,540
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 133A","Barrie",215,7,108,5,1,336,930
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 133B","Barrie",168,5,89,6,4,272,844
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 134","Barrie",132,12,61,4,2,211,680
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 135","Barrie",Combined with No./Résultats combinés à ceux du n°140,,,,,,410
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 136","Barrie",166,10,96,3,0,275,677
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 137","Barrie",115,9,69,2,1,196,612
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 138","Barrie",116,9,71,2,1,199,589
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 139","Barrie",165,9,105,7,1,287,629
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 140","Barrie",191,4,98,4,2,299,549
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 141","Innisfil",160,9,80,4,1,254,687
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 142","Innisfil",153,10,74,4,2,243,636
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 143","Innisfil",123,4,53,4,3,187,558
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 144","Innisfil",92,9,54,4,2,161,518
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 145","Innisfil",155,6,67,3,0,231,615
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 146A","Innisfil",144,10,56,2,1,213,581
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 146B","Innisfil",177,9,61,2,0,249,573
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 147","Innisfil",180,6,60,7,2,255,597
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 148","Innisfil",177,12,64,3,0,256,557
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 149","Innisfil",172,9,71,4,1,257,589
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 150","Innisfil",136,4,73,2,1,216,633
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 151","Innisfil",126,7,49,3,0,185,523
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 152","Innisfil",160,14,50,1,0,225,574
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 153","Innisfil",175,7,63,2,0,247,587
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 154","Innisfil",128,6,43,1,0,178,563
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 155","Innisfil",161,5,75,1,5,247,742
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 156","Innisfil",165,3,82,8,3,261,727
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 157","Innisfil",177,14,91,2,1,285,683
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 158","Innisfil",161,8,39,2,0,210,539
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 159","Innisfil",Combined with No./Résultats combinés à ceux du n°162,,,,,,563
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 160","Innisfil",133,8,38,2,0,181,563
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 161","Innisfil",109,6,50,4,0,169,470
