Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Hill,Gerald Irish,Karen Ludwig,Keith Tays,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--St. Croix/Saint John--St. Croix"," 100","Saint John",10,1,83,2,57,0,153,502
13009,"Saint John--St. Croix/Saint John--St. Croix"," 101","Saint John",8,2,70,1,52,1,134,421
13009,"Saint John--St. Croix/Saint John--St. Croix"," 102","Saint John",11,1,64,0,50,0,126,439
13009,"Saint John--St. Croix/Saint John--St. Croix"," 103","Saint John",13,4,77,0,57,1,152,444
13009,"Saint John--St. Croix/Saint John--St. Croix"," 104","Saint John",7,2,76,1,51,1,138,490
13009,"Saint John--St. Croix/Saint John--St. Croix"," 105","Saint John",2,1,97,0,43,1,144,433
13009,"Saint John--St. Croix/Saint John--St. Croix"," 106","Saint John",2,1,70,0,41,0,114,370
13009,"Saint John--St. Croix/Saint John--St. Croix"," 107","Saint John",5,2,83,0,87,0,177,441
13009,"Saint John--St. Croix/Saint John--St. Croix"," 108","Saint John",4,5,117,0,70,4,200,561
13009,"Saint John--St. Croix/Saint John--St. Croix"," 109","Saint John",18,10,101,0,89,2,220,575
13009,"Saint John--St. Croix/Saint John--St. Croix"," 110","Saint John",6,1,82,2,80,0,171,478
13009,"Saint John--St. Croix/Saint John--St. Croix"," 111","Saint John",7,3,107,0,55,1,173,435
13009,"Saint John--St. Croix/Saint John--St. Croix"," 112","Saint John",16,10,89,4,142,1,262,454
13009,"Saint John--St. Croix/Saint John--St. Croix"," 113","Saint John",10,8,96,1,119,0,234,455
13009,"Saint John--St. Croix/Saint John--St. Croix"," 114","Lawrence Station",2,3,35,0,91,0,131,229
13009,"Saint John--St. Croix/Saint John--St. Croix"," 115","Bonny River",0,5,34,1,173,2,215,327
13009,"Saint John--St. Croix/Saint John--St. Croix"," 116","Musquash",13,6,65,2,132,0,218,372
13009,"Saint John--St. Croix/Saint John--St. Croix"," 117","Chance Harbour",8,2,47,2,150,3,212,429
13009,"Saint John--St. Croix/Saint John--St. Croix"," 118","Rollingdam",2,2,37,1,119,0,161,265
13009,"Saint John--St. Croix/Saint John--St. Croix"," 119","Utopia",5,2,35,2,107,2,153,332
13009,"Saint John--St. Croix/Saint John--St. Croix"," 120","Seeleys Cove",5,1,80,1,146,1,234,447
13009,"Saint John--St. Croix/Saint John--St. Croix"," 121","Pennfield",7,4,46,0,131,0,188,391
13009,"Saint John--St. Croix/Saint John--St. Croix"," 122","Seeleys Cove",4,0,64,1,144,1,214,407
13009,"Saint John--St. Croix/Saint John--St. Croix"," 123","Lepreau",6,0,25,0,51,0,82,266
13009,"Saint John--St. Croix/Saint John--St. Croix"," 124","Dipper Harbour",5,2,21,1,64,0,93,291
13009,"Saint John--St. Croix/Saint John--St. Croix"," 125","Maces Bay",4,0,20,0,53,0,77,289
13009,"Saint John--St. Croix/Saint John--St. Croix"," 126","Oak Hill",2,1,34,0,123,0,160,303
13009,"Saint John--St. Croix/Saint John--St. Croix"," 127","Central Tower Hill",7,0,43,1,91,0,142,258
13009,"Saint John--St. Croix/Saint John--St. Croix"," 128","Elmsville",4,3,51,0,107,0,165,290
13009,"Saint John--St. Croix/Saint John--St. Croix"," 129","Moores Mills",1,0,57,1,105,5,169,316
13009,"Saint John--St. Croix/Saint John--St. Croix"," 130","St. George",7,1,43,0,76,1,128,371
13009,"Saint John--St. Croix/Saint John--St. Croix"," 131","Utopia",8,1,51,1,130,0,191,467
13009,"Saint John--St. Croix/Saint John--St. Croix"," 132","St. George",2,3,31,3,92,2,133,386
13009,"Saint John--St. Croix/Saint John--St. Croix"," 133","Breadalbane",2,4,41,1,119,0,167,414
13009,"Saint John--St. Croix/Saint John--St. Croix"," 134","St. George",6,3,52,1,81,1,144,433
13009,"Saint John--St. Croix/Saint John--St. Croix"," 135","St. George",1,2,21,0,89,1,114,307
13009,"Saint John--St. Croix/Saint John--St. Croix"," 136","Oak Bay",8,3,38,2,91,0,142,425
13009,"Saint John--St. Croix/Saint John--St. Croix"," 137","Oak Bay",2,5,40,2,96,0,145,392
13009,"Saint John--St. Croix/Saint John--St. Croix"," 138","The Ledge",2,2,68,0,81,1,154,437
13009,"Saint John--St. Croix/Saint John--St. Croix"," 139","Crocker Hill",6,0,35,0,78,0,119,366
13009,"Saint John--St. Croix/Saint John--St. Croix"," 140","Bocabec",3,2,88,0,126,0,219,416
13009,"Saint John--St. Croix/Saint John--St. Croix"," 141","Old Ridge",8,1,28,0,117,0,154,386
13009,"Saint John--St. Croix/Saint John--St. Croix"," 142","Valley Road",4,0,44,0,84,0,132,324
13009,"Saint John--St. Croix/Saint John--St. Croix"," 143","Mayfield--Heathland",7,3,24,0,70,0,104,307
13009,"Saint John--St. Croix/Saint John--St. Croix"," 144","Pomeroy Ridge",6,2,41,1,115,1,166,345
13009,"Saint John--St. Croix/Saint John--St. Croix"," 145","Bayside",1,1,54,0,43,2,101,314
13009,"Saint John--St. Croix/Saint John--St. Croix"," 146","St. Stephen",3,2,60,0,58,0,123,381
13009,"Saint John--St. Croix/Saint John--St. Croix"," 147","St. Stephen",4,7,32,0,54,0,97,331
13009,"Saint John--St. Croix/Saint John--St. Croix"," 148","St. Stephen",0,4,44,0,60,0,108,361
13009,"Saint John--St. Croix/Saint John--St. Croix"," 149","St. Stephen",3,4,43,0,45,2,97,346
13009,"Saint John--St. Croix/Saint John--St. Croix"," 150","St. Stephen",4,1,32,0,55,1,93,393
13009,"Saint John--St. Croix/Saint John--St. Croix"," 151","Chamcook",7,1,61,1,66,0,136,451
13009,"Saint John--St. Croix/Saint John--St. Croix"," 152","St. Stephen",2,2,31,2,41,2,80,262
13009,"Saint John--St. Croix/Saint John--St. Croix"," 153","St. Stephen",2,4,60,0,55,0,121,361
13009,"Saint John--St. Croix/Saint John--St. Croix"," 154","Letete",4,1,29,2,113,2,151,284
13009,"Saint John--St. Croix/Saint John--St. Croix"," 155","Letete",2,1,48,0,146,2,199,361
13009,"Saint John--St. Croix/Saint John--St. Croix"," 156","St. Stephen",7,1,52,0,86,1,147,368
13009,"Saint John--St. Croix/Saint John--St. Croix"," 157","St. Stephen",4,2,34,0,71,1,112,335
13009,"Saint John--St. Croix/Saint John--St. Croix"," 158","St. Stephen",4,4,30,0,81,0,119,333
13009,"Saint John--St. Croix/Saint John--St. Croix"," 159","Barter Settlement",1,0,24,0,61,1,87,254
13009,"Saint John--St. Croix/Saint John--St. Croix"," 160","Upper Mills",4,1,22,1,90,1,119,339
13009,"Saint John--St. Croix/Saint John--St. Croix"," 161","St. Andrews",3,3,79,1,27,0,113,407
13009,"Saint John--St. Croix/Saint John--St. Croix"," 162","St. Andrews",3,4,79,0,51,0,137,493
13009,"Saint John--St. Croix/Saint John--St. Croix"," 163","Blacks Harbour",9,1,48,0,112,0,170,330
13009,"Saint John--St. Croix/Saint John--St. Croix"," 164","Blacks Harbour",5,4,59,0,130,1,199,368
13009,"Saint John--St. Croix/Saint John--St. Croix"," 165","Beaver Harbour",5,4,63,1,130,2,205,446
13009,"Saint John--St. Croix/Saint John--St. Croix"," 166","Saint Andrews",1,3,64,0,35,1,104,373
13009,"Saint John--St. Croix/Saint John--St. Croix"," 167","Saint Andrews",2,2,73,1,34,1,113,399
13009,"Saint John--St. Croix/Saint John--St. Croix"," 168","Deer Island",0,1,19,0,54,2,76,289
13009,"Saint John--St. Croix/Saint John--St. Croix"," 169","West Isles",1,2,40,1,51,2,97,291
13009,"Saint John--St. Croix/Saint John--St. Croix"," 170","Campobello Island",0,0,16,0,59,0,75,220
13009,"Saint John--St. Croix/Saint John--St. Croix"," 171","Campobello Island",0,1,20,1,55,0,77,253
13009,"Saint John--St. Croix/Saint John--St. Croix"," 172","Campobello Island",3,0,19,0,43,1,66,288
