Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Natasha Akiwenzie,Ann Gillies,Christopher Neudorf,Alex Ruff,Pavel Smolko,Anne Marie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 208","Proton",3,0,3,88,2,20,0,116,355
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 209","Allan Park",3,3,5,133,3,60,0,207,460
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 210","Hanover",6,4,3,111,0,56,0,180,420
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 211","Hanover",4,0,2,104,2,89,0,201,622
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 212","Hanover",0,1,3,55,1,29,1,90,376
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 213","West Grey",3,1,4,66,1,40,0,115,399
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 214","Southgate",1,0,2,36,3,26,0,68,203
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 215","Southgate",0,2,5,81,0,17,0,105,315
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 216","Southgate",1,0,4,75,2,22,0,104,276
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 217","Ventry",2,0,3,80,2,37,1,125,515
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 218","Hanover",7,0,9,140,1,60,0,217,598
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 219","Hanover",4,0,8,93,2,65,1,173,444
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 220","Hanover",3,1,3,102,3,53,1,166,496
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 221","Hanover",2,0,6,64,2,47,0,121,402
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 222","Hanover",3,2,4,91,3,52,0,155,477
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 223","Hanover",1,1,11,61,1,46,0,121,485
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 224","Hanover",8,4,10,86,2,89,0,199,486
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 225","Hanover",4,3,7,86,0,51,2,153,404
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 226","Egremont",8,2,4,155,4,56,2,231,488
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 227","Holstein",8,0,0,126,2,73,2,211,371
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 228","Landerkin",1,3,5,55,1,45,1,111,276
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 229","Holstein",3,1,4,179,2,97,2,288,532
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 230","Hampden",13,5,8,125,0,54,1,206,504
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 231","Neustadt",3,4,1,132,2,59,0,201,520
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 232","Nenagh",0,0,4,64,1,16,0,85,218
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 233","Neustadt",2,0,6,96,4,34,0,142,425
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 234","Ayton",3,2,1,62,1,12,0,81,364
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 235","Alsfeldt",2,3,7,114,2,39,2,169,441
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 236","Nenagh",4,0,3,96,1,39,0,143,281
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 400","Owen Sound",1,0,2,40,0,28,2,73,100
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 401","Hanover",4,5,6,46,0,74,0,135,200
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 500","Mobile poll/Bureau itinérant",4,0,6,25,2,22,1,60,37
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,51
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,7
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,18
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 504","Mobile poll/Bureau itinérant",4,0,9,30,1,49,3,96,37
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,104
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 506","Mobile poll/Bureau itinérant",1,5,4,89,0,104,3,206,102
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 507","Owen Sound",Combined with No./Résultats combinés à ceux du n°80,,,,,,,,8
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 508","Owen Sound",Combined with No./Résultats combinés à ceux du n°104,,,,,,,,3
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°81C,,,,,,,,61
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°81C,,,,,,,,13
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 511","Owen Sound",Combined with No./Résultats combinés à ceux du n°103,,,,,,,,7
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,24
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 513","Mobile poll/Bureau itinérant",4,3,4,20,1,14,3,49,73
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,46
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,19
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,26
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 517","Mobile poll/Bureau itinérant",7,7,2,18,5,16,0,55,22
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 518","Chesley",Combined with No./Résultats combinés à ceux du n°168,,,,,,,,3
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 519","Chesley",Combined with No./Résultats combinés à ceux du n°168,,,,,,,,10
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 520","Mobile poll/Bureau itinérant",3,0,4,26,0,28,0,61,56
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,42
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 600","Northern Bruce Peninsula",8,0,6,123,1,166,0,304,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 601","Lion's Head",16,3,32,548,7,541,3,1150,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 602","South Bruce Peninsula",19,4,26,489,2,405,3,948,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 603","Neyaashiinigmiing 27",Combined with No./Résultats combinés à ceux du n°604,,,,,,,,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 604","South Bruce Peninsula",20,7,12,316,3,342,1,701,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 605","Meaford",29,3,40,565,6,789,0,1432,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 606","Meaford",11,2,22,506,4,698,0,1243,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 607","Owen Sound",12,8,10,377,4,389,4,804,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 608","Owen Sound",12,4,23,350,8,339,3,739,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 609","Owen Sound",6,4,22,224,10,309,2,577,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 610","Owen Sound",33,10,65,727,10,908,5,1758,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 611","Owen Sound",8,1,18,206,2,439,2,676,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 612","Georgian Bluffs",6,2,18,207,2,397,2,634,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 613","Georgian Bluffs",3,2,13,269,0,113,3,403,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 614","Georgian Bluffs",8,10,15,582,7,400,1,1023,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 615","South Bruce Peninsula",1,1,18,265,4,153,0,442,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 616","South Bruce Peninsula",8,2,24,418,8,461,3,924,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 617","Saugeen 29",Combined with No./Résultats combinés à ceux du n°616,,,,,,,,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 618","Tara",8,16,24,771,11,367,3,1200,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 619","Chatsworth",16,8,24,716,14,464,3,1245,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 620","Lauriston",22,2,17,482,6,492,7,1028,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 621","Lauriston",13,6,20,374,6,287,2,708,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 622","Durham",Combined with No./Résultats combinés à ceux du n°633,,,,,,,,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 623","Chatsworth",Combined with No./Résultats combinés à ceux du n°621,,,,,,,,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 624","Chesley",12,11,30,640,5,354,4,1056,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 625","West Grey",14,8,33,609,10,567,9,1250,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 626","Hanover",18,10,29,568,7,578,4,1214,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 627","Ayton",12,5,19,551,2,294,0,883,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 628","Durham",8,13,31,526,14,278,4,874,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 629","Flesherton",18,6,23,626,6,464,9,1152,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 630","Osprey",13,1,23,416,3,281,0,737,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 631","Dundalk",14,3,15,433,8,116,6,595,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 632","Dundalk",11,6,15,371,7,188,0,598,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 633","Ayton",8,7,9,381,5,273,5,688,
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 1/Groupe 1, 14,3,30,155,3,287,44,536,224
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 2/Groupe 2, 79,31,94,1770,16,1998,71,4059,
