Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Foxton,Jesse Pauley,Danielle Rae,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Lanark--Frontenac/Lanark--Frontenac"," 82","Craig Shore",34,1,3,67,0,105,294
35051,"Lanark--Frontenac/Lanark--Frontenac"," 83","Clyde Forks",42,2,4,81,0,129,326
35051,"Lanark--Frontenac/Lanark--Frontenac"," 84","Lanark Highlands",58,0,1,126,0,185,433
35051,"Lanark--Frontenac/Lanark--Frontenac"," 85","Lanark Highlands",45,2,6,58,1,112,329
35051,"Lanark--Frontenac/Lanark--Frontenac"," 86","Lanark Highlands",70,4,3,145,1,223,418
35051,"Lanark--Frontenac/Lanark--Frontenac"," 87","Lanark Highlands",57,7,16,128,2,210,409
35051,"Lanark--Frontenac/Lanark--Frontenac"," 88","Innisville",47,2,5,106,0,160,416
35051,"Lanark--Frontenac/Lanark--Frontenac"," 89","Cooke's Shore",Combined with No./Résultats combinés à ceux du n°90,,,,,,286
35051,"Lanark--Frontenac/Lanark--Frontenac"," 90","Ferguson Falls",90,3,6,174,0,273,330
35051,"Lanark--Frontenac/Lanark--Frontenac"," 91","Montague",60,1,9,126,0,196,349
35051,"Lanark--Frontenac/Lanark--Frontenac"," 92","Montague",51,4,4,80,2,141,336
35051,"Lanark--Frontenac/Lanark--Frontenac"," 93","Rosedale",71,5,6,128,1,211,381
35051,"Lanark--Frontenac/Lanark--Frontenac"," 94A","Montague",71,4,6,98,0,179,502
35051,"Lanark--Frontenac/Lanark--Frontenac"," 94B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,19
35051,"Lanark--Frontenac/Lanark--Frontenac"," 95","McNaughton Shore",66,0,8,104,2,180,458
35051,"Lanark--Frontenac/Lanark--Frontenac"," 96","Drummond Centre",57,2,7,143,2,211,434
35051,"Lanark--Frontenac/Lanark--Frontenac"," 97","Numogate",32,3,1,106,1,143,351
35051,"Lanark--Frontenac/Lanark--Frontenac"," 98","Numogate",41,1,6,112,0,160,392
35051,"Lanark--Frontenac/Lanark--Frontenac"," 99","Smiths Falls",66,4,5,70,2,147,481
35051,"Lanark--Frontenac/Lanark--Frontenac"," 100","Smiths Falls",36,3,8,57,1,105,415
35051,"Lanark--Frontenac/Lanark--Frontenac"," 101","Drummond/North Elmsley",26,3,5,98,0,132,436
35051,"Lanark--Frontenac/Lanark--Frontenac"," 102","Montague",26,1,2,106,1,136,401
35051,"Lanark--Frontenac/Lanark--Frontenac"," 103","Atironto",28,1,8,74,0,111,340
35051,"Lanark--Frontenac/Lanark--Frontenac"," 104","Smiths Falls",34,4,2,62,1,103,355
35051,"Lanark--Frontenac/Lanark--Frontenac"," 105","Smiths Falls",44,3,13,86,0,146,467
35051,"Lanark--Frontenac/Lanark--Frontenac"," 106","Prestonvale",39,4,6,96,2,147,464
35051,"Lanark--Frontenac/Lanark--Frontenac"," 107","Lanark Highlands",36,2,9,66,4,117,382
35051,"Lanark--Frontenac/Lanark--Frontenac"," 108","Fallbrook",65,1,5,127,1,199,441
35051,"Lanark--Frontenac/Lanark--Frontenac"," 109","North Frontenac",70,1,5,114,0,190,376
35051,"Lanark--Frontenac/Lanark--Frontenac"," 110","Watson's Corners",48,3,10,80,0,141,387
35051,"Lanark--Frontenac/Lanark--Frontenac"," 111","McDonald's Corners",40,3,7,57,0,107,327
35051,"Lanark--Frontenac/Lanark--Frontenac"," 112","Smiths Falls",38,1,1,58,1,99,414
35051,"Lanark--Frontenac/Lanark--Frontenac"," 113","Smiths Falls",36,3,6,87,2,134,511
35051,"Lanark--Frontenac/Lanark--Frontenac"," 114","Smiths Falls",35,1,5,86,3,130,426
35051,"Lanark--Frontenac/Lanark--Frontenac"," 115","Smiths Falls",52,2,7,83,4,148,361
35051,"Lanark--Frontenac/Lanark--Frontenac"," 116","Smiths Falls",47,6,5,71,2,131,361
35051,"Lanark--Frontenac/Lanark--Frontenac"," 117","Smiths Falls",29,2,4,60,0,95,346
35051,"Lanark--Frontenac/Lanark--Frontenac"," 118","Smiths Falls",58,2,4,65,1,130,373
35051,"Lanark--Frontenac/Lanark--Frontenac"," 119","Smiths Falls",106,6,10,129,0,251,796
35051,"Lanark--Frontenac/Lanark--Frontenac"," 120","Glenview",71,3,3,118,4,199,439
35051,"Lanark--Frontenac/Lanark--Frontenac"," 121","Balderson",28,0,3,87,2,120,404
35051,"Lanark--Frontenac/Lanark--Frontenac"," 122","Drummond/North Elmsley",42,0,1,64,0,107,319
35051,"Lanark--Frontenac/Lanark--Frontenac"," 123","Drummond/North Elmsley",33,1,8,96,0,138,418
35051,"Lanark--Frontenac/Lanark--Frontenac"," 124","Port Elmsley",45,4,2,56,0,107,262
35051,"Lanark--Frontenac/Lanark--Frontenac"," 125","Perth",57,1,4,39,1,102,371
35051,"Lanark--Frontenac/Lanark--Frontenac"," 126","Perth",38,1,4,30,0,73,344
35051,"Lanark--Frontenac/Lanark--Frontenac"," 127","Perth",48,1,2,50,0,101,343
35051,"Lanark--Frontenac/Lanark--Frontenac"," 128","Drummond/North Elmsley",73,0,9,103,0,185,389
35051,"Lanark--Frontenac/Lanark--Frontenac"," 129","Smiths Falls",58,1,6,74,1,140,375
35051,"Lanark--Frontenac/Lanark--Frontenac"," 130","Smiths Falls",53,0,10,79,0,142,417
35051,"Lanark--Frontenac/Lanark--Frontenac"," 131","Smiths Falls",69,1,13,77,0,160,450
35051,"Lanark--Frontenac/Lanark--Frontenac"," 132","Smiths Falls",55,2,8,77,0,142,489
35051,"Lanark--Frontenac/Lanark--Frontenac"," 133","Smiths Falls",59,7,4,90,0,160,453
35051,"Lanark--Frontenac/Lanark--Frontenac"," 134A","Smiths Falls",41,2,5,49,1,98,381
35051,"Lanark--Frontenac/Lanark--Frontenac"," 134B","Smiths Falls",55,0,1,54,0,110,375
35051,"Lanark--Frontenac/Lanark--Frontenac"," 135","Craig Shore",48,2,1,80,0,131,370
35051,"Lanark--Frontenac/Lanark--Frontenac"," 136","Perth",61,1,6,51,0,119,387
35051,"Lanark--Frontenac/Lanark--Frontenac"," 137","Harper",36,2,7,88,2,135,357
35051,"Lanark--Frontenac/Lanark--Frontenac"," 138","Perth",57,5,9,60,1,132,470
35051,"Lanark--Frontenac/Lanark--Frontenac"," 139","Glen Tay",56,2,4,112,3,177,473
35051,"Lanark--Frontenac/Lanark--Frontenac"," 140","Glen Tay",60,0,0,65,0,125,459
35051,"Lanark--Frontenac/Lanark--Frontenac"," 141","Perth",32,2,5,62,1,102,377
35051,"Lanark--Frontenac/Lanark--Frontenac"," 142","Perth",60,5,1,41,0,107,354
35051,"Lanark--Frontenac/Lanark--Frontenac"," 143","Perth",68,3,5,74,3,153,469
35051,"Lanark--Frontenac/Lanark--Frontenac"," 144","Dalhousie Lake",68,1,1,69,1,140,353
35051,"Lanark--Frontenac/Lanark--Frontenac"," 145","Perth",78,2,4,92,1,177,471
35051,"Lanark--Frontenac/Lanark--Frontenac"," 146","Perth",61,0,7,44,0,112,493
35051,"Lanark--Frontenac/Lanark--Frontenac"," 147","Perth",69,1,3,60,0,133,461
35051,"Lanark--Frontenac/Lanark--Frontenac"," 148","Perth",62,0,1,39,1,103,359
35051,"Lanark--Frontenac/Lanark--Frontenac"," 149","Tay Valley",47,1,1,36,0,85,278
35051,"Lanark--Frontenac/Lanark--Frontenac"," 150","North Frontenac",67,2,6,123,0,198,295
35051,"Lanark--Frontenac/Lanark--Frontenac"," 151","North Frontenac",50,1,5,86,0,142,285
35051,"Lanark--Frontenac/Lanark--Frontenac"," 152","Perth",80,1,11,62,1,155,481
35051,"Lanark--Frontenac/Lanark--Frontenac"," 153","Perth",52,4,12,84,2,154,430
35051,"Lanark--Frontenac/Lanark--Frontenac"," 154","Perth",44,1,3,53,0,101,335
35051,"Lanark--Frontenac/Lanark--Frontenac"," 155","Elmgrove",70,0,3,74,0,147,430
35051,"Lanark--Frontenac/Lanark--Frontenac"," 156","Elmgrove",54,2,3,56,0,115,370
35051,"Lanark--Frontenac/Lanark--Frontenac"," 157","Christie Lake",59,2,1,100,0,162,434
