Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Agbokou,Tchad Deschenes,Danielle Dubuc,Marie Louis-Seize,Christine Normandin,Vincent Piette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 129","Saint-Jean-sur-Richelieu",55,3,8,28,73,6,7,180,406
24067,"Saint-Jean/Saint-Jean"," 130","Saint-Jean-sur-Richelieu",46,3,0,36,68,1,2,156,517
24067,"Saint-Jean/Saint-Jean"," 131","Saint-Jean-sur-Richelieu",37,2,3,34,81,2,5,164,435
24067,"Saint-Jean/Saint-Jean"," 132","Saint-Jean-sur-Richelieu",32,5,5,42,71,6,3,164,387
24067,"Saint-Jean/Saint-Jean"," 133","Saint-Jean-sur-Richelieu",25,1,7,20,54,2,6,115,360
24067,"Saint-Jean/Saint-Jean"," 134","Saint-Jean-sur-Richelieu",32,3,5,35,49,11,3,138,397
24067,"Saint-Jean/Saint-Jean"," 135","Saint-Jean-sur-Richelieu",47,1,5,42,102,7,3,207,567
24067,"Saint-Jean/Saint-Jean"," 136","Saint-Jean-sur-Richelieu",41,2,6,29,103,5,5,191,429
24067,"Saint-Jean/Saint-Jean"," 137","Saint-Jean-sur-Richelieu",65,0,4,19,87,3,6,184,554
24067,"Saint-Jean/Saint-Jean"," 138","Saint-Jean-sur-Richelieu",20,2,8,44,63,1,2,140,369
24067,"Saint-Jean/Saint-Jean"," 139","Saint-Jean-sur-Richelieu",56,2,4,40,102,1,6,211,498
24067,"Saint-Jean/Saint-Jean"," 140","Saint-Jean-sur-Richelieu",28,3,4,29,73,1,4,142,432
24067,"Saint-Jean/Saint-Jean"," 141","Saint-Jean-sur-Richelieu",70,3,4,53,92,3,4,229,491
24067,"Saint-Jean/Saint-Jean"," 142","Saint-Jean-sur-Richelieu",32,0,4,27,86,6,6,161,405
24067,"Saint-Jean/Saint-Jean"," 143","Saint-Jean-sur-Richelieu",35,1,8,48,71,2,3,168,420
24067,"Saint-Jean/Saint-Jean"," 144","Saint-Jean-sur-Richelieu",48,2,3,25,78,0,4,160,402
24067,"Saint-Jean/Saint-Jean"," 145","Saint-Jean-sur-Richelieu",48,1,9,25,94,2,2,181,393
24067,"Saint-Jean/Saint-Jean"," 146","Saint-Jean-sur-Richelieu",39,0,4,40,81,2,5,171,467
24067,"Saint-Jean/Saint-Jean"," 147","Saint-Jean-sur-Richelieu",70,2,5,52,97,3,4,233,620
24067,"Saint-Jean/Saint-Jean"," 148","Saint-Jean-sur-Richelieu",25,1,9,32,55,1,1,124,369
24067,"Saint-Jean/Saint-Jean"," 149","Saint-Jean-sur-Richelieu",27,0,3,26,61,1,4,122,412
