Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mark Gerretsen,Fintan Hartnett,Daria Juüdi-Hope,Bryan Paterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kingston and the Islands/Kingston et les Îles"," 508","Mobile poll/Bureau itinérant",57,1,4,29,4,95,100
35046,"Kingston and the Islands/Kingston et les Îles"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,37
35046,"Kingston and the Islands/Kingston et les Îles"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°411,,,,,,47
35046,"Kingston and the Islands/Kingston et les Îles"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,103
35046,"Kingston and the Islands/Kingston et les Îles"," 512","Kingston",Combined with No./Résultats combinés à ceux du n°133A,,,,,,38
35046,"Kingston and the Islands/Kingston et les Îles"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°412,,,,,,60
35046,"Kingston and the Islands/Kingston et les Îles"," 514","Kingston",Combined with No./Résultats combinés à ceux du n°422,,,,,,79
35046,"Kingston and the Islands/Kingston et les Îles"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°421,,,,,,55
35046,"Kingston and the Islands/Kingston et les Îles"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,82
35046,"Kingston and the Islands/Kingston et les Îles"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,53
35046,"Kingston and the Islands/Kingston et les Îles"," 600","Kingston",682,10,23,329,2,1046,
35046,"Kingston and the Islands/Kingston et les Îles"," 601","Kingston",512,9,42,268,0,831,
35046,"Kingston and the Islands/Kingston et les Îles"," 602","Kingston",684,7,15,421,10,1137,
35046,"Kingston and the Islands/Kingston et les Îles"," 603","Kingston",1335,13,33,596,5,1982,
35046,"Kingston and the Islands/Kingston et les Îles"," 604","Kingston",802,7,36,496,2,1343,
35046,"Kingston and the Islands/Kingston et les Îles"," 605","Kingston",825,8,24,442,7,1306,
35046,"Kingston and the Islands/Kingston et les Îles"," 606","Kingston",664,2,29,331,4,1030,
35046,"Kingston and the Islands/Kingston et les Îles"," 607","Kingston",926,12,54,388,6,1386,
35046,"Kingston and the Islands/Kingston et les Îles"," 608","Kingston",1082,9,42,467,6,1606,
35046,"Kingston and the Islands/Kingston et les Îles"," 609","Kingston",1620,22,74,495,24,2235,
35046,"Kingston and the Islands/Kingston et les Îles"," 610","Kingston",1166,15,51,417,3,1652,
35046,"Kingston and the Islands/Kingston et les Îles"," 611","Kingston",1099,16,51,329,2,1497,
35046,"Kingston and the Islands/Kingston et les Îles"," 612","Kingston",722,18,64,218,4,1026,
35046,"Kingston and the Islands/Kingston et les Îles"," 613","Kingston",688,8,40,248,4,988,
35046,"Kingston and the Islands/Kingston et les Îles"," 614","Kingston",552,10,60,168,2,792,
35046,"Kingston and the Islands/Kingston et les Îles"," 615","Kingston",1032,18,63,186,6,1305,
35046,"Kingston and the Islands/Kingston et les Îles"," 616","Kingston",794,13,99,211,0,1117,
35046,"Kingston and the Islands/Kingston et les Îles"," 617","Kingston",752,19,92,154,6,1023,
35046,"Kingston and the Islands/Kingston et les Îles"," 618","Kingston",468,13,56,281,0,818,
35046,"Kingston and the Islands/Kingston et les Îles"," 619","Kingston",1190,12,32,582,5,1821,
35046,"Kingston and the Islands/Kingston et les Îles"," 620","Kingston",864,8,38,331,2,1243,
35046,"Kingston and the Islands/Kingston et les Îles"," 621","Frontenac Islands",943,13,60,170,5,1191,
35046,"Kingston and the Islands/Kingston et les Îles",,Group 1/Groupe 1, 1036,25,102,627,74,1864,852
35046,"Kingston and the Islands/Kingston et les Îles",,Group 2/Groupe 2, 4635,56,234,1636,2,6563,
