Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Susan Cake,Dwayne Dudiak,Matt Jeneroux,Mark Minenko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton Riverbend/Edmonton Riverbend"," 108","Edmonton",7,2,123,82,2,216,469
48020,"Edmonton Riverbend/Edmonton Riverbend"," 109","Edmonton",6,0,87,67,1,161,528
48020,"Edmonton Riverbend/Edmonton Riverbend"," 110","Edmonton",9,1,110,70,1,191,628
48020,"Edmonton Riverbend/Edmonton Riverbend"," 111","Edmonton",22,0,117,77,4,220,615
48020,"Edmonton Riverbend/Edmonton Riverbend"," 112A","Edmonton",18,0,157,96,4,275,757
48020,"Edmonton Riverbend/Edmonton Riverbend"," 112B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,37
48020,"Edmonton Riverbend/Edmonton Riverbend"," 113","Edmonton",2,2,61,58,0,123,407
48020,"Edmonton Riverbend/Edmonton Riverbend"," 114","Edmonton",1,1,73,45,0,120,435
48020,"Edmonton Riverbend/Edmonton Riverbend"," 115","Edmonton",6,2,79,86,2,175,541
48020,"Edmonton Riverbend/Edmonton Riverbend"," 116","Edmonton",2,1,82,44,0,129,419
48020,"Edmonton Riverbend/Edmonton Riverbend"," 117","Edmonton",4,0,73,58,1,136,469
48020,"Edmonton Riverbend/Edmonton Riverbend"," 118","Edmonton",8,1,65,73,0,147,528
48020,"Edmonton Riverbend/Edmonton Riverbend"," 119","Edmonton",5,0,68,65,0,138,394
48020,"Edmonton Riverbend/Edmonton Riverbend"," 120","Edmonton",13,3,80,58,1,155,417
48020,"Edmonton Riverbend/Edmonton Riverbend"," 121","Edmonton",11,0,105,74,0,190,477
48020,"Edmonton Riverbend/Edmonton Riverbend"," 122","Edmonton",12,0,72,60,2,146,428
48020,"Edmonton Riverbend/Edmonton Riverbend"," 123","Edmonton",4,1,61,64,2,132,439
48020,"Edmonton Riverbend/Edmonton Riverbend"," 124","Edmonton",4,0,124,97,0,225,688
48020,"Edmonton Riverbend/Edmonton Riverbend"," 125","Edmonton",10,3,93,90,3,199,515
48020,"Edmonton Riverbend/Edmonton Riverbend"," 126","Edmonton",10,0,104,81,2,197,491
48020,"Edmonton Riverbend/Edmonton Riverbend"," 127","Edmonton",13,1,100,65,0,179,488
48020,"Edmonton Riverbend/Edmonton Riverbend"," 128","Edmonton",26,2,123,94,1,246,567
48020,"Edmonton Riverbend/Edmonton Riverbend"," 129","Edmonton",6,0,121,76,2,205,525
48020,"Edmonton Riverbend/Edmonton Riverbend"," 130A","Edmonton",5,0,144,113,2,264,648
48020,"Edmonton Riverbend/Edmonton Riverbend"," 130B","Edmonton",6,1,173,84,1,265,600
48020,"Edmonton Riverbend/Edmonton Riverbend"," 131","Edmonton",7,3,103,74,2,189,656
48020,"Edmonton Riverbend/Edmonton Riverbend"," 132","Edmonton",11,5,92,201,1,310,855
48020,"Edmonton Riverbend/Edmonton Riverbend"," 133A","Edmonton",5,3,185,133,3,329,732
48020,"Edmonton Riverbend/Edmonton Riverbend"," 133B","Edmonton",12,0,171,100,3,286,640
48020,"Edmonton Riverbend/Edmonton Riverbend"," 134","Edmonton",5,4,150,137,6,302,882
48020,"Edmonton Riverbend/Edmonton Riverbend"," 135","Edmonton",7,4,120,113,2,246,765
48020,"Edmonton Riverbend/Edmonton Riverbend"," 136","Edmonton",6,1,162,105,1,275,947
48020,"Edmonton Riverbend/Edmonton Riverbend"," 137","Edmonton",14,2,144,120,4,284,866
48020,"Edmonton Riverbend/Edmonton Riverbend"," 138A","Edmonton",13,3,158,118,3,295,766
48020,"Edmonton Riverbend/Edmonton Riverbend"," 138B","Edmonton",10,2,169,108,4,293,762
48020,"Edmonton Riverbend/Edmonton Riverbend"," 139","Edmonton",15,3,213,135,0,366,896
48020,"Edmonton Riverbend/Edmonton Riverbend"," 140","Edmonton",9,2,95,79,1,186,507
48020,"Edmonton Riverbend/Edmonton Riverbend"," 141","Edmonton",7,1,109,102,0,219,565
48020,"Edmonton Riverbend/Edmonton Riverbend"," 142","Edmonton",6,2,94,59,1,162,420
48020,"Edmonton Riverbend/Edmonton Riverbend"," 143","Edmonton",14,2,137,125,2,280,772
48020,"Edmonton Riverbend/Edmonton Riverbend"," 144","Edmonton",5,1,196,97,2,301,828
48020,"Edmonton Riverbend/Edmonton Riverbend"," 145","Edmonton",12,0,178,108,4,302,853
48020,"Edmonton Riverbend/Edmonton Riverbend"," 146","Edmonton",18,4,194,100,1,317,841
48020,"Edmonton Riverbend/Edmonton Riverbend"," 147","Edmonton",18,2,204,120,3,347,873
48020,"Edmonton Riverbend/Edmonton Riverbend"," 148","Edmonton",12,4,165,109,1,291,718
