Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mary Forbes,Cory Grizz Longley,Peter Njenga,David Watson,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 19","Mackenzie",13,14,66,6,191,2,292,341
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 20","Mackenzie",Combined with No./Résultats combinés à ceux du n°19,,,,,,,340
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 21","Mackenzie",Combined with No./Résultats combinés à ceux du n°19,,,,,,,250
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 22","Mackenzie",5,10,24,2,104,2,147,320
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 23","Mackenzie",Combined with No./Résultats combinés à ceux du n°22,,,,,,,327
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 24","Mackenzie",5,12,35,1,86,1,140,429
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 25","Mackenzie",8,2,23,2,74,0,109,388
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 26","Mackenzie",3,13,19,2,73,3,113,386
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 27","Hudson's Hope",7,7,28,8,187,1,238,437
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 28","Hudson's Hope",2,12,38,8,142,0,202,331
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 29","Fort St. John",2,2,11,1,144,2,162,419
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 30","Fort St. John",1,1,6,0,87,3,98,454
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 31","Charlie Lake",1,6,13,4,195,0,219,544
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 32","Charlie Lake",0,2,8,7,164,0,181,387
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 33","Charlie Lake",1,3,9,4,157,1,175,403
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 34","Charlie Lake",0,6,7,0,114,0,127,342
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 35","Charlie Lake",0,2,15,2,154,0,173,421
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 36","Charlie Lake",3,2,11,2,117,0,135,321
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 37","Clairmont",1,1,10,3,136,1,152,478
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 38","Moberly Lake",3,1,7,1,136,1,149,376
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 39","Charlie Lake",1,5,6,2,147,1,162,446
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 40","Cecil Lake",0,4,4,4,162,0,174,283
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 41","Fort St. John",1,5,23,5,147,0,181,504
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 42","Fort St. John",1,8,33,1,140,1,184,518
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 43","Fort St. John",4,8,25,3,155,0,195,574
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 44","Fort St. John",1,7,17,2,113,4,144,421
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 45","Fort St. John",3,8,23,0,107,1,142,385
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 46","Fort St. John",2,3,23,2,122,0,152,442
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 47","Fort St. John",3,6,27,0,121,0,157,442
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 48","Fort St. John",6,5,16,2,84,0,113,379
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 49","Fort St. John",1,7,16,0,155,0,179,506
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 50","Fort St. John",5,8,19,3,102,2,139,397
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 51","Fort St. John",3,5,24,3,65,4,104,324
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 52","Fort St. John",5,4,14,0,73,0,96,352
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 53","Fort St. John",3,7,26,0,81,0,117,378
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 54","Fort St. John",3,6,25,2,129,1,166,470
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 55","Fort St. John",3,8,25,0,141,0,177,499
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 56","Fort St. John",2,3,14,0,106,0,125,406
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 57","Fort St. John",0,4,17,1,91,0,113,416
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 58","Fort St. John",0,10,20,2,77,0,109,469
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 59","Fort St. John",0,7,17,3,53,1,81,299
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 60","Fort St. John",2,6,15,1,76,1,101,364
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 61","Fort St. John",4,3,10,1,89,0,107,387
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 62","Fort St. John",2,14,24,1,105,0,146,476
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 63","Fort St. John",2,6,13,2,52,1,76,348
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 64","Fort St. John",7,8,15,3,99,0,132,456
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 65","Fort St. John",1,7,11,0,105,2,126,427
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 66","Fort St. John",3,5,6,1,82,1,98,359
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 67","Fort St. John",1,8,16,2,112,0,139,473
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 68","Fort St. John",3,4,12,2,101,1,123,361
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 69","Fort St. John",1,5,13,1,71,0,91,359
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 70","Fort St. John",3,4,10,0,133,1,151,366
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 71","Fort St. John",6,12,24,2,139,1,184,575
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 72","Fort St. John",0,0,21,2,132,0,155,385
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 73","Fort St. John",4,5,11,6,107,0,133,411
