Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Oliver King,Andrew Robinson,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 45","North Vancouver",3,9,60,3,0,97,0,172,481
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 46","North Vancouver",2,19,44,0,3,64,1,133,446
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 47","North Vancouver",3,3,65,0,4,74,0,149,525
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 48","North Vancouver",1,1,53,0,2,66,0,123,380
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 49","North Vancouver",0,1,58,1,1,70,0,131,384
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 50","North Vancouver",1,9,67,1,2,104,1,185,444
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 51","North Vancouver",0,4,58,0,3,80,0,145,433
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 52","North Vancouver",0,5,53,0,6,79,0,143,352
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 53","West Vancouver",0,1,31,1,0,27,1,61,381
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 54","Capilano 5",0,31,18,1,4,51,0,105,446
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 55A","Capilano 5",1,5,26,1,1,53,0,87,435
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 55B","Capilano 5",2,7,29,0,3,52,3,96,473
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 56","Capilano 5",1,7,40,1,1,54,0,104,394
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 57","Capilano 5",0,20,16,0,8,52,1,97,391
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 58","North Vancouver",0,5,60,0,2,70,0,137,372
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 59","North Vancouver",1,6,62,0,5,71,3,148,440
