Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kerry-Lynne Findlay,Christine Kinnie,Ernie Klassen,Jureun Park,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 103","White Rock",39,0,58,2,1,100,433
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 104","Surrey",91,2,78,5,3,179,478
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 105","Surrey",61,3,89,2,3,158,526
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 106","Surrey",77,5,82,10,2,176,499
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 107","Surrey",77,4,66,6,2,155,508
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 108","Surrey",71,4,73,5,1,154,424
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 109","Surrey",65,1,88,8,0,162,409
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 110","Surrey",74,3,114,11,0,202,482
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 111","Surrey",81,4,61,11,0,157,388
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 112","Surrey",77,4,73,4,2,160,569
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 113","Surrey",106,3,81,5,1,196,472
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 114","Surrey",73,3,77,6,1,160,489
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 115","Surrey",112,3,97,9,0,221,492
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 116","White Rock",111,3,90,9,2,215,509
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 117","Surrey",64,1,89,8,2,164,400
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 118","Surrey",98,4,67,8,0,177,438
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 119","White Rock",81,2,76,3,2,164,455
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 120","Surrey",64,0,50,1,0,115,464
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 121","Surrey",59,1,51,11,1,123,423
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 122","Surrey",78,1,76,4,0,159,571
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 123","Surrey",71,0,62,3,2,138,541
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 124","Surrey",96,2,80,4,1,183,607
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 125","Surrey",115,1,39,5,0,160,507
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 126","Surrey",119,2,66,1,3,191,587
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 127","Surrey",78,5,61,7,0,151,536
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 128","Surrey",123,1,63,2,2,191,569
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 129","White Rock",38,1,49,4,0,92,339
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 130","White Rock",32,2,48,5,1,88,367
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 131","White Rock",59,2,53,6,0,120,482
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 132","Surrey",35,3,45,6,1,90,384
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 133","Surrey",48,2,62,6,0,118,317
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 134","Surrey",54,3,53,4,1,115,504
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 135","White Rock",Combined with No./Résultats combinés à ceux du n°133,,,,,,200
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 136","White Rock",75,0,79,2,0,156,602
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 137","White Rock",41,2,46,4,1,94,367
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 138","White Rock",63,0,64,1,0,128,413
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 139","White Rock",26,2,46,3,0,77,386
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 140","White Rock",48,2,58,7,0,115,611
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 141","White Rock",37,0,53,2,1,93,441
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 142","White Rock",29,0,39,5,0,73,356
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 143","White Rock",30,6,39,7,0,82,431
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 144A","Surrey",51,3,59,3,3,119,520
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 144B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,120
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 145","Surrey",86,10,110,3,2,211,561
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 146","White Rock",83,7,97,5,2,194,643
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 147","White Rock",64,2,92,9,0,167,412
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 148","White Rock",59,5,66,1,0,131,471
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 149","White Rock",57,0,53,0,0,110,482
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 150","White Rock",42,4,60,1,0,107,447
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 151","White Rock",102,1,66,2,0,171,494
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 152","White Rock",59,1,46,1,2,109,386
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 153","White Rock",68,0,62,0,0,130,463
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 154","White Rock",85,4,111,6,1,207,459
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 155","White Rock",83,4,75,2,1,165,454
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 156","White Rock",94,7,111,0,0,212,517
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 157","White Rock",100,3,86,5,4,198,526
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 158","White Rock",53,3,51,4,0,111,459
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 159","White Rock",75,2,87,4,0,168,528
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 160","White Rock",47,2,55,6,0,110,385
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 161","White Rock",95,4,76,6,0,181,498
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 162","White Rock",83,4,70,5,0,162,471
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 163","Surrey",60,0,43,8,1,112,431
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 164","Surrey",86,4,104,7,1,202,558
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 165","Surrey",92,4,100,1,0,197,360
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 166","Surrey",100,2,139,9,1,251,530
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 167","Surrey",76,0,102,13,3,194,582
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 168","Surrey",82,1,70,9,0,162,429
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 169","Surrey",111,2,107,2,0,222,556
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 170","Surrey",77,0,94,5,0,176,434
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 171","White Rock",40,1,63,2,0,106,471
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 172","White Rock",64,1,66,0,1,132,396
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 173","White Rock",34,1,60,2,2,99,425
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 174","White Rock",87,7,78,8,1,181,487
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 175","White Rock",76,3,64,3,0,146,444
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 176","Semiahmoo",8,0,10,2,0,20,59
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 177A","Surrey",81,3,61,4,1,150,393
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 177B","Surrey",104,0,57,2,0,163,423
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 178","Surrey",127,63,1,2,0,193,488
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 179","Surrey",90,4,82,4,0,180,555
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 180","Surrey",108,2,66,0,0,176,445
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 181","Surrey",81,6,70,8,1,166,561
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 182","Surrey",72,0,39,2,0,113,449
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 183","Surrey",53,1,64,4,0,122,511
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 184","Surrey",109,2,54,3,0,168,583
