Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris d'Entremont,Ingrid Deon,Ronnie LeBlanc,Matthew Piggott,James Strange,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Acadie--Annapolis/Acadie--Annapolis"," 98","Danvers",71,2,36,2,0,1,112,240
12001,"Acadie--Annapolis/Acadie--Annapolis"," 99","Plympton",96,14,47,2,4,2,165,446
12001,"Acadie--Annapolis/Acadie--Annapolis"," 100","Ashmore",110,13,45,6,3,1,178,423
12001,"Acadie--Annapolis/Acadie--Annapolis"," 101","Weymouth North",72,5,34,1,2,0,114,354
12001,"Acadie--Annapolis/Acadie--Annapolis"," 102","New Edinburgh",40,4,29,0,0,0,73,358
12001,"Acadie--Annapolis/Acadie--Annapolis"," 103","Belliveaus Cove",39,4,57,1,0,0,101,338
12001,"Acadie--Annapolis/Acadie--Annapolis"," 104","Weymouth",61,3,38,3,3,1,109,352
12001,"Acadie--Annapolis/Acadie--Annapolis"," 105","Weymouth",53,6,42,0,2,2,105,334
12001,"Acadie--Annapolis/Acadie--Annapolis"," 106","Havelock",99,5,34,0,2,0,140,260
12001,"Acadie--Annapolis/Acadie--Annapolis"," 107","Corberrie",68,1,27,0,1,0,97,233
12001,"Acadie--Annapolis/Acadie--Annapolis"," 108","Grosses Coques",50,5,69,2,2,0,128,392
12001,"Acadie--Annapolis/Acadie--Annapolis"," 109","Church Point",35,3,43,3,1,1,86,259
12001,"Acadie--Annapolis/Acadie--Annapolis"," 110","Concession",72,5,54,1,0,4,136,369
12001,"Acadie--Annapolis/Acadie--Annapolis"," 111","Little Brook",58,3,48,2,3,1,115,359
12001,"Acadie--Annapolis/Acadie--Annapolis"," 112","Comeauville",26,8,44,3,2,1,84,291
12001,"Acadie--Annapolis/Acadie--Annapolis"," 113","Saulnierville",44,2,19,0,1,0,66,271
12001,"Acadie--Annapolis/Acadie--Annapolis"," 114","Saulnierville Station",79,6,67,1,3,0,156,447
12001,"Acadie--Annapolis/Acadie--Annapolis"," 115","Saulnierville",21,1,24,2,1,2,51,218
12001,"Acadie--Annapolis/Acadie--Annapolis"," 116","Lower Saulnierville",65,6,44,0,2,1,118,395
12001,"Acadie--Annapolis/Acadie--Annapolis"," 117","Meteghan River",33,0,51,1,0,0,85,232
12001,"Acadie--Annapolis/Acadie--Annapolis"," 118","Meteghan Centre",36,4,55,2,0,1,98,284
12001,"Acadie--Annapolis/Acadie--Annapolis"," 119","Meteghan",54,8,67,3,1,1,134,321
12001,"Acadie--Annapolis/Acadie--Annapolis"," 120","St. Martin",84,1,65,1,0,0,151,384
12001,"Acadie--Annapolis/Acadie--Annapolis"," 121A","Meteghan",60,7,66,4,2,0,139,345
12001,"Acadie--Annapolis/Acadie--Annapolis"," 121B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,99
12001,"Acadie--Annapolis/Acadie--Annapolis"," 122","St. Alphonse",45,6,39,0,1,0,91,279
12001,"Acadie--Annapolis/Acadie--Annapolis"," 123","Cape St. Marys",59,3,44,0,1,0,107,274
12001,"Acadie--Annapolis/Acadie--Annapolis"," 124","Hectanooga",93,3,69,1,1,1,168,338
12001,"Acadie--Annapolis/Acadie--Annapolis"," 125","Salmon River",82,12,72,2,1,0,169,339
12001,"Acadie--Annapolis/Acadie--Annapolis"," 126","Kemptville",91,3,80,2,1,2,179,276
12001,"Acadie--Annapolis/Acadie--Annapolis"," 127","Carleton",144,12,73,0,2,0,231,468
12001,"Acadie--Annapolis/Acadie--Annapolis"," 128","Brazil Lake",78,7,39,1,1,0,126,341
12001,"Acadie--Annapolis/Acadie--Annapolis"," 129","Pleasant Valley",57,4,50,1,0,0,112,317
12001,"Acadie--Annapolis/Acadie--Annapolis"," 130","Quinan",128,7,64,4,5,3,211,311
12001,"Acadie--Annapolis/Acadie--Annapolis"," 131","Raynardton",88,6,50,4,0,0,148,304
12001,"Acadie--Annapolis/Acadie--Annapolis"," 132","Raynardton",62,2,52,0,2,1,119,241
12001,"Acadie--Annapolis/Acadie--Annapolis"," 133","Brenton",92,4,53,0,1,0,150,343
12001,"Acadie--Annapolis/Acadie--Annapolis"," 134","Brenton",111,9,56,1,1,2,180,372
12001,"Acadie--Annapolis/Acadie--Annapolis"," 135","South Ohio",92,6,58,0,1,1,158,343
12001,"Acadie--Annapolis/Acadie--Annapolis"," 136","Port Maitland",101,3,115,0,3,1,223,387
12001,"Acadie--Annapolis/Acadie--Annapolis"," 137","Sandford",85,6,55,3,1,0,150,405
12001,"Acadie--Annapolis/Acadie--Annapolis"," 138","Wellington",55,4,34,1,1,0,95,324
