Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Khalis Ahmed,Paul Godard,David GL McKenzie,Grant Strem,Bryndis Whitson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Signal Hill/Calgary Signal Hill"," 142","Calgary",5,0,74,1,39,0,119,403
48013,"Calgary Signal Hill/Calgary Signal Hill"," 143","Calgary",3,0,130,1,60,0,194,485
48013,"Calgary Signal Hill/Calgary Signal Hill"," 144","Calgary",4,0,104,1,48,2,159,444
48013,"Calgary Signal Hill/Calgary Signal Hill"," 145","Calgary",2,0,106,2,55,1,166,456
48013,"Calgary Signal Hill/Calgary Signal Hill"," 146","Calgary",3,1,157,4,73,0,238,597
48013,"Calgary Signal Hill/Calgary Signal Hill"," 147","Calgary",3,0,151,3,72,0,229,522
48013,"Calgary Signal Hill/Calgary Signal Hill"," 148","Calgary",2,2,139,1,48,0,192,544
48013,"Calgary Signal Hill/Calgary Signal Hill"," 149","Calgary",3,1,84,3,53,1,145,420
48013,"Calgary Signal Hill/Calgary Signal Hill"," 150","Calgary",8,1,115,0,100,0,224,732
48013,"Calgary Signal Hill/Calgary Signal Hill"," 151","Calgary",4,0,94,0,54,0,152,417
48013,"Calgary Signal Hill/Calgary Signal Hill"," 152","Calgary",3,0,104,0,47,1,155,442
48013,"Calgary Signal Hill/Calgary Signal Hill"," 153","Calgary",1,3,133,0,62,0,199,649
48013,"Calgary Signal Hill/Calgary Signal Hill"," 154","Calgary",Combined with No./Résultats combinés à ceux du n°155,,,,,,,350
48013,"Calgary Signal Hill/Calgary Signal Hill"," 155","Calgary",5,0,134,0,97,0,236,387
48013,"Calgary Signal Hill/Calgary Signal Hill"," 156","Calgary",6,2,79,0,54,0,141,400
48013,"Calgary Signal Hill/Calgary Signal Hill"," 157","Calgary",2,1,72,1,49,0,125,346
48013,"Calgary Signal Hill/Calgary Signal Hill"," 158","Calgary",1,1,66,4,65,2,139,463
48013,"Calgary Signal Hill/Calgary Signal Hill"," 159","Calgary",8,0,76,7,42,0,133,458
48013,"Calgary Signal Hill/Calgary Signal Hill"," 160","Calgary",8,1,80,4,69,0,162,546
