Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 97B","Wood Buffalo",0,2,0,0,69,20,0,91,353
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 98","Wood Buffalo",0,7,1,0,129,13,0,150,390
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 99","Wood Buffalo",0,6,4,0,137,14,0,161,407
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 100","Wood Buffalo",0,4,2,2,108,15,1,132,410
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 101","Wood Buffalo",0,1,3,0,116,5,1,126,384
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 102","Wood Buffalo",0,2,2,0,126,19,2,151,417
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 103","Wood Buffalo",2,6,5,1,184,20,1,219,346
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 104","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°103,,,,,,,,220
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 105","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°31,,,,,,,,212
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 106","Fort McMurray",Combined with No./Résultats combinés à ceux du n°37,,,,,,,,279
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 107","Wood Buffalo",0,6,0,0,103,24,1,134,366
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 108","Wood Buffalo",0,9,2,2,105,25,2,145,335
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 109","Wood Buffalo",1,5,1,0,118,15,0,140,403
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 110","Wood Buffalo",1,10,6,1,53,41,1,113,554
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 111","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°112A,,,,,,,,224
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 112A","Wood Buffalo",0,3,3,2,132,32,2,174,358
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 112B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,10
