Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 51","Pickering",145,5,0,1,96,1,2,250,626
35087,"Pickering--Brooklin/Pickering--Brooklin"," 52","Pickering",77,5,0,3,61,1,0,147,462
35087,"Pickering--Brooklin/Pickering--Brooklin"," 53","Pickering",87,3,1,2,95,1,5,194,558
35087,"Pickering--Brooklin/Pickering--Brooklin"," 54","Pickering",94,5,0,1,81,3,1,185,505
35087,"Pickering--Brooklin/Pickering--Brooklin"," 55A","Pickering",68,6,3,0,43,0,0,120,344
35087,"Pickering--Brooklin/Pickering--Brooklin"," 55B","Pickering",81,0,3,1,59,0,0,144,349
35087,"Pickering--Brooklin/Pickering--Brooklin"," 56","Pickering",116,7,2,2,137,1,0,265,615
35087,"Pickering--Brooklin/Pickering--Brooklin"," 57","Pickering",110,7,3,1,79,0,1,201,511
35087,"Pickering--Brooklin/Pickering--Brooklin"," 58","Pickering",95,11,3,1,56,5,1,172,483
35087,"Pickering--Brooklin/Pickering--Brooklin"," 59","Pickering",110,8,5,2,65,3,1,194,581
35087,"Pickering--Brooklin/Pickering--Brooklin"," 60","Pickering",124,6,7,0,34,2,1,174,572
35087,"Pickering--Brooklin/Pickering--Brooklin"," 61","Pickering",113,6,3,1,52,1,3,179,581
35087,"Pickering--Brooklin/Pickering--Brooklin"," 62","Pickering",81,3,1,0,52,1,0,138,480
35087,"Pickering--Brooklin/Pickering--Brooklin"," 63","Pickering",68,2,1,1,45,2,0,119,455
35087,"Pickering--Brooklin/Pickering--Brooklin"," 64","Pickering",121,11,3,1,73,1,1,211,601
35087,"Pickering--Brooklin/Pickering--Brooklin"," 65","Pickering",109,7,2,4,76,3,1,202,607
35087,"Pickering--Brooklin/Pickering--Brooklin"," 66","Pickering",127,7,4,6,91,1,0,236,525
35087,"Pickering--Brooklin/Pickering--Brooklin"," 67","Pickering",108,6,0,5,65,1,0,185,504
35087,"Pickering--Brooklin/Pickering--Brooklin"," 68","Pickering",105,3,4,1,44,0,1,158,419
35087,"Pickering--Brooklin/Pickering--Brooklin"," 69","Pickering",102,8,2,1,53,0,2,168,429
35087,"Pickering--Brooklin/Pickering--Brooklin"," 70","Pickering",80,6,0,1,67,1,0,155,502
35087,"Pickering--Brooklin/Pickering--Brooklin"," 71","Pickering",113,1,3,1,61,3,1,183,496
35087,"Pickering--Brooklin/Pickering--Brooklin"," 72","Pickering",91,1,4,1,78,5,0,180,471
35087,"Pickering--Brooklin/Pickering--Brooklin"," 73","Pickering",116,1,3,0,59,1,1,181,545
35087,"Pickering--Brooklin/Pickering--Brooklin"," 74","Pickering",80,10,1,2,72,0,3,168,471
35087,"Pickering--Brooklin/Pickering--Brooklin"," 75A","Pickering",50,6,3,3,38,1,0,101,303
35087,"Pickering--Brooklin/Pickering--Brooklin"," 75B","Pickering",49,4,1,1,42,2,1,100,335
35087,"Pickering--Brooklin/Pickering--Brooklin"," 76","Pickering",85,9,0,0,58,2,0,154,402
35087,"Pickering--Brooklin/Pickering--Brooklin"," 77","Pickering",69,1,0,0,35,2,0,107,465
