Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nikita Mahood,Dan Muys,Anita Payne,Chuck Phillips,Peter Werhun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 502","Mobile poll/Bureau itinérant",2,22,2,36,6,2,70,66
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 503","Mobile poll/Bureau itinérant",2,20,5,22,13,5,67,48
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,41
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 505","Hamilton",Combined with No./Résultats combinés à ceux du n°53,,,,,,,37
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,17
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 507","Mobile poll/Bureau itinérant",4,40,1,36,4,2,87,87
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 508","Mobile poll/Bureau itinérant",1,37,3,64,7,3,115,166
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,37
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,85
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 600","Hamilton",15,1015,10,895,17,12,1964,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 601","Hamilton",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 602","Hamilton",0,559,7,521,20,2,1109,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 603","Hamilton",7,849,16,1055,33,6,1966,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 604","Hamilton",9,995,7,1081,36,11,2139,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 605","Hamilton",10,805,4,1128,38,10,1995,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 606","Hamilton",6,344,8,464,15,6,843,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 607","Hamilton",5,432,5,299,11,0,752,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 608","Hamilton",5,473,9,419,19,3,928,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 609","Brant",4,442,7,249,10,2,714,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 610","Brant",6,595,16,743,38,6,1404,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 611","Brant",5,935,18,897,43,16,1914,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 612","Brant",7,734,12,898,38,9,1698,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 613","Brant",12,872,7,677,14,1,1583,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 614","Hamilton",8,610,9,450,27,4,1108,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 615","Hamilton",4,456,5,554,20,0,1039,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 616","Hamilton",17,930,11,729,57,9,1753,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 617","Hamilton",Combined with No./Résultats combinés à ceux du n°620,,,,,,,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 618","Hamilton",5,519,10,448,23,5,1010,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 619","Hamilton",12,918,5,774,37,7,1753,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 620","Hamilton",7,816,15,431,34,8,1311,
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord",,Group 1/Groupe 1, 4,338,8,502,32,57,941,241
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord",,Group 2/Groupe 2, 12,666,9,709,27,32,1455,
