Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nicolas Godin,Maria Korpijaakko,Mirabelle Leins,Bienvenu-Olivier Ntumba,Patrick Rochon,Noémie Rouillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 175","Longueuil",43,0,8,88,2,61,2,204,475
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 176","Longueuil",33,0,6,43,0,54,2,138,348
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 177","Longueuil",63,3,11,99,2,67,7,252,639
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 178","Longueuil",35,2,7,72,0,29,5,150,363
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 179","Longueuil",44,1,10,107,1,47,4,214,586
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 180","Longueuil",36,4,4,101,1,55,7,208,560
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 181","Longueuil",31,4,4,131,5,85,1,261,476
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 182","Longueuil",31,3,7,112,1,34,1,189,399
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 183","Longueuil",39,2,5,106,0,80,0,232,475
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 184","Longueuil",23,0,1,71,0,43,5,143,362
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 185","Longueuil",38,5,6,63,0,56,2,170,457
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 186A","Longueuil",32,0,5,61,0,40,0,138,380
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 186B","Longueuil",42,0,2,48,0,34,0,126,342
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 187","Longueuil",26,3,7,76,1,43,4,160,364
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 188","Longueuil",47,3,4,57,7,73,2,193,536
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 189","Longueuil",52,2,11,64,6,56,2,193,583
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 190","Longueuil",50,1,5,71,6,44,2,179,424
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 191","Carignan",52,6,7,127,1,84,4,281,557
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 192A","Carignan",74,4,6,70,1,103,2,260,594
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 192B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,20
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 193","Carignan",38,1,4,66,3,91,3,206,454
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 194","Carignan",54,1,16,117,2,93,1,284,551
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 195","Carignan",50,5,6,58,0,50,1,170,416
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 196","Carignan",61,0,4,124,1,52,4,246,494
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 197","Carignan",25,0,1,64,0,75,2,167,430
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 198","Carignan",44,4,10,71,0,75,5,209,492
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 199","Carignan",41,5,3,109,1,77,2,238,580
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 200","Carignan",45,4,3,67,0,55,2,176,431
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 201","Carignan",25,5,4,46,0,65,0,145,352
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 400","Sainte-Julie",28,3,3,100,0,88,6,228,350
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 401","Sainte-Julie",11,1,1,265,1,101,16,396,520
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 402","Sainte-Julie",19,0,7,163,2,102,24,317,462
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 403","Saint-Bruno-de-Montarville",7,2,0,85,0,32,13,139,132
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 404","Saint-Bruno-de-Montarville",9,0,3,171,1,48,8,240,287
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 405","Longueuil",12,3,0,55,1,36,12,119,182
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 500","Mobile poll/Bureau itinérant",9,2,4,54,3,46,17,135,140
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,58
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 502","Mobile poll/Bureau itinérant",10,1,5,32,2,48,5,103,112
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,60
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 504","Mobile poll/Bureau itinérant",7,0,2,26,0,16,6,57,69
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 505","Mobile poll/Bureau itinérant",4,0,0,11,0,11,0,26,47
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,30
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 507","Mobile poll/Bureau itinérant",6,3,2,5,1,9,0,26,17
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 508","Longueuil",Combined with No./Résultats combinés à ceux du n°146,,,,,,,,5
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,50
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 600","Sainte-Julie",149,10,24,615,7,630,19,1454,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 601","Sainte-Julie",153,7,13,661,6,510,12,1362,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 602","Sainte-Julie",166,12,24,626,2,656,25,1511,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 603","Sainte-Julie",159,9,17,651,8,459,13,1316,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 604","Sainte-Julie",130,14,34,925,1,716,16,1836,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 605","Saint-Bruno-de-Montarville",133,15,32,1047,10,448,19,1704,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 606","Saint-Bruno-de-Montarville",111,15,32,963,5,441,19,1586,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 607","Saint-Bruno-de-Montarville",106,14,18,1114,7,390,12,1661,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 608","Saint-Basile-le-Grand",152,14,44,756,9,549,8,1532,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 609","Saint-Basile-le-Grand",167,17,39,576,8,572,15,1394,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 610","Saint-Basile-le-Grand",182,13,34,757,6,595,14,1601,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 611","Saint-Bruno-de-Montarville",149,8,18,851,4,399,14,1443,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 612","Longueuil",193,20,37,770,12,591,14,1637,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 613","Longueuil",156,15,29,622,9,470,8,1309,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 614","Longueuil",172,12,30,784,5,495,18,1516,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 615","Longueuil",221,10,34,750,5,493,15,1528,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 616","Carignan",189,9,18,599,12,433,16,1276,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 617","Carignan",185,10,24,529,7,404,5,1164,
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie",,Group 1/Groupe 1, 100,17,38,410,4,202,54,825,167
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie",,Group 2/Groupe 2, 107,20,13,562,7,268,26,1003,
