Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rob Batherson,Lena Metlege Diab,Adam LeRue,Ron G. Parker,Rae Tench,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Halifax West/Halifax-Ouest"," 169","Whites Lake",101,96,1,1,4,0,203,374
12007,"Halifax West/Halifax-Ouest"," 170","Shad Bay",71,145,2,2,12,0,232,422
12007,"Halifax West/Halifax-Ouest"," 171","Terence Bay",116,83,8,1,21,0,229,435
12007,"Halifax West/Halifax-Ouest"," 172","Whites Lake",96,145,5,2,14,1,263,531
12007,"Halifax West/Halifax-Ouest"," 173","Lower Prospect",92,98,2,1,11,1,205,397
12007,"Halifax West/Halifax-Ouest"," 174","Shad Bay",89,118,1,1,28,0,237,440
12007,"Halifax West/Halifax-Ouest"," 175","Bayside",78,102,3,2,5,0,190,335
12007,"Halifax West/Halifax-Ouest"," 176","Prospect",55,103,3,3,9,1,174,421
12007,"Halifax West/Halifax-Ouest"," 177","Prospect",38,79,2,0,11,0,130,263
12007,"Halifax West/Halifax-Ouest"," 178","West Dover--Middle Village",64,45,0,3,8,1,121,253
12007,"Halifax West/Halifax-Ouest"," 179","East Dover--McGraths Cove",42,86,2,2,3,1,136,234
12007,"Halifax West/Halifax-Ouest"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°404,,,,,,,146
12007,"Halifax West/Halifax-Ouest"," 401","Halifax",25,35,1,1,5,0,67,179
12007,"Halifax West/Halifax-Ouest"," 402","Halifax",Combined with No./Résultats combinés à ceux du n°51,,,,,,,128
12007,"Halifax West/Halifax-Ouest"," 403","Halifax",Combined with No./Résultats combinés à ceux du n°51,,,,,,,128
12007,"Halifax West/Halifax-Ouest"," 404","Mobile poll/Bureau itinérant",39,83,3,2,8,8,143,219
12007,"Halifax West/Halifax-Ouest"," 500","Mobile poll/Bureau itinérant",5,14,0,0,2,0,21,16
12007,"Halifax West/Halifax-Ouest"," 501","Mobile poll/Bureau itinérant",14,57,0,1,6,2,80,70
12007,"Halifax West/Halifax-Ouest"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,49
12007,"Halifax West/Halifax-Ouest"," 503","Mobile poll/Bureau itinérant",17,28,1,1,4,1,52,42
12007,"Halifax West/Halifax-Ouest"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,48
12007,"Halifax West/Halifax-Ouest"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,9
12007,"Halifax West/Halifax-Ouest"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,15
12007,"Halifax West/Halifax-Ouest"," 600","Halifax",786,2143,13,11,78,7,3038,
12007,"Halifax West/Halifax-Ouest"," 601","Halifax",261,757,2,9,50,5,1084,
12007,"Halifax West/Halifax-Ouest"," 602","Halifax",380,1450,3,16,64,10,1923,
12007,"Halifax West/Halifax-Ouest"," 603","Halifax",282,966,6,11,87,6,1358,
12007,"Halifax West/Halifax-Ouest"," 604","Halifax",198,568,8,9,56,2,841,
