Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nesrine Benhadj,Martine Boucher,Natilien Joseph,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 612","Longueuil",36,95,294,341,14,780,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 613","Longueuil",51,168,357,427,29,1032,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 614","Longueuil",25,67,211,177,8,488,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 615","Longueuil",31,54,291,272,10,658,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 616","Longueuil",29,103,361,378,14,885,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 617","Longueuil",21,144,454,408,15,1042,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 618","Longueuil",33,122,370,346,9,880,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 619","Longueuil",23,85,288,220,7,623,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 620","Longueuil",58,215,708,574,36,1591,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 621","Longueuil",57,231,619,625,29,1561,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 622","Longueuil",66,226,642,644,24,1602,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert",,Group 1/Groupe 1, 57,93,293,191,51,685,174
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert",,Group 2/Groupe 2, 54,133,746,539,56,1528,
