Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alex Boykowich,Blake Desjarlais,Kerry Diotte,Michael Hunter,Mary Joyce,Patrick Lennox,Thomas Matty,Brent Tyson,Crystal Vargas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton Griesbach/Edmonton Griesbach"," 87","Edmonton",1,112,58,3,1,42,3,0,0,0,220,642
48017,"Edmonton Griesbach/Edmonton Griesbach"," 88","Edmonton",0,91,139,3,0,32,3,2,0,2,272,557
48017,"Edmonton Griesbach/Edmonton Griesbach"," 89","Edmonton",2,47,98,1,0,23,2,0,0,4,177,531
48017,"Edmonton Griesbach/Edmonton Griesbach"," 90","Edmonton",1,58,68,2,0,32,0,0,1,3,165,517
48017,"Edmonton Griesbach/Edmonton Griesbach"," 91","Edmonton",0,51,79,0,0,23,1,0,0,0,154,545
48017,"Edmonton Griesbach/Edmonton Griesbach"," 92","Edmonton",2,60,83,1,0,36,1,0,1,0,184,543
48017,"Edmonton Griesbach/Edmonton Griesbach"," 93","Edmonton",2,48,50,4,0,18,1,0,1,1,125,446
48017,"Edmonton Griesbach/Edmonton Griesbach"," 94","Edmonton",0,44,39,1,0,28,1,0,1,1,115,508
48017,"Edmonton Griesbach/Edmonton Griesbach"," 95","Edmonton",0,51,71,2,0,22,0,0,0,1,147,534
48017,"Edmonton Griesbach/Edmonton Griesbach"," 96","Edmonton",0,43,42,0,2,17,0,0,0,0,104,486
48017,"Edmonton Griesbach/Edmonton Griesbach"," 97","Edmonton",1,42,74,3,0,34,2,1,0,5,162,602
48017,"Edmonton Griesbach/Edmonton Griesbach"," 98","Edmonton",3,56,65,1,1,28,3,0,1,0,158,559
48017,"Edmonton Griesbach/Edmonton Griesbach"," 99","Edmonton",0,90,57,2,0,31,0,0,0,5,185,613
48017,"Edmonton Griesbach/Edmonton Griesbach"," 100","Edmonton",0,97,58,5,0,61,2,0,1,1,225,620
48017,"Edmonton Griesbach/Edmonton Griesbach"," 101","Edmonton",3,81,124,1,0,28,2,0,0,1,240,589
48017,"Edmonton Griesbach/Edmonton Griesbach"," 102","Edmonton",0,64,70,2,1,25,0,1,0,1,164,522
48017,"Edmonton Griesbach/Edmonton Griesbach"," 103","Edmonton",1,54,75,1,0,52,1,0,0,4,188,561
48017,"Edmonton Griesbach/Edmonton Griesbach"," 104","Edmonton",2,35,65,2,1,25,1,0,1,0,132,385
48017,"Edmonton Griesbach/Edmonton Griesbach"," 105","Edmonton",1,62,128,1,2,26,1,0,0,2,223,497
48017,"Edmonton Griesbach/Edmonton Griesbach"," 106","Edmonton",1,101,145,2,0,31,1,0,0,2,283,597
48017,"Edmonton Griesbach/Edmonton Griesbach"," 107","Edmonton",1,55,106,0,0,18,3,1,0,0,184,426
48017,"Edmonton Griesbach/Edmonton Griesbach"," 108","Edmonton",1,59,82,0,0,35,4,0,0,2,183,531
48017,"Edmonton Griesbach/Edmonton Griesbach"," 109","Edmonton",2,84,61,2,0,27,1,0,0,5,182,575
48017,"Edmonton Griesbach/Edmonton Griesbach"," 110","Edmonton",1,71,67,2,0,24,1,0,1,1,168,541
48017,"Edmonton Griesbach/Edmonton Griesbach"," 111","Edmonton",0,69,57,2,1,27,2,0,0,3,161,544
48017,"Edmonton Griesbach/Edmonton Griesbach"," 112","Edmonton",1,101,91,1,0,41,1,0,0,2,238,605
48017,"Edmonton Griesbach/Edmonton Griesbach"," 113","Edmonton",0,72,62,3,0,43,5,0,1,1,187,601
48017,"Edmonton Griesbach/Edmonton Griesbach"," 114","Edmonton",3,50,30,3,0,24,1,0,1,1,113,332
48017,"Edmonton Griesbach/Edmonton Griesbach"," 115","Edmonton",0,41,140,0,0,36,0,0,0,1,218,474
48017,"Edmonton Griesbach/Edmonton Griesbach"," 116","Edmonton",0,64,147,0,0,21,1,0,0,2,235,579
48017,"Edmonton Griesbach/Edmonton Griesbach"," 117","Edmonton",0,54,125,2,1,15,3,1,0,2,203,596
48017,"Edmonton Griesbach/Edmonton Griesbach"," 118","Edmonton",0,58,78,2,1,44,1,1,1,2,188,542
48017,"Edmonton Griesbach/Edmonton Griesbach"," 119","Edmonton",1,36,63,1,0,9,0,0,0,0,110,385
48017,"Edmonton Griesbach/Edmonton Griesbach"," 120","Edmonton",3,126,62,2,0,26,1,0,0,0,220,514
48017,"Edmonton Griesbach/Edmonton Griesbach"," 121","Edmonton",0,73,78,0,0,21,0,0,1,2,175,564
48017,"Edmonton Griesbach/Edmonton Griesbach"," 122","Edmonton",0,69,164,2,0,62,3,0,2,5,307,598
48017,"Edmonton Griesbach/Edmonton Griesbach"," 123","Edmonton",0,70,147,1,0,26,2,0,1,3,250,575
48017,"Edmonton Griesbach/Edmonton Griesbach"," 124","Edmonton",0,38,81,1,0,22,1,0,0,1,144,355
48017,"Edmonton Griesbach/Edmonton Griesbach"," 125","Edmonton",0,16,37,1,0,22,1,0,0,0,77,257
48017,"Edmonton Griesbach/Edmonton Griesbach"," 126","Edmonton",0,41,126,1,0,39,5,0,1,0,213,525
48017,"Edmonton Griesbach/Edmonton Griesbach"," 127A","Edmonton",2,56,57,2,0,60,4,0,1,4,186,493
48017,"Edmonton Griesbach/Edmonton Griesbach"," 127B","Edmonton",0,45,55,1,0,47,0,0,0,1,149,481
48017,"Edmonton Griesbach/Edmonton Griesbach"," 128","Edmonton",0,60,55,5,1,30,0,0,0,0,151,426
48017,"Edmonton Griesbach/Edmonton Griesbach"," 129","Edmonton",0,77,69,0,0,20,0,0,0,2,168,439
48017,"Edmonton Griesbach/Edmonton Griesbach"," 130","Edmonton",2,57,63,2,1,37,1,0,0,4,167,514
48017,"Edmonton Griesbach/Edmonton Griesbach"," 131","Edmonton",0,34,48,2,0,24,0,0,0,2,110,1867
48017,"Edmonton Griesbach/Edmonton Griesbach"," 132","Edmonton",2,21,12,0,0,13,3,0,0,0,51,287
48017,"Edmonton Griesbach/Edmonton Griesbach"," 133","Edmonton",0,75,87,0,0,23,0,2,1,1,189,574
