Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 551","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°552,,,,,,,14
46007,"Riding Mountain/Mont-Riding"," 552","Mobile poll/Bureau itinérant",1,5,1,16,0,0,23,17
46007,"Riding Mountain/Mont-Riding"," 553","Mobile poll/Bureau itinérant",0,8,3,16,2,0,29,20
46007,"Riding Mountain/Mont-Riding"," 554","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°558,,,,,,,25
46007,"Riding Mountain/Mont-Riding"," 555","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°558,,,,,,,13
46007,"Riding Mountain/Mont-Riding"," 556","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°553,,,,,,,4
46007,"Riding Mountain/Mont-Riding"," 557","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 558","Mobile poll/Bureau itinérant",0,8,6,26,0,2,42,47
46007,"Riding Mountain/Mont-Riding"," 559","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°553,,,,,,,19
46007,"Riding Mountain/Mont-Riding"," 560","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°562,,,,,,,15
46007,"Riding Mountain/Mont-Riding"," 561","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°563,,,,,,,15
46007,"Riding Mountain/Mont-Riding"," 562","Mobile poll/Bureau itinérant",1,18,4,30,1,1,55,23
46007,"Riding Mountain/Mont-Riding"," 563","Mobile poll/Bureau itinérant",1,8,1,25,1,1,37,50
46007,"Riding Mountain/Mont-Riding"," 564","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°562,,,,,,,34
46007,"Riding Mountain/Mont-Riding"," 565","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 566","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 567","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°570,,,,,,,61
46007,"Riding Mountain/Mont-Riding"," 568","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°570,,,,,,,42
46007,"Riding Mountain/Mont-Riding"," 569","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°570,,,,,,,65
46007,"Riding Mountain/Mont-Riding"," 570","Mobile poll/Bureau itinérant",1,31,9,93,1,10,145,40
46007,"Riding Mountain/Mont-Riding"," 571","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°572,,,,,,,24
46007,"Riding Mountain/Mont-Riding"," 572","Mobile poll/Bureau itinérant",1,5,5,20,2,2,35,34
46007,"Riding Mountain/Mont-Riding"," 573","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°572,,,,,,,7
