Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Boisvert,Ruth Fontaine,Barbara Joannette,Dave Pouliot,Jacques Ramsay,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"La Prairie--Atateken/La Prairie--Atateken"," 94","Saint-Constant",4,2,4,33,61,68,0,172,488
24032,"La Prairie--Atateken/La Prairie--Atateken"," 95","Saint-Constant",7,3,1,32,48,60,4,155,448
24032,"La Prairie--Atateken/La Prairie--Atateken"," 96","Saint-Constant",7,1,1,39,63,55,0,166,437
24032,"La Prairie--Atateken/La Prairie--Atateken"," 97","Saint-Constant",6,1,8,51,58,88,0,212,482
24032,"La Prairie--Atateken/La Prairie--Atateken"," 98","Saint-Constant",3,0,0,32,65,54,4,158,370
24032,"La Prairie--Atateken/La Prairie--Atateken"," 99","Saint-Constant",7,0,6,52,71,70,3,209,465
24032,"La Prairie--Atateken/La Prairie--Atateken"," 100","Saint-Constant",5,0,1,42,78,75,2,203,480
24032,"La Prairie--Atateken/La Prairie--Atateken"," 101","Saint-Constant",3,0,1,51,82,75,2,214,509
24032,"La Prairie--Atateken/La Prairie--Atateken"," 102","Saint-Constant",1,0,0,44,72,57,3,177,418
24032,"La Prairie--Atateken/La Prairie--Atateken"," 103","Saint-Constant",3,1,2,51,78,95,2,232,521
24032,"La Prairie--Atateken/La Prairie--Atateken"," 104","Saint-Constant",9,0,4,42,67,88,1,211,526
24032,"La Prairie--Atateken/La Prairie--Atateken"," 105","Saint-Constant",6,4,1,49,60,73,0,193,599
24032,"La Prairie--Atateken/La Prairie--Atateken"," 106","Saint-Constant",6,2,1,57,74,82,5,227,530
24032,"La Prairie--Atateken/La Prairie--Atateken"," 107","Saint-Constant",7,1,6,47,65,72,2,200,571
24032,"La Prairie--Atateken/La Prairie--Atateken"," 108","Saint-Constant",9,0,2,37,69,109,1,227,554
24032,"La Prairie--Atateken/La Prairie--Atateken"," 109","Saint-Constant",6,1,3,43,63,135,3,254,554
24032,"La Prairie--Atateken/La Prairie--Atateken"," 110","Saint-Constant",9,2,2,44,66,100,3,226,535
24032,"La Prairie--Atateken/La Prairie--Atateken"," 111","Saint-Constant",3,3,1,36,50,86,5,184,486
24032,"La Prairie--Atateken/La Prairie--Atateken"," 112","Saint-Constant",3,0,1,28,43,105,3,183,505
24032,"La Prairie--Atateken/La Prairie--Atateken"," 113","Candiac",0,0,1,33,141,52,2,229,506
24032,"La Prairie--Atateken/La Prairie--Atateken"," 114","Candiac",8,1,4,23,76,72,2,186,440
24032,"La Prairie--Atateken/La Prairie--Atateken"," 115","Candiac",2,0,0,64,151,31,0,248,555
24032,"La Prairie--Atateken/La Prairie--Atateken"," 116","Candiac",4,0,1,51,123,53,0,232,517
