Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Fanny Boulanger,Lise Garon,Patrick Gaudreault,Mario Simard,William Van Tassel,Marie-Josée Yelle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Jonquière/Jonquière"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,,27
24030,"Jonquière/Jonquière"," 510","Saguenay",Combined with No./Résultats combinés à ceux du n°50,,,,,,,,42
24030,"Jonquière/Jonquière"," 511","Saguenay",Combined with No./Résultats combinés à ceux du n°52,,,,,,,,20
24030,"Jonquière/Jonquière"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,60
24030,"Jonquière/Jonquière"," 513","Saguenay",Combined with No./Résultats combinés à ceux du n°71,,,,,,,,18
24030,"Jonquière/Jonquière"," 514","Saguenay",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,29
24030,"Jonquière/Jonquière"," 515","Saguenay",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,29
24030,"Jonquière/Jonquière"," 516","Saguenay",7,0,1,28,10,0,0,46,32
24030,"Jonquière/Jonquière"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,30
24030,"Jonquière/Jonquière"," 518","Saguenay",Combined with No./Résultats combinés à ceux du n°82,,,,,,,,17
24030,"Jonquière/Jonquière"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,51
24030,"Jonquière/Jonquière"," 520","Mobile poll/Bureau itinérant",6,1,1,18,17,0,1,44,43
24030,"Jonquière/Jonquière"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,,18
24030,"Jonquière/Jonquière"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,,19
24030,"Jonquière/Jonquière"," 523","Saguenay",Combined with No./Résultats combinés à ceux du n°85,,,,,,,,9
24030,"Jonquière/Jonquière"," 524","Saguenay",Combined with No./Résultats combinés à ceux du n°60,,,,,,,,30
24030,"Jonquière/Jonquière"," 525","Saguenay",Combined with No./Résultats combinés à ceux du n°60,,,,,,,,17
24030,"Jonquière/Jonquière"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,34
24030,"Jonquière/Jonquière"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,20
24030,"Jonquière/Jonquière"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,19
24030,"Jonquière/Jonquière"," 529","Mobile poll/Bureau itinérant",11,4,3,28,36,1,7,90,140
24030,"Jonquière/Jonquière"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,,44
24030,"Jonquière/Jonquière"," 531","Saguenay",Combined with No./Résultats combinés à ceux du n°146,,,,,,,,86
24030,"Jonquière/Jonquière"," 532","Mobile poll/Bureau itinérant",6,1,0,25,21,1,4,58,89
24030,"Jonquière/Jonquière"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,,42
24030,"Jonquière/Jonquière"," 534","Saguenay",Combined with No./Résultats combinés à ceux du n°117,,,,,,,,29
24030,"Jonquière/Jonquière"," 535","Mobile poll/Bureau itinérant",7,1,1,17,7,0,6,39,47
24030,"Jonquière/Jonquière"," 536","Mobile poll/Bureau itinérant",9,1,3,29,17,1,2,62,60
24030,"Jonquière/Jonquière"," 537","Saguenay",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,20
24030,"Jonquière/Jonquière"," 538","Saguenay",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,21
24030,"Jonquière/Jonquière"," 539","Saguenay",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,27
24030,"Jonquière/Jonquière"," 540","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,,22
24030,"Jonquière/Jonquière"," 541","Saint-Bruno",Combined with No./Résultats combinés à ceux du n°133,,,,,,,,5
24030,"Jonquière/Jonquière"," 542","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,30
24030,"Jonquière/Jonquière"," 543","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°545,,,,,,,,9
24030,"Jonquière/Jonquière"," 544","Hébertville",Combined with No./Résultats combinés à ceux du n°166,,,,,,,,10
24030,"Jonquière/Jonquière"," 545","Mobile poll/Bureau itinérant",8,1,0,25,31,0,2,67,35
24030,"Jonquière/Jonquière"," 600","Notre-Dame-de-Lorette",Combined with No./Résultats combinés à ceux du n°601,,,,,,,,
24030,"Jonquière/Jonquière"," 601","Notre-Dame-de-Lorette",75,3,2,58,54,1,1,194,
24030,"Jonquière/Jonquière"," 602","Saint-Fulgence",191,9,9,257,203,2,10,681,
24030,"Jonquière/Jonquière"," 603","L'Ascension",105,5,1,116,86,3,2,318,
24030,"Jonquière/Jonquière"," 604","Saint-Nazaire",124,5,4,145,112,3,8,401,
24030,"Jonquière/Jonquière"," 605","Saint-Ambroise",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
24030,"Jonquière/Jonquière"," 606","Saint-Ambroise",176,6,5,236,172,3,5,603,
24030,"Jonquière/Jonquière"," 607","Saguenay",128,12,6,399,225,12,8,790,
24030,"Jonquière/Jonquière"," 608","Saguenay",163,11,9,328,205,2,4,722,
24030,"Jonquière/Jonquière"," 609","Saguenay",127,12,13,314,219,2,15,702,
24030,"Jonquière/Jonquière"," 610","Saguenay",188,7,5,385,383,5,6,979,
24030,"Jonquière/Jonquière"," 611","Saguenay",157,7,6,345,236,6,6,763,
24030,"Jonquière/Jonquière"," 612","Saguenay",204,8,2,352,317,5,12,900,
24030,"Jonquière/Jonquière"," 613","Saguenay",127,4,4,187,246,1,8,577,
24030,"Jonquière/Jonquière"," 614","Saguenay",217,11,4,471,371,2,21,1097,
24030,"Jonquière/Jonquière"," 615","Saguenay",153,12,4,362,297,4,2,834,
24030,"Jonquière/Jonquière"," 616","Saguenay",107,5,3,188,164,4,6,477,
24030,"Jonquière/Jonquière"," 617","Saguenay",190,12,9,414,349,2,21,997,
24030,"Jonquière/Jonquière"," 618","Larouche",101,2,1,132,116,2,9,363,
24030,"Jonquière/Jonquière"," 619","Saint-Bruno",139,5,2,179,157,7,4,493,
24030,"Jonquière/Jonquière"," 620","Hébertville",56,4,2,120,134,2,5,323,
24030,"Jonquière/Jonquière"," 621","Lac-Ministuk",271,15,8,355,343,4,13,1009,
24030,"Jonquière/Jonquière",,Group 1/Groupe 1, 196,26,4,189,187,12,46,660,76
24030,"Jonquière/Jonquière",,Group 2/Groupe 2, 213,20,11,500,377,6,16,1143,
