Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gregory De Luca,Hector Huerta,William Huynh-Jan,Alexandra Mendès,Zeinab Mistou Akkaoui,Soledad Orihuela-Bouchard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 609","Brossard",18,7,301,910,49,165,21,1471,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 610","Brossard",21,5,383,1302,45,195,14,1965,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 611","Brossard",19,6,231,906,44,167,7,1380,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 612","Brossard",24,9,304,1090,46,199,5,1677,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 613","Brossard",18,3,239,1010,39,165,22,1496,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 614","Brossard",15,7,205,989,43,148,12,1419,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 615","Brossard",13,8,342,1097,43,130,12,1645,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 616","Brossard",12,5,370,909,33,133,9,1471,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert",,Group 1/Groupe 1, 24,4,127,530,43,82,35,845,371
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert",,Group 2/Groupe 2, 23,16,355,1425,76,214,37,2146,
