Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Lambert,Nash Milani,Zoe Royer,Roland Verrier,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 610","Coquitlam",761,12,873,3,310,7,1966,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 611","Port Moody",634,16,1039,3,301,8,2001,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 612","Coquitlam",480,16,724,4,279,2,1505,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 613","Coquitlam",715,9,808,1,303,23,1859,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 614","Coquitlam",669,9,781,2,360,6,1827,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 615","Coquitlam",612,13,653,6,264,6,1554,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 616","Coquitlam",563,7,519,5,301,7,1402,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 617","Coquitlam",540,6,691,2,221,11,1471,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 618","Coquitlam 1",1,0,2,0,10,0,13,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam",,Group 1/Groupe 1, 321,7,538,1,163,46,1076,488
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam",,Group 2/Groupe 2, 727,30,1088,5,457,49,2356,
