Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mel Arnold,John Michael Henry,Phaedra Idzan,Owen Madden,Ken Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 196","Armstrong",69,1,12,5,39,1,127,468
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 197","Spallumcheen",70,2,9,4,38,0,123,379
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 198","Armstrong",64,1,5,1,42,0,113,433
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 199","Armstrong",74,5,12,5,55,1,152,502
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 200","Armstrong",92,0,9,1,48,0,150,469
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 201","Spallumcheen",121,1,6,4,46,3,181,549
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 202","Armstrong",89,3,8,3,42,1,146,545
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 203","Spallumcheen",69,1,9,1,69,1,150,570
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 204A","Parson",22,1,7,7,55,0,92,124
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 204B","Parson",114,2,14,8,68,1,207,140
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 204C","Parson",Combined with No./Résultats combinés à ceux du n°205,,,,,,,70
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 205","Parson",114,2,14,8,68,1,207,329
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 500","Mobile poll/Bureau itinérant",69,2,9,1,122,4,207,155
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,119
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 502","Mobile poll/Bureau itinérant",21,1,8,2,20,0,52,53
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 503","Salmon Arm",Combined with No./Résultats combinés à ceux du n°135,,,,,,,4
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 504","Mobile poll/Bureau itinérant",34,4,11,5,35,7,96,65
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 505","Mobile poll/Bureau itinérant",47,0,15,1,70,4,137,103
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,16
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,49
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 508","Mobile poll/Bureau itinérant",19,4,14,0,14,0,51,17
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 509","Mobile poll/Bureau itinérant",23,1,9,2,10,2,47,57
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,76
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,31
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,23
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,16
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 514","Mobile poll/Bureau itinérant",9,1,8,2,21,0,41,9
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 515","Revelstoke",Combined with No./Résultats combinés à ceux du n°26,,,,,,,32
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,43
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 517","Revelstoke",Combined with No./Résultats combinés à ceux du n°157,,,,,,,5
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,13
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 519","Mobile poll/Bureau itinérant",12,0,3,2,15,1,33,9
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 520","Mobile poll/Bureau itinérant",12,0,3,2,15,1,33,14
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,13
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 522","Mobile poll/Bureau itinérant",20,3,6,0,13,4,46,47
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,22
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,13
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,55
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 526","Mobile poll/Bureau itinérant",52,4,12,5,38,0,111,79
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 600","Thompson-Nicola L (Grasslands)",817,7,86,17,1050,2,1979,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 601","Kamloops",319,3,25,10,493,0,850,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 602","Kamloops ",479,5,70,24,837,3,1418,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 603","Kamloops",782,5,49,8,802,4,1650,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 604","Thompson-Nicola L (Grasslands)",1023,7,87,19,706,6,1848,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 605","Kamloops ",401,1,22,5,204,5,638,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 606","Chase",Combined with No./Résultats combinés à ceux du n°608,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 607","Chase",Combined with No./Résultats combinés à ceux du n°608,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 608","Chase",713,16,67,30,394,4,1224,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 609","Tappen",Combined with No./Résultats combinés à ceux du n°622,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 610","Salmon Arm",737,8,83,41,617,6,1492,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 611","Spallumcheen--Hullcar",Combined with No./Résultats combinés à ceux du n°612,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 612","Spallumcheen",689,9,28,18,341,0,1085,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 613","Armstrong--Spallumcheen",1025,12,100,37,795,4,1973,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 614","Enderby 2",Combined with No./Résultats combinés à ceux du n°615,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 615","Enderby",864,23,76,39,447,6,1455,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 616","Enderby--Mara",624,11,48,30,257,8,978,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 617","Salmon Arm",912,13,116,57,921,2,2021,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 618","Salmon Arm",977,23,162,49,860,3,2074,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 619","Salmon Arm",Combined with No./Résultats combinés à ceux du n°610,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 620","Salmon Arm",Combined with No./Résultats combinés à ceux du n°610,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 621","Sorrento--Eagle Bay",892,8,37,15,457,8,1417,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 622","Blind Bay--Sorrento",715,4,36,14,490,2,1261,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 623","Quaaout 1",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 624","Quaaout 1",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 625","Quaaout 1",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 626","Scotch Creek--Anglemont",602,9,32,11,281,3,938,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 627","Lee Creek",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 628","Scotch Creek--Scotch Creek 4",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 629","Sicamous",756,10,77,20,414,10,1287,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 630","Columbia Shuswap B",461,1,82,34,747,3,1328,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 631","Revelstoke",306,3,112,35,601,4,1061,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 632","Golden",415,3,59,20,435,1,933,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 633","Golden",509,11,66,24,593,1,1204,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies",,Group 1/Groupe 1, 945,12,112,45,849,39,2002,136
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies",,Group 2/Groupe 2, 945,12,112,45,849,39,2002,
