Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Penman,Jamie Schmale,Alyea Teel,Nell Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 213","Kawartha Lakes",3,144,11,107,1,266,419
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 214","Cavan Monaghan",1,85,2,41,1,130,379
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 215","Cavan Monaghan",4,98,2,47,0,151,370
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 216","Cavan Monaghan",1,72,4,50,0,127,409
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 217","Kawartha Lakes",8,91,9,56,0,164,471
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 218","Kawartha Lakes",3,92,4,73,0,172,521
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 219","Kawartha Lakes",1,134,6,68,0,209,532
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 220","Kawartha Lakes",0,105,4,31,0,140,378
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 221","Kawartha Lakes",1,120,2,55,1,179,396
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 222","Kawartha Lakes",5,141,9,55,1,211,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 223","Kawartha Lakes",2,121,7,36,0,166,351
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 224","Cavan Monaghan",3,77,4,28,0,112,240
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 225","Cavan-Millbrook-North Monaghan",3,92,11,58,0,164,346
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 226","Cavan",1,137,6,26,0,170,407
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 227","Kawartha Lakes",5,128,6,35,0,174,360
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 228","Kawartha Lakes",2,127,9,41,2,181,320
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 229","Kawartha Lakes",3,119,4,49,1,176,345
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 230","Kawartha Lakes",5,132,8,68,0,213,454
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 231","Kawartha Lakes",2,88,4,50,1,145,319
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 232","Kawartha Lakes",3,73,3,70,1,150,403
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 233","Kawartha Lakes",1,105,5,64,3,178,405
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 234","Cavan Monaghan",2,97,5,34,2,140,411
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 235","Cavan Monaghan",3,99,9,67,1,179,443
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 236","Kawartha Lakes",2,175,9,80,0,266,491
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 237","Kawartha Lakes",3,139,6,74,0,222,384
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 238","Kawartha Lakes",6,188,6,39,0,239,397
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 239","Kawartha Lakes",5,181,8,93,2,289,411
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 240","Kawartha Lakes",3,161,9,93,3,269,391
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 241","Kawartha Lakes",1,164,7,61,0,233,367
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 242","Kawartha Lakes",1,185,11,76,2,275,437
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 243","Kawartha Lakes",5,139,12,62,2,220,384
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 244","Kawartha Lakes",2,144,10,73,0,229,485
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 245","Kawartha Lakes",2,147,13,70,1,233,381
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 246","Cavan Monaghan",1,100,2,42,0,145,375
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 247","Kawartha Lakes",2,124,10,60,0,196,341
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 248","Cavan Monaghan",2,108,4,56,1,171,383
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 249","Cavan Monaghan",1,93,4,52,0,150,445
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 250","Cavan Monaghan",3,101,6,42,0,152,418
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 251","Millbrook",0,90,3,66,0,159,426
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 252","Millbrook",4,137,4,69,1,215,569
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 253","Cavan Monaghan",2,112,7,61,0,182,469
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 254","Millbrook",0,93,2,37,1,133,396
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 255","Cavan Monaghan",2,111,4,68,0,185,405
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 256","Kawartha Lakes",3,168,9,72,1,253,446
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 257","Kawartha Lakes",6,114,7,43,1,171,378
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 258","Kawartha Lakes",2,91,8,52,1,154,390
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 259","Kawartha Lakes",1,84,1,41,0,127,327
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 260","Kawartha Lakes",2,105,5,48,0,160,389
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 261","Kawartha Lakes",1,79,5,25,1,111,342
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 262","Kawartha Lakes",3,121,8,57,0,189,428
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 400","Kawartha Lakes",2,25,2,59,5,93,111
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,31
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 501","Mobile poll/Bureau itinérant",1,24,8,28,2,63,88
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,28
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 503","Mobile poll/Bureau itinérant",2,23,4,8,1,38,65
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,101
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 505","Mobile poll/Bureau itinérant",6,38,4,33,4,85,96
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 506","Mobile poll/Bureau itinérant",3,18,8,17,2,48,55
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,37
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,33
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,62
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,39
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 511","Mobile poll/Bureau itinérant",1,24,5,18,0,48,70
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 512","Mobile poll/Bureau itinérant",1,32,2,68,0,103,112
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 513","Mobile poll/Bureau itinérant",1,26,6,63,10,106,133
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,48
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 515A","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515B,,,,,,71
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 515B","Mobile poll/Bureau itinérant",3,40,4,16,0,63,103
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 516","Mobile poll/Bureau itinérant",1,26,7,10,4,48,60
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 517","Mobile poll/Bureau itinérant",5,22,6,19,1,53,165
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,67
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 519","Mobile poll/Bureau itinérant",0,25,7,22,0,54,126
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,47
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 600","Dorset",4,136,4,187,0,331,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 601","Haliburton",8,443,18,484,0,953,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 602","Wilberforce",16,467,19,314,0,816,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 603","Haliburton",15,488,21,620,4,1148,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 604","Minden",14,385,19,359,8,785,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 605","Minden",11,509,26,536,4,1086,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 606","Minden Hills",3,276,9,306,0,594,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 607","Kawartha Lakes",8,287,16,182,5,498,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 608","Kawartha Lakes",2,412,21,349,0,784,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 609","Kawartha Lakes",4,390,20,225,3,642,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 610","Trent Lakes",16,578,33,476,1,1104,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 611","Apsley",4,270,14,274,4,566,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 612","Trent Lakes",5,436,17,412,10,880,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 613","Kawartha Lakes",7,466,27,406,5,911,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 614","Kawartha Lakes",14,725,46,890,7,1682,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 615","Kawartha Lakes",10,616,25,581,2,1234,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 616","Kawartha Lakes",9,487,23,382,2,903,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 617","Kawartha Lakes",5,467,22,153,1,648,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 618","Kawartha Lakes",4,151,10,160,2,327,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 619","Kawartha Lakes",6,550,27,641,2,1226,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 620","Kawartha Lakes",18,468,37,575,7,1105,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 621","Kawartha Lakes",8,551,32,488,6,1085,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 622","Kawartha Lakes",8,554,28,566,16,1172,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 623","Kawartha Lakes",3,441,22,289,2,757,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 624","Kawartha Lakes",8,536,19,225,0,788,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 625","Kawartha Lakes",7,429,12,322,0,770,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 626","Kawartha Lakes",2,393,16,273,1,685,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 627","Kawartha Lakes",7,562,44,300,3,916,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 628","Kawartha Lakes",3,339,20,237,2,601,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 629","Cavan Monaghan",3,496,33,407,4,943,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 630","Kawartha Lakes",10,615,25,366,3,1019,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 631","Millbrook",9,648,16,467,3,1143,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 632","Millbrook",9,459,10,374,1,853,
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes",,Group 1/Groupe 1, 10,375,23,510,68,986,234
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes",,Group 2/Groupe 2, 17,1374,70,1390,51,2902,
