Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Hart,Liane Kotler,Melissa Lantsman,William McCarty,Dominic Piotrowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thornhill/Thornhill"," 413","Vaughan",0,32,109,3,0,2,146,264
35106,"Thornhill/Thornhill"," 414","Vaughan",1,33,80,2,1,0,117,204
35106,"Thornhill/Thornhill"," 415","Vaughan",1,14,24,0,1,2,42,88
35106,"Thornhill/Thornhill"," 416","Vaughan",0,29,88,2,1,1,121,208
35106,"Thornhill/Thornhill"," 417","Vaughan",2,12,80,2,0,0,96,164
35106,"Thornhill/Thornhill"," 418","Vaughan",0,15,128,3,1,5,152,290
35106,"Thornhill/Thornhill"," 419","Vaughan",3,50,141,4,0,3,201,323
35106,"Thornhill/Thornhill"," 420","Vaughan",2,40,138,2,0,6,188,327
35106,"Thornhill/Thornhill"," 421","Vaughan",0,45,188,2,0,7,242,366
35106,"Thornhill/Thornhill"," 422","Vaughan",1,14,126,0,1,1,143,252
