Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tatiana Auguste,Maxime Beaudoin,Maria Cantore,Adrienne Charles,Benjamin Rankin,Nathalie Sinclair-Desgagné,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Terrebonne/Terrebonne"," 64","Terrebonne",116,5,2,53,2,82,3,263,429
24073,"Terrebonne/Terrebonne"," 65","Terrebonne",85,6,2,31,2,97,0,223,416
24073,"Terrebonne/Terrebonne"," 66","Terrebonne",150,4,1,60,3,109,3,330,546
24073,"Terrebonne/Terrebonne"," 67","Terrebonne",115,8,0,37,0,73,0,233,515
24073,"Terrebonne/Terrebonne"," 68","Terrebonne",102,4,1,43,0,61,3,214,543
24073,"Terrebonne/Terrebonne"," 69","Terrebonne",87,12,1,40,1,89,4,234,528
24073,"Terrebonne/Terrebonne"," 70","Terrebonne",92,7,5,58,3,105,8,278,525
24073,"Terrebonne/Terrebonne"," 71","Terrebonne",116,6,2,46,3,78,1,252,480
24073,"Terrebonne/Terrebonne"," 72","Terrebonne",99,3,0,47,4,74,6,233,464
24073,"Terrebonne/Terrebonne"," 73","Terrebonne",81,6,1,40,3,117,6,254,538
24073,"Terrebonne/Terrebonne"," 74","Terrebonne",104,5,5,45,8,100,7,274,556
24073,"Terrebonne/Terrebonne"," 75","Terrebonne",72,2,1,55,2,89,0,221,515
24073,"Terrebonne/Terrebonne"," 76","Terrebonne",83,11,0,29,2,95,1,221,538
24073,"Terrebonne/Terrebonne"," 77","Terrebonne",114,7,4,37,2,91,3,258,550
24073,"Terrebonne/Terrebonne"," 78","Terrebonne",109,7,0,41,1,105,3,266,527
24073,"Terrebonne/Terrebonne"," 79","Terrebonne",74,13,3,48,5,109,9,261,506
24073,"Terrebonne/Terrebonne"," 80","Terrebonne",87,6,3,58,6,104,2,266,493
24073,"Terrebonne/Terrebonne"," 81","Terrebonne",123,12,0,37,3,84,2,261,551
24073,"Terrebonne/Terrebonne"," 82","Terrebonne",83,9,1,51,3,113,6,266,547
24073,"Terrebonne/Terrebonne"," 83","Terrebonne",73,13,1,44,4,101,3,239,532
24073,"Terrebonne/Terrebonne"," 84A","Terrebonne",41,6,2,40,4,68,2,163,482
24073,"Terrebonne/Terrebonne"," 84B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,29
24073,"Terrebonne/Terrebonne"," 85","Terrebonne",89,2,1,51,0,71,3,217,529
24073,"Terrebonne/Terrebonne"," 86","Terrebonne",86,5,2,41,3,65,3,205,520
24073,"Terrebonne/Terrebonne"," 87","Terrebonne",59,2,0,45,2,71,1,180,444
24073,"Terrebonne/Terrebonne"," 88","Terrebonne",67,12,2,41,3,106,1,232,517
24073,"Terrebonne/Terrebonne"," 89","Terrebonne",68,9,0,46,2,75,2,202,507
24073,"Terrebonne/Terrebonne"," 90","Terrebonne",57,9,2,29,6,69,6,178,499
24073,"Terrebonne/Terrebonne"," 91","Terrebonne",73,8,1,25,0,74,1,182,446
24073,"Terrebonne/Terrebonne"," 92","Terrebonne",94,9,0,39,2,115,4,263,527
