Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marc Allaire,Pascal Bapfou Vozang Siewe,Vanessa Gordon,Érica Poirier,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Joliette--Manawan/Joliette--Manawan"," 130","Rawdon",47,15,4,3,84,1,154,493
24029,"Joliette--Manawan/Joliette--Manawan"," 131","Rawdon",43,35,4,10,50,0,142,474
24029,"Joliette--Manawan/Joliette--Manawan"," 132","Rawdon",39,41,12,7,53,1,153,530
24029,"Joliette--Manawan/Joliette--Manawan"," 133","Rawdon",23,33,5,3,61,0,125,439
24029,"Joliette--Manawan/Joliette--Manawan"," 134","Rawdon",34,39,6,1,43,3,126,449
24029,"Joliette--Manawan/Joliette--Manawan"," 135","Saint-Charles-Borromée",32,9,3,1,53,3,101,375
24029,"Joliette--Manawan/Joliette--Manawan"," 136","Saint-Charles-Borromée",20,8,4,1,24,2,59,292
24029,"Joliette--Manawan/Joliette--Manawan"," 137","Saint-Charles-Borromée",21,13,3,2,52,5,96,333
24029,"Joliette--Manawan/Joliette--Manawan"," 138","Saint-Charles-Borromée",18,22,2,1,53,2,98,326
24029,"Joliette--Manawan/Joliette--Manawan"," 139","Saint-Charles-Borromée",34,15,3,0,59,4,115,358
24029,"Joliette--Manawan/Joliette--Manawan"," 140","Saint-Charles-Borromée",18,11,1,1,28,7,66,313
24029,"Joliette--Manawan/Joliette--Manawan"," 141","Saint-Charles-Borromée",19,15,4,3,53,6,100,344
24029,"Joliette--Manawan/Joliette--Manawan"," 142","Saint-Charles-Borromée",34,33,4,6,73,5,155,475
24029,"Joliette--Manawan/Joliette--Manawan"," 142-1","Saint-Charles-Borromée",28,25,4,0,49,0,106,402
24029,"Joliette--Manawan/Joliette--Manawan"," 143","Joliette",16,32,6,1,52,4,111,403
24029,"Joliette--Manawan/Joliette--Manawan"," 144","Joliette",32,17,11,3,55,4,122,468
24029,"Joliette--Manawan/Joliette--Manawan"," 145","Joliette",18,17,2,12,60,4,113,449
24029,"Joliette--Manawan/Joliette--Manawan"," 146","Joliette",19,16,8,3,59,1,106,403
24029,"Joliette--Manawan/Joliette--Manawan"," 147","Joliette",18,28,4,2,53,3,108,406
24029,"Joliette--Manawan/Joliette--Manawan"," 148","Joliette",40,19,2,4,41,1,107,391
24029,"Joliette--Manawan/Joliette--Manawan"," 149","Joliette",36,19,4,5,88,6,158,494
24029,"Joliette--Manawan/Joliette--Manawan"," 150","Joliette",39,32,3,7,69,2,152,426
24029,"Joliette--Manawan/Joliette--Manawan"," 151","Joliette",64,23,6,4,93,2,192,575
24029,"Joliette--Manawan/Joliette--Manawan"," 152","Joliette",46,20,3,5,83,2,159,480
24029,"Joliette--Manawan/Joliette--Manawan"," 153","Joliette",61,34,3,5,83,5,191,528
24029,"Joliette--Manawan/Joliette--Manawan"," 154","Joliette",64,31,0,2,132,3,232,581
24029,"Joliette--Manawan/Joliette--Manawan"," 155","Joliette",55,26,3,3,100,3,190,459
24029,"Joliette--Manawan/Joliette--Manawan"," 156","Joliette",51,29,3,3,89,0,175,473
24029,"Joliette--Manawan/Joliette--Manawan"," 156-1","Joliette",57,41,3,4,98,2,205,503
24029,"Joliette--Manawan/Joliette--Manawan"," 157","Joliette",22,5,4,3,42,2,78,370
24029,"Joliette--Manawan/Joliette--Manawan"," 158","Joliette",46,14,2,2,56,5,125,378
24029,"Joliette--Manawan/Joliette--Manawan"," 159","Joliette",30,12,2,0,39,0,83,343
24029,"Joliette--Manawan/Joliette--Manawan"," 160","Joliette",47,20,1,4,76,3,151,409
24029,"Joliette--Manawan/Joliette--Manawan"," 161","Joliette",36,22,3,5,82,3,151,414
24029,"Joliette--Manawan/Joliette--Manawan"," 162","Joliette",42,26,4,3,56,2,133,464
24029,"Joliette--Manawan/Joliette--Manawan"," 163","Village Saint-Pierre",33,36,5,1,88,4,167,390
24029,"Joliette--Manawan/Joliette--Manawan"," 164","Rawdon",37,33,5,6,87,3,171,430
24029,"Joliette--Manawan/Joliette--Manawan"," 165","Rawdon",34,30,4,4,53,2,127,367
24029,"Joliette--Manawan/Joliette--Manawan"," 166","Rawdon",43,22,1,2,54,3,125,413
24029,"Joliette--Manawan/Joliette--Manawan"," 167","Rawdon",40,36,2,3,77,0,158,428
24029,"Joliette--Manawan/Joliette--Manawan"," 168","Rawdon",42,29,1,10,66,3,151,420
24029,"Joliette--Manawan/Joliette--Manawan"," 169","Rawdon",32,30,3,0,43,0,108,455
24029,"Joliette--Manawan/Joliette--Manawan"," 170","Rawdon",30,57,8,2,57,1,155,445
24029,"Joliette--Manawan/Joliette--Manawan"," 171","Rawdon",33,33,2,0,61,3,132,394
24029,"Joliette--Manawan/Joliette--Manawan"," 172","Rawdon",26,28,1,4,55,2,116,373
24029,"Joliette--Manawan/Joliette--Manawan"," 173","Saint-Paul",28,39,7,2,76,4,156,433
24029,"Joliette--Manawan/Joliette--Manawan"," 174","Saint-Paul",53,48,9,2,87,4,203,460
24029,"Joliette--Manawan/Joliette--Manawan"," 175","Saint-Paul",42,39,6,3,63,5,158,477
24029,"Joliette--Manawan/Joliette--Manawan"," 176","Saint-Paul",48,22,4,2,104,3,183,441
24029,"Joliette--Manawan/Joliette--Manawan"," 177","Saint-Paul",53,67,8,3,106,5,242,559
24029,"Joliette--Manawan/Joliette--Manawan"," 178","Rawdon",39,42,6,7,67,2,163,449
24029,"Joliette--Manawan/Joliette--Manawan"," 179","Rawdon",44,39,3,2,68,0,156,437
24029,"Joliette--Manawan/Joliette--Manawan"," 180","Rawdon",36,62,1,4,55,1,159,463
24029,"Joliette--Manawan/Joliette--Manawan"," 181","Rawdon",81,44,3,5,60,3,196,479
24029,"Joliette--Manawan/Joliette--Manawan"," 182","Rawdon",69,46,4,1,74,4,198,468
24029,"Joliette--Manawan/Joliette--Manawan"," 183","Rawdon",55,34,5,7,64,5,170,454
24029,"Joliette--Manawan/Joliette--Manawan"," 184","Rawdon",35,38,1,4,55,5,138,471
24029,"Joliette--Manawan/Joliette--Manawan"," 185","Rawdon",36,38,6,4,62,3,149,456
24029,"Joliette--Manawan/Joliette--Manawan"," 186","Crabtree",42,31,5,7,73,3,161,359
24029,"Joliette--Manawan/Joliette--Manawan"," 187","Crabtree",28,34,2,5,78,11,158,349
24029,"Joliette--Manawan/Joliette--Manawan"," 188","Crabtree",46,28,5,1,91,2,173,343
24029,"Joliette--Manawan/Joliette--Manawan"," 189","Crabtree",34,40,3,11,83,5,176,463
24029,"Joliette--Manawan/Joliette--Manawan"," 190","Crabtree",17,40,5,1,59,7,129,348
24029,"Joliette--Manawan/Joliette--Manawan"," 191","Crabtree",27,24,5,2,61,2,121,311
24029,"Joliette--Manawan/Joliette--Manawan"," 192","Crabtree",22,18,5,2,50,5,102,349
24029,"Joliette--Manawan/Joliette--Manawan"," 193","Crabtree",27,37,7,4,100,7,182,392
24029,"Joliette--Manawan/Joliette--Manawan"," 194","Crabtree",32,32,7,4,79,11,165,384
24029,"Joliette--Manawan/Joliette--Manawan"," 195","Saint-Paul",55,48,3,8,89,0,203,429
24029,"Joliette--Manawan/Joliette--Manawan"," 196","Saint-Paul",41,68,5,6,112,5,237,548
24029,"Joliette--Manawan/Joliette--Manawan"," 197","Saint-Paul",31,56,7,3,81,9,187,475
24029,"Joliette--Manawan/Joliette--Manawan"," 198","Saint-Paul",44,50,7,7,104,5,217,498
24029,"Joliette--Manawan/Joliette--Manawan"," 199","Saint-Paul",13,37,2,2,46,1,101,241
24029,"Joliette--Manawan/Joliette--Manawan"," 200","Saint-Paul",21,16,3,0,58,1,99,217
24029,"Joliette--Manawan/Joliette--Manawan"," 201","Saint-Paul",38,38,5,6,82,5,174,392
24029,"Joliette--Manawan/Joliette--Manawan"," 202","L'Assomption",41,44,9,5,75,4,178,398
24029,"Joliette--Manawan/Joliette--Manawan"," 203","L'Assomption",42,42,7,3,87,1,182,458
24029,"Joliette--Manawan/Joliette--Manawan"," 204","L'Assomption",57,44,3,3,66,3,176,433
24029,"Joliette--Manawan/Joliette--Manawan"," 205","L'Assomption",78,36,8,2,96,3,223,493
24029,"Joliette--Manawan/Joliette--Manawan"," 206","L'Assomption",81,41,9,2,81,6,220,467
24029,"Joliette--Manawan/Joliette--Manawan"," 207","L'Assomption",61,47,7,3,89,2,209,446
24029,"Joliette--Manawan/Joliette--Manawan"," 208","L'Assomption",78,46,5,6,64,12,211,436
24029,"Joliette--Manawan/Joliette--Manawan"," 500","Mobile poll/Bureau itinérant",25,1,0,0,8,4,38,56
24029,"Joliette--Manawan/Joliette--Manawan"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,17
24029,"Joliette--Manawan/Joliette--Manawan"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,16
24029,"Joliette--Manawan/Joliette--Manawan"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,32
24029,"Joliette--Manawan/Joliette--Manawan"," 504","Mobile poll/Bureau itinérant",19,13,4,0,40,3,79,66
24029,"Joliette--Manawan/Joliette--Manawan"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,52
24029,"Joliette--Manawan/Joliette--Manawan"," 506","Mobile poll/Bureau itinérant",80,7,2,3,56,3,151,139
24029,"Joliette--Manawan/Joliette--Manawan"," 507","Mobile poll/Bureau itinérant",64,5,1,0,42,11,123,153
24029,"Joliette--Manawan/Joliette--Manawan"," 508","Mobile poll/Bureau itinérant",107,5,2,3,60,7,184,239
24029,"Joliette--Manawan/Joliette--Manawan"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,100
24029,"Joliette--Manawan/Joliette--Manawan"," 510","Mobile poll/Bureau itinérant",51,8,0,1,28,6,94,135
24029,"Joliette--Manawan/Joliette--Manawan"," 511","Mobile poll/Bureau itinérant",43,11,1,2,44,6,107,68
24029,"Joliette--Manawan/Joliette--Manawan"," 512","Mobile poll/Bureau itinérant",71,2,0,2,41,10,126,134
24029,"Joliette--Manawan/Joliette--Manawan"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,39
24029,"Joliette--Manawan/Joliette--Manawan"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,46
24029,"Joliette--Manawan/Joliette--Manawan"," 515","Mobile poll/Bureau itinérant",52,5,0,0,50,3,110,90
24029,"Joliette--Manawan/Joliette--Manawan"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,46
24029,"Joliette--Manawan/Joliette--Manawan"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,48
24029,"Joliette--Manawan/Joliette--Manawan"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,26
24029,"Joliette--Manawan/Joliette--Manawan"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,15
24029,"Joliette--Manawan/Joliette--Manawan"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,47
24029,"Joliette--Manawan/Joliette--Manawan"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,40
24029,"Joliette--Manawan/Joliette--Manawan"," 522","Mobile poll/Bureau itinérant",14,2,2,0,12,5,35,177
24029,"Joliette--Manawan/Joliette--Manawan"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,30
24029,"Joliette--Manawan/Joliette--Manawan"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,80
24029,"Joliette--Manawan/Joliette--Manawan"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,42
24029,"Joliette--Manawan/Joliette--Manawan"," 526","Mobile poll/Bureau itinérant",73,11,3,0,71,8,166,154
24029,"Joliette--Manawan/Joliette--Manawan"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,64
24029,"Joliette--Manawan/Joliette--Manawan"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,42
24029,"Joliette--Manawan/Joliette--Manawan"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,90
24029,"Joliette--Manawan/Joliette--Manawan"," 530","Mobile poll/Bureau itinérant",114,14,2,0,111,8,249,254
24029,"Joliette--Manawan/Joliette--Manawan"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,71
24029,"Joliette--Manawan/Joliette--Manawan"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,47
24029,"Joliette--Manawan/Joliette--Manawan"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,53
24029,"Joliette--Manawan/Joliette--Manawan"," 534","Mobile poll/Bureau itinérant",92,8,2,0,41,3,146,208
24029,"Joliette--Manawan/Joliette--Manawan"," 535","Mobile poll/Bureau itinérant",73,0,0,1,59,11,144,102
24029,"Joliette--Manawan/Joliette--Manawan"," 536","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,7
24029,"Joliette--Manawan/Joliette--Manawan"," 537","Mobile poll/Bureau itinérant",90,4,3,1,34,2,134,199
24029,"Joliette--Manawan/Joliette--Manawan"," 600","Communauté Atikamekw de Manawan",14,3,3,2,9,0,31,
24029,"Joliette--Manawan/Joliette--Manawan"," 601","Saint-Michel-des-Saints--Saint-Zénon",302,109,18,3,430,10,872,
24029,"Joliette--Manawan/Joliette--Manawan"," 602","Saint-Côme--Sainte-Émélie-de-l'Énergie",38,24,8,3,88,4,165,
