Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Manoj Bhangu,Alexander Dow,Avi Nayyar,Desiderio Magtanggol "Bonn" Reyes,Gregor Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 91","Vancouver",18,1,75,1,86,1,182,431
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 92","Vancouver",5,2,38,0,43,0,88,377
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 93","Vancouver",7,2,64,0,66,0,139,338
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 94","Vancouver",7,0,44,0,54,0,105,476
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 95","Vancouver",23,3,56,2,72,0,156,485
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 96","Vancouver",15,3,34,2,61,0,115,434
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 97","Vancouver",14,0,24,1,45,1,85,381
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 98","Vancouver",17,2,32,0,40,0,91,366
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 99","Vancouver",14,2,32,1,42,0,91,341
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 100","Vancouver",9,1,31,0,67,0,108,354
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 101","Vancouver",24,2,39,3,83,2,153,503
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 102","Vancouver",15,3,55,0,80,0,153,522
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 103","Vancouver",13,1,29,1,56,1,101,404
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 104","Vancouver",5,2,41,0,72,2,122,387
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 105","Vancouver",6,0,43,0,38,1,88,338
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 106","Vancouver",7,1,46,1,78,2,135,382
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 107","Vancouver",24,1,32,1,93,0,151,419
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 108","Vancouver",18,2,41,2,61,1,125,408
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 109","Vancouver",18,0,53,2,90,0,163,529
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 110","Vancouver",10,0,55,1,86,1,153,482
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 111","Vancouver",13,2,39,1,44,0,99,356
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 112","Vancouver",33,4,51,1,90,0,179,536
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 113A","Vancouver",23,1,75,1,74,0,174,516
