Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Élisabeth Brière,Jean-Pierre Fortier,Alexandre Lépine,Kevin McKenna,Esteban Méndez-Hord,Pierre-Étienne Rouillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Sherbrooke/Sherbrooke"," 604","Sherbrooke",563,52,13,14,165,404,10,1221,
24072,"Sherbrooke/Sherbrooke"," 605","Sherbrooke",800,54,15,10,125,398,27,1429,
24072,"Sherbrooke/Sherbrooke"," 606","Sherbrooke",299,29,9,6,77,183,8,611,
24072,"Sherbrooke/Sherbrooke"," 607","Sherbrooke",659,53,10,14,128,425,10,1299,
24072,"Sherbrooke/Sherbrooke"," 608","Sherbrooke",862,49,7,18,63,261,9,1269,
24072,"Sherbrooke/Sherbrooke"," 609","Sherbrooke",375,81,8,36,82,224,10,816,
24072,"Sherbrooke/Sherbrooke"," 610","Sherbrooke",392,68,6,28,101,203,8,806,
24072,"Sherbrooke/Sherbrooke"," 611","Sherbrooke",520,81,8,17,151,261,18,1056,
24072,"Sherbrooke/Sherbrooke"," 612","Sherbrooke",347,47,9,29,59,210,10,711,
24072,"Sherbrooke/Sherbrooke"," 613","Sherbrooke",747,49,6,25,93,288,5,1213,
24072,"Sherbrooke/Sherbrooke"," 614","Sherbrooke",938,49,4,23,115,318,16,1463,
24072,"Sherbrooke/Sherbrooke"," 615","Sherbrooke",1042,34,8,13,104,350,10,1561,
24072,"Sherbrooke/Sherbrooke"," 616","Sherbrooke",971,39,6,15,140,349,23,1543,
24072,"Sherbrooke/Sherbrooke"," 617","Sherbrooke",740,30,6,12,142,327,7,1264,
24072,"Sherbrooke/Sherbrooke"," 618","Sherbrooke",679,74,8,27,123,399,13,1323,
24072,"Sherbrooke/Sherbrooke"," 619","Sherbrooke",600,44,8,10,117,250,5,1034,
24072,"Sherbrooke/Sherbrooke",,Group 1/Groupe 1, 240,37,0,18,45,80,27,447,182
24072,"Sherbrooke/Sherbrooke",,Group 2/Groupe 2, 1556,235,19,61,194,512,52,2629,
