Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Caroline Desrochers,Mathieu Doyon,Yves Levesque,Yan Patry,Matthew Sévigny,David Turcotte,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Trois-Rivières/Trois-Rivières"," 543","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,,18
24075,"Trois-Rivières/Trois-Rivières"," 600","Trois-Rivières",608,5,294,4,21,7,395,20,1354,
24075,"Trois-Rivières/Trois-Rivières"," 601","Trois-Rivières",617,5,348,2,28,5,347,19,1371,
24075,"Trois-Rivières/Trois-Rivières"," 602","Trois-Rivières",671,1,344,5,27,6,388,14,1456,
24075,"Trois-Rivières/Trois-Rivières"," 603","Trois-Rivières",383,0,230,3,17,5,298,19,955,
24075,"Trois-Rivières/Trois-Rivières"," 604","Trois-Rivières",137,0,78,3,5,1,132,9,365,
24075,"Trois-Rivières/Trois-Rivières"," 605","Trois-Rivières",439,4,256,7,25,6,329,21,1087,
24075,"Trois-Rivières/Trois-Rivières"," 606","Trois-Rivières",465,3,267,6,20,8,316,31,1116,
24075,"Trois-Rivières/Trois-Rivières"," 607","Trois-Rivières",379,1,122,3,19,6,262,4,796,
24075,"Trois-Rivières/Trois-Rivières"," 608","Trois-Rivières",469,5,177,6,18,16,300,19,1010,
24075,"Trois-Rivières/Trois-Rivières"," 609","Trois-Rivières",667,6,282,5,15,3,331,15,1324,
24075,"Trois-Rivières/Trois-Rivières"," 610","Trois-Rivières",703,1,323,3,22,9,402,16,1479,
24075,"Trois-Rivières/Trois-Rivières"," 611","Trois-Rivières",607,4,226,3,24,6,309,13,1192,
24075,"Trois-Rivières/Trois-Rivières"," 612","Trois-Rivières",457,1,137,4,19,5,294,6,923,
24075,"Trois-Rivières/Trois-Rivières"," 613","Trois-Rivières",309,6,239,7,33,9,282,13,898,
24075,"Trois-Rivières/Trois-Rivières"," 614","Trois-Rivières",401,7,292,9,28,6,307,14,1064,
24075,"Trois-Rivières/Trois-Rivières"," 615","Trois-Rivières",589,1,338,1,20,7,378,20,1354,
24075,"Trois-Rivières/Trois-Rivières"," 616","Trois-Rivières",657,0,244,6,21,10,336,13,1287,
24075,"Trois-Rivières/Trois-Rivières"," 617","Trois-Rivières",704,0,372,5,14,9,322,17,1443,
24075,"Trois-Rivières/Trois-Rivières"," 618","Trois-Rivières",573,5,410,4,18,10,390,22,1432,
24075,"Trois-Rivières/Trois-Rivières"," 619","Trois-Rivières",581,2,408,2,26,5,360,9,1393,
24075,"Trois-Rivières/Trois-Rivières"," 620","Trois-Rivières",685,1,361,6,21,6,400,13,1493,
24075,"Trois-Rivières/Trois-Rivières",,Group 1/Groupe 1, 155,0,54,1,22,8,75,17,332,137
24075,"Trois-Rivières/Trois-Rivières",,Group 2/Groupe 2, 927,7,418,4,27,13,460,29,1885,
