Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nathalie Bresse,Marianne Dandurand,Valérie Laliberté,Paul Lehmann,Jacques Painchaud,Sébastien Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Compton--Stanstead/Compton--Stanstead"," 162A","Sherbrooke",56,45,5,4,56,5,4,175,409
24019,"Compton--Stanstead/Compton--Stanstead"," 162B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°163B,,,,,,,,83
24019,"Compton--Stanstead/Compton--Stanstead"," 163A","Sherbrooke",59,53,2,0,44,0,5,163,407
24019,"Compton--Stanstead/Compton--Stanstead"," 163B","Sherbrooke",62,57,4,1,42,1,2,169,112
24019,"Compton--Stanstead/Compton--Stanstead"," 164","Sherbrooke",83,78,2,1,57,2,0,223,519
24019,"Compton--Stanstead/Compton--Stanstead"," 165","Sherbrooke",50,72,8,2,50,4,4,190,428
24019,"Compton--Stanstead/Compton--Stanstead"," 166A","Sherbrooke",46,63,4,1,28,2,0,144,406
24019,"Compton--Stanstead/Compton--Stanstead"," 166B","Sherbrooke",49,61,5,0,34,3,3,155,91
24019,"Compton--Stanstead/Compton--Stanstead"," 167","Sherbrooke",40,115,5,2,57,5,1,225,436
24019,"Compton--Stanstead/Compton--Stanstead"," 168A","Sherbrooke",45,52,7,2,50,1,1,158,380
24019,"Compton--Stanstead/Compton--Stanstead"," 168B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°166B,,,,,,,,56
24019,"Compton--Stanstead/Compton--Stanstead"," 169A","Sherbrooke",45,69,6,2,62,5,2,191,426
24019,"Compton--Stanstead/Compton--Stanstead"," 169B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°163B,,,,,,,,81
24019,"Compton--Stanstead/Compton--Stanstead"," 170","Sherbrooke",62,87,9,1,61,1,3,224,469
24019,"Compton--Stanstead/Compton--Stanstead"," 171A","Sherbrooke",53,58,11,3,43,5,4,177,352
24019,"Compton--Stanstead/Compton--Stanstead"," 171B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°172B,,,,,,,,73
24019,"Compton--Stanstead/Compton--Stanstead"," 172A","Sherbrooke",51,80,6,0,45,3,2,187,419
24019,"Compton--Stanstead/Compton--Stanstead"," 172B","Sherbrooke",48,59,7,0,40,1,1,156,99
24019,"Compton--Stanstead/Compton--Stanstead"," 173A","Sherbrooke",64,63,2,1,41,6,3,180,436
24019,"Compton--Stanstead/Compton--Stanstead"," 173B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°172B,,,,,,,,79
24019,"Compton--Stanstead/Compton--Stanstead"," 174A","Sherbrooke",65,76,4,1,24,3,2,175,367
24019,"Compton--Stanstead/Compton--Stanstead"," 174B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°172B,,,,,,,,59
24019,"Compton--Stanstead/Compton--Stanstead"," 175A","Sherbrooke",50,83,3,0,45,3,0,184,378
24019,"Compton--Stanstead/Compton--Stanstead"," 175B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°172B,,,,,,,,83
24019,"Compton--Stanstead/Compton--Stanstead"," 176A","Sherbrooke",62,51,5,1,35,0,0,154,398
24019,"Compton--Stanstead/Compton--Stanstead"," 176B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°179B,,,,,,,,120
24019,"Compton--Stanstead/Compton--Stanstead"," 177","Sherbrooke",79,77,11,1,51,9,4,232,538
24019,"Compton--Stanstead/Compton--Stanstead"," 178A","Sherbrooke",55,54,10,0,34,2,4,159,394
24019,"Compton--Stanstead/Compton--Stanstead"," 178B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°149B,,,,,,,,110
24019,"Compton--Stanstead/Compton--Stanstead"," 179A","Sherbrooke",42,70,4,1,37,0,6,160,372
24019,"Compton--Stanstead/Compton--Stanstead"," 179B","Sherbrooke",31,61,6,1,32,5,7,143,128
24019,"Compton--Stanstead/Compton--Stanstead"," 180A","Sherbrooke",64,70,1,2,42,2,4,185,380
24019,"Compton--Stanstead/Compton--Stanstead"," 180B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°185B,,,,,,,,73
24019,"Compton--Stanstead/Compton--Stanstead"," 181A","Sherbrooke",65,46,6,5,48,5,1,176,508
24019,"Compton--Stanstead/Compton--Stanstead"," 181B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°185B,,,,,,,,67
24019,"Compton--Stanstead/Compton--Stanstead"," 182A","Sherbrooke",52,62,9,3,39,3,6,174,504
24019,"Compton--Stanstead/Compton--Stanstead"," 182B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°185B,,,,,,,,71
24019,"Compton--Stanstead/Compton--Stanstead"," 183A","Sherbrooke",62,53,5,4,32,5,5,166,381
24019,"Compton--Stanstead/Compton--Stanstead"," 183B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°185B,,,,,,,,42
24019,"Compton--Stanstead/Compton--Stanstead"," 184A","Sherbrooke",51,69,8,0,39,1,3,171,341
24019,"Compton--Stanstead/Compton--Stanstead"," 184B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°185B,,,,,,,,55
24019,"Compton--Stanstead/Compton--Stanstead"," 185A","Sherbrooke",57,68,4,2,35,4,1,171,336
24019,"Compton--Stanstead/Compton--Stanstead"," 185B","Sherbrooke",58,62,2,1,43,1,2,169,82
24019,"Compton--Stanstead/Compton--Stanstead"," 186A","Sherbrooke",49,65,4,0,5,4,1,128,304
24019,"Compton--Stanstead/Compton--Stanstead"," 186B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°187B,,,,,,,,143
24019,"Compton--Stanstead/Compton--Stanstead"," 187A","Sherbrooke",52,57,1,0,15,3,1,129,278
24019,"Compton--Stanstead/Compton--Stanstead"," 187B","Sherbrooke",50,66,4,0,15,5,3,143,146
24019,"Compton--Stanstead/Compton--Stanstead"," 188A","Sherbrooke",46,50,1,0,27,6,4,134,306
24019,"Compton--Stanstead/Compton--Stanstead"," 188B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°191B,,,,,,,,166
24019,"Compton--Stanstead/Compton--Stanstead"," 189A","Sherbrooke",58,50,5,2,33,2,3,153,347
24019,"Compton--Stanstead/Compton--Stanstead"," 189B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°190B,,,,,,,,155
24019,"Compton--Stanstead/Compton--Stanstead"," 190A","Sherbrooke",54,56,4,1,37,3,0,155,311
24019,"Compton--Stanstead/Compton--Stanstead"," 190B","Sherbrooke",42,66,7,1,40,0,3,159,169
24019,"Compton--Stanstead/Compton--Stanstead"," 191A","Sherbrooke",50,46,4,1,55,2,0,158,373
24019,"Compton--Stanstead/Compton--Stanstead"," 191B","Sherbrooke",53,56,9,1,31,6,2,158,178
24019,"Compton--Stanstead/Compton--Stanstead"," 192","Sherbrooke",14,62,10,4,20,7,2,119,317
24019,"Compton--Stanstead/Compton--Stanstead"," 193","Sherbrooke",37,72,8,4,34,3,1,159,461
24019,"Compton--Stanstead/Compton--Stanstead"," 194","Sherbrooke",27,84,13,7,38,5,4,178,440
24019,"Compton--Stanstead/Compton--Stanstead"," 195A","Sherbrooke",31,71,8,1,43,3,0,157,416
24019,"Compton--Stanstead/Compton--Stanstead"," 195B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°196B,,,,,,,,67
24019,"Compton--Stanstead/Compton--Stanstead"," 196A","Sherbrooke",34,90,8,2,22,4,1,161,391
24019,"Compton--Stanstead/Compton--Stanstead"," 196B","Sherbrooke",17,60,8,0,27,5,0,117,87
24019,"Compton--Stanstead/Compton--Stanstead"," 197","Sherbrooke",Combined with No./Résultats combinés à ceux du n°196B,,,,,,,,57
24019,"Compton--Stanstead/Compton--Stanstead"," 198A","Sherbrooke",21,66,10,1,47,3,0,148,335
24019,"Compton--Stanstead/Compton--Stanstead"," 198B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°196B,,,,,,,,52
24019,"Compton--Stanstead/Compton--Stanstead"," 199","Sherbrooke",24,89,13,1,22,4,0,153,356
24019,"Compton--Stanstead/Compton--Stanstead"," 200A","Sherbrooke",23,73,7,3,24,3,0,133,351
24019,"Compton--Stanstead/Compton--Stanstead"," 200B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°196B,,,,,,,,51
24019,"Compton--Stanstead/Compton--Stanstead"," 201","Sherbrooke",21,75,9,5,32,3,3,148,505
24019,"Compton--Stanstead/Compton--Stanstead"," 202","Sherbrooke",21,85,12,1,42,9,2,172,496
24019,"Compton--Stanstead/Compton--Stanstead"," 203","Sherbrooke",46,73,7,4,46,4,1,181,457
24019,"Compton--Stanstead/Compton--Stanstead"," 204","Sherbrooke",53,102,7,1,48,6,0,217,468
24019,"Compton--Stanstead/Compton--Stanstead"," 205","Sherbrooke",51,77,13,1,54,7,4,207,444
24019,"Compton--Stanstead/Compton--Stanstead"," 206","Sherbrooke",48,89,17,0,39,6,4,203,435
24019,"Compton--Stanstead/Compton--Stanstead"," 400A","Sherbrooke",40,106,1,2,5,0,8,162,196
24019,"Compton--Stanstead/Compton--Stanstead"," 400B","Sherbrooke",25,91,4,3,13,1,7,144,184
24019,"Compton--Stanstead/Compton--Stanstead"," 401","Sherbrooke",15,47,2,1,6,0,5,76,139
24019,"Compton--Stanstead/Compton--Stanstead"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,22
24019,"Compton--Stanstead/Compton--Stanstead"," 501","Mobile poll/Bureau itinérant",12,27,0,0,11,0,1,51,57
24019,"Compton--Stanstead/Compton--Stanstead"," 502","Mobile poll/Bureau itinérant",15,40,3,0,12,0,5,75,94
24019,"Compton--Stanstead/Compton--Stanstead"," 503","Sherbrooke",Combined with No./Résultats combinés à ceux du n°186A,,,,,,,,16
24019,"Compton--Stanstead/Compton--Stanstead"," 504","Cookshire-Eaton--Sawyerville",Combined with No./Résultats combinés à ceux du n°38,,,,,,,,5
24019,"Compton--Stanstead/Compton--Stanstead"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,12
24019,"Compton--Stanstead/Compton--Stanstead"," 506","Mobile poll/Bureau itinérant",6,67,2,2,7,3,2,89,109
24019,"Compton--Stanstead/Compton--Stanstead"," 507","Mobile poll/Bureau itinérant",2,33,3,1,6,0,2,47,88
24019,"Compton--Stanstead/Compton--Stanstead"," 508","Mobile poll/Bureau itinérant",6,11,3,1,4,0,2,27,71
24019,"Compton--Stanstead/Compton--Stanstead"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,19
24019,"Compton--Stanstead/Compton--Stanstead"," 510","Waterville",Combined with No./Résultats combinés à ceux du n°98A,,,,,,,,9
24019,"Compton--Stanstead/Compton--Stanstead"," 511","Mobile poll/Bureau itinérant",10,48,1,2,8,3,1,73,52
24019,"Compton--Stanstead/Compton--Stanstead"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,30
24019,"Compton--Stanstead/Compton--Stanstead"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°65B,,,,,,,,27
24019,"Compton--Stanstead/Compton--Stanstead"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,59
24019,"Compton--Stanstead/Compton--Stanstead"," 515","Mobile poll/Bureau itinérant",14,63,2,0,16,0,2,97,75
24019,"Compton--Stanstead/Compton--Stanstead"," 516","Ayer's Cliff",Combined with No./Résultats combinés à ceux du n°87,,,,,,,,19
24019,"Compton--Stanstead/Compton--Stanstead"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,51
24019,"Compton--Stanstead/Compton--Stanstead"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,22
24019,"Compton--Stanstead/Compton--Stanstead"," 600","Weedon-Lingwick",181,265,14,6,132,7,11,616,
24019,"Compton--Stanstead/Compton--Stanstead"," 601","Sherbrooke",86,150,9,9,72,2,2,330,
24019,"Compton--Stanstead/Compton--Stanstead"," 602","Dudswell-Bury",213,303,18,4,116,11,12,677,
24019,"Compton--Stanstead/Compton--Stanstead"," 603","Stoke",187,245,14,7,107,7,9,576,
24019,"Compton--Stanstead/Compton--Stanstead"," 604","Sherbrooke",151,183,13,4,113,3,8,475,
24019,"Compton--Stanstead/Compton--Stanstead"," 605","East Angus",268,305,12,2,98,7,7,699,
24019,"Compton--Stanstead/Compton--Stanstead"," 606","Sherbrooke",129,252,13,7,105,6,8,520,
24019,"Compton--Stanstead/Compton--Stanstead"," 607","Cookshire-Eaton--Johnville",177,305,18,10,163,10,7,690,
24019,"Compton--Stanstead/Compton--Stanstead"," 608","East Angus",79,137,4,5,68,5,5,303,
24019,"Compton--Stanstead/Compton--Stanstead"," 609","Sherbrooke",60,66,5,1,35,2,4,173,
24019,"Compton--Stanstead/Compton--Stanstead"," 610","Coaticook",146,334,10,4,99,4,5,602,
24019,"Compton--Stanstead/Compton--Stanstead"," 611","Coaticook",110,306,15,5,72,8,6,522,
24019,"Compton--Stanstead/Compton--Stanstead"," 612","Coaticook",98,378,6,8,116,8,10,624,
24019,"Compton--Stanstead/Compton--Stanstead"," 613","Sherbrooke",71,414,22,1,151,10,3,672,
24019,"Compton--Stanstead/Compton--Stanstead"," 614","Sherbrooke",60,342,11,4,111,7,4,539,
24019,"Compton--Stanstead/Compton--Stanstead"," 615","Sherbrooke",85,507,14,10,97,6,5,724,
24019,"Compton--Stanstead/Compton--Stanstead"," 616","Compton",148,368,15,3,117,10,7,668,
24019,"Compton--Stanstead/Compton--Stanstead"," 617","Sherbrooke",118,312,18,6,107,15,1,577,
24019,"Compton--Stanstead/Compton--Stanstead"," 618","Sherbrooke",136,589,11,7,76,13,4,836,
24019,"Compton--Stanstead/Compton--Stanstead"," 619","Sainte-Catherine-de-Hatley",240,445,16,4,87,4,1,797,
24019,"Compton--Stanstead/Compton--Stanstead"," 620","Sainte-Catherine-de-Hatley",166,370,30,4,81,6,6,663,
24019,"Compton--Stanstead/Compton--Stanstead"," 621","Sherbrooke",199,335,23,4,93,8,12,674,
24019,"Compton--Stanstead/Compton--Stanstead"," 622","Sherbrooke",116,245,13,7,65,3,4,453,
24019,"Compton--Stanstead/Compton--Stanstead"," 623","Sherbrooke",136,344,11,6,68,3,5,573,
24019,"Compton--Stanstead/Compton--Stanstead"," 624","Cookshire-Eaton",212,380,24,4,87,5,4,716,
24019,"Compton--Stanstead/Compton--Stanstead"," 625","Sherbrooke",113,274,16,3,56,2,3,467,
24019,"Compton--Stanstead/Compton--Stanstead"," 626","Sherbrooke",219,422,29,2,92,7,7,778,
24019,"Compton--Stanstead/Compton--Stanstead"," 627","Sherbrooke",195,336,23,2,71,9,9,645,
24019,"Compton--Stanstead/Compton--Stanstead"," 628","Sherbrooke",151,200,14,0,69,1,3,438,
24019,"Compton--Stanstead/Compton--Stanstead"," 629","Sherbrooke",183,382,13,4,98,9,4,693,
24019,"Compton--Stanstead/Compton--Stanstead"," 630","Sherbrooke",189,308,14,5,112,8,3,639,
24019,"Compton--Stanstead/Compton--Stanstead"," 631","Sherbrooke",191,354,16,7,127,9,3,707,
24019,"Compton--Stanstead/Compton--Stanstead"," 632","Sherbrooke",204,305,9,12,124,5,5,664,
24019,"Compton--Stanstead/Compton--Stanstead"," 633","Sherbrooke",188,324,12,4,92,6,6,632,
24019,"Compton--Stanstead/Compton--Stanstead"," 634","Sherbrooke",175,301,19,6,88,5,9,603,
24019,"Compton--Stanstead/Compton--Stanstead"," 635","Sherbrooke",256,416,20,5,99,7,8,811,
24019,"Compton--Stanstead/Compton--Stanstead"," 636","Ascot Corner",264,371,15,2,107,8,4,771,
24019,"Compton--Stanstead/Compton--Stanstead"," 637","Sherbrooke",75,498,25,8,103,11,1,721,
24019,"Compton--Stanstead/Compton--Stanstead"," 638","Sherbrooke",76,484,42,5,97,7,4,715,
24019,"Compton--Stanstead/Compton--Stanstead"," 639","Sherbrooke",131,237,13,4,52,11,5,453,
24019,"Compton--Stanstead/Compton--Stanstead",,Group 1/Groupe 1, 179,455,57,9,110,30,37,877,123
24019,"Compton--Stanstead/Compton--Stanstead",,Group 2/Groupe 2, 214,459,21,5,112,10,23,844,
