Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric-Abel Baland,Ariane Charbonneau,Vincent Leroux,George Mogiljansky,Karine Steinberger,Tim Watchorn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 186B","Saint-Colomban",Combined with No./Résultats combinés à ceux du n°187B,,,,,,,,239
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 187A","Saint-Colomban",10,70,70,3,7,55,0,215,305
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 187B","Saint-Colomban",6,75,70,3,6,57,4,221,290
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 188","Saint-Colomban",5,98,57,1,4,43,3,211,519
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 189","Saint-Colomban",3,87,84,5,5,70,6,260,600
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 190","Saint-Colomban",4,116,69,6,1,51,8,255,493
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 191","Saint-Colomban",5,104,65,2,4,64,9,253,543
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 192","Saint-Colomban",5,69,77,6,3,55,8,223,563
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 193","Saint-Colomban",5,50,54,0,3,36,2,150,350
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 194","Saint-Colomban",8,95,74,1,5,67,6,256,542
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 195","Saint-Colomban",5,94,55,2,2,60,4,222,545
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 500","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°66A,,,,,,,,16
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 501A","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°66A,,,,,,,,104
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 501B","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°66B,,,,,,,,105
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 502","Mobile poll/Bureau itinérant",1,9,5,2,2,13,2,34,94
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,42
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 504","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°65A,,,,,,,,5
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,90
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 506","Mobile poll/Bureau itinérant",5,12,3,1,0,28,1,50,84
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,21
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 508","Saint-Sauveur",3,48,2,0,2,109,1,165,130
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 509","Saint-Sauveur",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,15
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 510","Saint-Sauveur",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,19
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 511","Saint-Sauveur",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,47
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 512","Saint-Sauveur",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,111
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 513","Mobile poll/Bureau itinérant",1,12,2,1,0,28,3,47,42
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,47
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 515","Mobile poll/Bureau itinérant",2,8,4,0,2,13,2,31,49
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,9
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 600","Chertsey",6,300,92,8,12,253,12,683,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 601","Chertsey",14,323,112,7,16,257,14,743,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 602","Sainte-Marguerite-du-Lac-Masson",10,271,92,1,10,304,1,689,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 603","Sainte-Marguerite-du-Lac-Masson",12,197,74,4,7,248,2,544,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 604","Sainte-Adèle",21,395,123,4,17,452,10,1022,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 605","Saint-Calixte",18,365,159,8,15,219,23,807,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 606","Saint-Calixte",14,231,108,5,8,122,7,495,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 607","Saint-Hippolyte",17,350,167,5,8,423,12,982,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 608","Saint-Hippolyte",24,374,161,6,7,342,6,920,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 609","Saint-Hippolyte",12,300,156,8,16,295,15,802,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 610","Prévost",11,304,90,1,7,301,3,717,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 611","Piedmont",8,324,132,6,12,745,8,1235,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 612","Sainte-Adèle",27,393,108,6,11,592,12,1149,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 613","Sainte-Adèle",20,302,83,10,12,362,6,795,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 614","Sainte-Adèle",19,318,103,9,4,508,9,970,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 615","Saint-Sauveur",9,200,56,10,6,469,21,771,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 616","Piedmont",Combined with No./Résultats combinés à ceux du n°611,,,,,,,,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 617","Prévost",10,282,78,0,8,306,10,694,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 618","Prévost",14,316,109,2,4,424,4,873,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 619","Prévost",20,465,201,4,12,524,10,1236,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 620","Sainte-Anne-des-Lacs",13,184,78,4,4,351,2,636,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 621","Sainte-Anne-des-Lacs",10,181,53,3,2,364,3,616,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 622","Saint-Sauveur",16,316,124,2,6,594,6,1064,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 623","Saint-Sauveur",27,311,107,9,15,641,7,1117,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 624","Saint-Sauveur",9,268,100,5,7,647,15,1051,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 625","Morin-Heights",17,251,122,8,14,698,6,1116,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 626","Saint-Adolphe-d'Howard",20,261,82,5,9,427,6,810,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 627","Saint-Adolphe-d'Howard",Combined with No./Résultats combinés à ceux du n°626,,,,,,,,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 628","Wentworth-Nord",11,164,77,9,4,322,6,593,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 629","Mille-Isles",7,168,65,5,3,514,0,762,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 630","Saint-Colomban",21,330,125,5,7,269,9,766,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 631","Saint-Colomban",18,327,182,6,17,335,12,897,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 632","Saint-Colomban",18,383,208,10,11,370,7,1007,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 633","Saint-Colomban",18,346,166,5,6,301,13,855,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 634","Gore",7,171,112,6,8,356,3,663,
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut",,Group 1/Groupe 1, 30,271,170,9,20,510,50,1060,157
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut",,Group 2/Groupe 2, 17,345,138,7,11,748,30,1296,
