Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Hafiz Muneeb Ahmad,Shafqat Ali,Jayesh Brahmbhatt,Mike Dancy,Avi Dhaliwal,Tim Iqbal,Teresa Yeh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 126","Brampton",2,47,1,1,0,51,2,0,104,296
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 127","Brampton",2,60,0,3,0,55,3,2,125,324
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 128","Brampton",2,69,6,0,0,45,0,2,124,316
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 129","Brampton",0,82,5,1,3,78,5,2,176,445
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 130","Brampton",0,79,3,6,3,82,1,1,175,386
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 131","Brampton",0,75,0,1,3,89,4,3,175,499
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 132","Brampton",0,75,0,1,0,82,4,0,162,367
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 133","Brampton",2,89,0,0,1,94,8,1,195,434
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 134","Brampton",0,97,1,4,0,89,4,0,195,435
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 135","Brampton",0,68,0,1,2,91,10,0,172,457
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 136","Brampton",3,80,0,1,3,69,5,3,164,433
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 137","Brampton",0,58,5,2,1,70,5,5,146,337
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 138","Brampton",1,81,2,3,1,73,4,1,166,348
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 139","Brampton",1,86,0,1,0,56,7,3,154,372
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 140","Brampton",1,95,3,1,0,55,5,4,164,436
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 141","Brampton",0,74,1,1,1,80,3,0,160,402
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 142","Brampton",0,78,2,1,2,86,9,1,179,419
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 143","Brampton",1,69,3,4,3,57,2,3,142,373
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 144","Brampton",0,71,4,1,0,43,8,0,127,344
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 145","Brampton",1,51,0,1,0,64,6,2,125,288
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 146","Brampton",0,40,2,0,0,71,6,6,125,289
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 147","Brampton",0,70,3,1,0,104,6,0,184,429
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 148","Brampton",2,56,2,3,0,96,2,1,162,339
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 149","Brampton",0,72,2,0,0,60,4,2,140,330
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 150","Brampton",1,79,3,4,0,91,1,1,180,424
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 151","Brampton",0,63,2,1,0,58,11,2,137,433
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 152","Brampton",0,75,2,3,2,67,10,0,159,489
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 153","Brampton",0,78,0,6,0,89,6,0,179,453
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 154","Brampton",1,80,1,1,2,105,10,0,200,367
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 155A","Brampton",0,44,1,1,0,44,3,2,95,313
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 155B","Brampton",0,34,0,0,0,36,4,0,74,315
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 400","Brampton",2,61,1,2,0,37,1,0,104,313
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 401","Brampton",2,40,2,0,3,42,0,2,91,287
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 402","Brampton",1,55,1,2,0,22,4,1,86,303
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 403","Brampton",1,49,3,0,0,39,4,0,96,280
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 404","Brampton",0,81,0,4,6,52,8,0,151,388
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 405","Brampton",2,80,0,1,0,67,9,2,161,450
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 406","Brampton",1,64,2,0,2,40,2,2,113,403
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 407","Brampton",2,64,0,2,2,45,3,1,119,323
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 408","Brampton",0,45,3,1,2,46,0,2,99,289
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 409","Brampton",0,49,1,4,0,33,2,0,89,244
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 410","Brampton",0,60,3,2,0,38,4,2,109,346
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 411","Brampton",0,46,5,1,0,67,2,0,121,395
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 412","Brampton",0,37,0,1,0,30,3,0,71,228
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 413","Brampton",1,50,2,1,1,27,1,0,83,261
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 414","Brampton",0,29,2,1,1,21,2,1,57,233
