Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ifra Baig,Dympna Carolan,Malalai Halimi,Jeffrey Halsall,Viktor Karklins,Kyle Seeback,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Dufferin--Caledon/Dufferin--Caledon"," 614","Caledon",18,11,530,2,24,558,2,1145,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 615","Caledon",6,7,273,2,8,390,1,687,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 616","Caledon",11,18,695,1,22,1019,9,1775,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 617","Caledon",6,3,249,1,5,346,4,614,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 618","Caledon",11,13,549,0,12,642,2,1229,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 619","Caledon",13,10,450,2,13,794,10,1292,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 620","Caledon",11,23,735,7,31,1051,1,1859,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 621","Caledon",12,17,489,6,19,1011,3,1557,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 622","Caledon",22,13,685,6,36,1047,1,1810,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 623","Caledon",8,19,369,1,13,896,4,1310,
35025,"Dufferin--Caledon/Dufferin--Caledon",,Group 1/Groupe 1, 8,3,342,1,13,265,34,666,264
35025,"Dufferin--Caledon/Dufferin--Caledon",,Group 2/Groupe 2, 31,15,1219,6,44,1230,22,2567,
