Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Guillaume Deschênes-Thériault,Nancy Mercier,Michel Morin,Daisy Petersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,25
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 513","Mobile poll/Bureau itinérant",35,3,6,1,1,46,40
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 514","Mobile poll/Bureau itinérant",31,1,7,0,0,39,27
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,11
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,15
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 517","Mobile poll/Bureau itinérant",17,0,8,2,0,27,27
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,27
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,14
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,22
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 521","Mobile poll/Bureau itinérant",38,2,17,1,0,58,64
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 522","Mobile poll/Bureau itinérant",39,3,13,2,3,60,128
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,56
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,22
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,31
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 526","Mobile poll/Bureau itinérant",53,1,14,0,3,71,70
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 527","Mobile poll/Bureau itinérant",22,1,9,0,1,33,37
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 528","Mobile poll/Bureau itinérant",76,3,31,2,3,115,156
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 529","Edmundston",Combined with No./Résultats combinés à ceux du n°98,,,,,,0
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 530","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 531","Mobile poll/Bureau itinérant",37,1,22,1,3,64,81
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,21
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,29
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 534","Mobile poll/Bureau itinérant",32,4,17,3,0,56,56
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,10
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 536","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,42
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,61
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 538","Mobile poll/Bureau itinérant",40,7,32,3,1,83,53
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 539","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,48
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 540","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,9
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 541","Mobile poll/Bureau itinérant",26,2,13,0,0,41,30
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 600","Charlo",432,11,260,42,4,749,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 601","Eel River 3--Indian Ranch",42,2,14,7,0,65,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 602","Dalhousie",697,27,340,68,6,1138,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 603","Eel River Crossing",701,35,405,34,16,1191,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 604","Atholville",512,15,200,17,0,744,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 605","Campbellton",682,29,313,64,9,1097,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 606","Atholville",581,30,362,40,5,1018,
