Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Iain Black,Lewis Clarke Dahlby,Laura Dupont,Michael Peter Glenister,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 71B","Coquitlam",28,1,5,1,29,0,64,241
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 72A","Coquitlam",30,3,5,0,19,0,57,295
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 72B","Coquitlam",33,1,1,0,20,0,55,233
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 73A","Port Coquitlam",35,1,4,3,18,0,61,272
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 73B","Port Coquitlam",46,1,1,0,17,1,66,258
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 74A","Port Coquitlam",45,1,8,1,48,0,103,297
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 74B","Port Coquitlam",32,1,4,0,28,1,66,252
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 75","Coquitlam",36,2,5,1,73,1,118,475
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 76","Coquitlam",85,2,10,2,57,0,156,502
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 77","Port Coquitlam",71,1,21,1,56,0,150,405
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 78","Port Coquitlam",42,1,23,2,75,1,144,491
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 79A","Port Coquitlam",45,2,7,0,41,0,95,307
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 79B","Port Coquitlam",36,0,9,1,40,0,86,247
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 80","Coquitlam",92,2,12,0,81,0,187,529
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 81A","Port Coquitlam",25,0,3,2,40,0,70,251
