Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jag Anand,Rajesh Angral,Scott Calverley,Amanpreet S. Gill,Hafeez Malik,Minesh Patel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Calgary Skyview/Calgary Skyview"," 109","Calgary",6,5,1,110,82,7,0,211,681
48014,"Calgary Skyview/Calgary Skyview"," 110","Calgary",9,4,1,78,86,5,0,183,620
48014,"Calgary Skyview/Calgary Skyview"," 111","Calgary",4,5,1,93,103,8,1,215,701
48014,"Calgary Skyview/Calgary Skyview"," 112","Calgary",3,6,0,98,83,3,1,194,581
48014,"Calgary Skyview/Calgary Skyview"," 113","Calgary",9,5,0,122,66,4,0,206,724
48014,"Calgary Skyview/Calgary Skyview"," 114A","Calgary",2,3,4,80,61,3,1,154,424
48014,"Calgary Skyview/Calgary Skyview"," 114B","Calgary",2,6,1,74,55,5,1,144,446
48014,"Calgary Skyview/Calgary Skyview"," 115A","Calgary",1,4,3,71,53,1,1,134,423
48014,"Calgary Skyview/Calgary Skyview"," 115B","Calgary",1,2,1,84,55,5,2,150,453
48014,"Calgary Skyview/Calgary Skyview"," 116","Calgary",4,4,1,71,89,5,2,176,734
48014,"Calgary Skyview/Calgary Skyview"," 117A","Calgary",3,5,1,56,67,6,0,138,417
48014,"Calgary Skyview/Calgary Skyview"," 117B","Calgary",5,2,4,74,72,9,1,167,461
48014,"Calgary Skyview/Calgary Skyview"," 118","Calgary",7,8,1,85,68,5,1,175,677
48014,"Calgary Skyview/Calgary Skyview"," 119","Calgary",6,4,1,83,97,5,0,196,634
48014,"Calgary Skyview/Calgary Skyview"," 120","Calgary",6,5,3,122,93,9,2,240,770
48014,"Calgary Skyview/Calgary Skyview"," 121A","Calgary",4,7,1,108,70,7,1,198,632
48014,"Calgary Skyview/Calgary Skyview"," 121B","Calgary",4,5,3,98,54,5,1,170,590
48014,"Calgary Skyview/Calgary Skyview"," 122A","Calgary",7,8,1,96,91,7,0,210,767
48014,"Calgary Skyview/Calgary Skyview"," 122B","Calgary",4,4,0,138,68,7,0,221,733
48014,"Calgary Skyview/Calgary Skyview"," 123","Calgary",0,0,1,44,27,0,0,72,265
48014,"Calgary Skyview/Calgary Skyview"," 124","Calgary",2,2,2,94,91,1,0,192,608
48014,"Calgary Skyview/Calgary Skyview"," 125","Calgary",5,6,0,52,79,4,0,146,443
48014,"Calgary Skyview/Calgary Skyview"," 126","Calgary",1,2,0,73,87,4,0,167,548
48014,"Calgary Skyview/Calgary Skyview"," 127","Calgary",6,7,2,82,85,3,0,185,655
48014,"Calgary Skyview/Calgary Skyview"," 128","Calgary",9,0,0,71,71,1,0,152,593
48014,"Calgary Skyview/Calgary Skyview"," 129","Calgary",3,1,0,70,67,1,2,144,561
48014,"Calgary Skyview/Calgary Skyview"," 130","Calgary",7,6,0,88,92,0,2,195,639
48014,"Calgary Skyview/Calgary Skyview"," 400","Mobile poll/Bureau itinérant",2,4,5,103,41,1,4,160,141
48014,"Calgary Skyview/Calgary Skyview"," 401","Calgary",Combined with No./Résultats combinés à ceux du n°83,,,,,,,,343
48014,"Calgary Skyview/Calgary Skyview"," 402","Calgary",Combined with No./Résultats combinés à ceux du n°103,,,,,,,,334
48014,"Calgary Skyview/Calgary Skyview"," 403","Calgary",Combined with No./Résultats combinés à ceux du n°107,,,,,,,,417
48014,"Calgary Skyview/Calgary Skyview"," 500","Mobile poll/Bureau itinérant",1,4,3,34,24,0,7,73,76
48014,"Calgary Skyview/Calgary Skyview"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,71
48014,"Calgary Skyview/Calgary Skyview"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,,,118
48014,"Calgary Skyview/Calgary Skyview"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,135
48014,"Calgary Skyview/Calgary Skyview"," 504","Mobile poll/Bureau itinérant",0,10,5,80,35,3,5,138,123
48014,"Calgary Skyview/Calgary Skyview"," 505","Mobile poll/Bureau itinérant",5,4,6,40,49,1,4,109,118
48014,"Calgary Skyview/Calgary Skyview"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,111
48014,"Calgary Skyview/Calgary Skyview"," 507","Mobile poll/Bureau itinérant",0,8,9,72,32,5,7,133,428
48014,"Calgary Skyview/Calgary Skyview"," 600","Calgary",13,43,19,1288,848,11,6,2228,
48014,"Calgary Skyview/Calgary Skyview"," 601","Calgary",9,55,21,1335,890,30,3,2343,
48014,"Calgary Skyview/Calgary Skyview"," 602","Calgary",30,52,28,1376,1024,86,5,2601,
48014,"Calgary Skyview/Calgary Skyview"," 603","Calgary",11,34,23,714,574,21,4,1381,
48014,"Calgary Skyview/Calgary Skyview"," 604","Calgary",10,19,10,746,445,9,2,1241,
48014,"Calgary Skyview/Calgary Skyview"," 605","Calgary",4,31,8,370,290,9,1,713,
48014,"Calgary Skyview/Calgary Skyview"," 606","Calgary",11,31,27,992,612,5,7,1685,
48014,"Calgary Skyview/Calgary Skyview"," 607","Calgary",4,48,17,829,536,4,5,1443,
48014,"Calgary Skyview/Calgary Skyview"," 608","Calgary",9,70,24,1277,838,32,4,2254,
48014,"Calgary Skyview/Calgary Skyview"," 609","Calgary",14,13,2,330,273,72,6,710,
48014,"Calgary Skyview/Calgary Skyview"," 610","Calgary",20,40,16,781,588,69,12,1526,
48014,"Calgary Skyview/Calgary Skyview"," 611","Calgary",68,48,10,1109,955,101,13,2304,
48014,"Calgary Skyview/Calgary Skyview"," 612","Calgary",50,53,13,843,809,127,19,1914,
48014,"Calgary Skyview/Calgary Skyview",,Group 1/Groupe 1, 8,51,10,615,465,4,59,1212,208
48014,"Calgary Skyview/Calgary Skyview",,Group 2/Groupe 2, 7,21,7,453,388,31,55,962,
