Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kathleen Code,Blair Herbert,Jeff Kibble,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 153","Mill Bay",3,21,26,54,0,104,242
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 154","Cowichan Valley A",3,33,28,32,1,97,340
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 155","Mill Bay",1,33,33,41,0,108,335
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 156","Mill Bay",3,31,25,32,0,91,320
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 157","Mill Bay",3,41,30,40,1,115,402
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 158","Mill Bay",3,24,38,50,1,116,305
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 158-1","Malahat 11",Combined with No./Résultats combinés à ceux du n°158,,,,,,106
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 159","Malahat",3,25,52,40,2,122,387
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 160","Millstream",8,33,81,37,1,160,382
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 161","Millstream",3,37,55,66,1,162,389
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 162","Highlands",7,47,55,72,0,181,357
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 163","Langford",4,26,51,26,0,107,368
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 164","Langford",6,46,80,43,0,175,382
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 165","Langford",1,66,84,40,2,193,647
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 166","Highlands",1,48,97,41,0,187,565
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 167","Langford",1,20,31,12,0,64,216
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 168","Highlands--Langford",3,62,79,18,1,163,502
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 169","Langford",2,44,71,46,1,164,509
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 170","Langford",2,46,37,36,1,122,421
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 171","Langford",4,35,57,27,1,124,514
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 172","Langford",1,23,46,20,1,91,251
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 173","Juan de Fuca (Part 1)",2,53,66,53,2,176,539
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 174","Langford",2,38,72,87,0,199,427
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 175","Langford",7,91,113,79,1,291,448
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 176","Langford",3,66,112,65,0,246,592
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 177","Langford",3,53,53,48,0,157,364
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 178A","Langford",3,50,50,38,1,142,371
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 178B","Langford",3,54,61,33,0,151,376
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 179","Langford",4,40,68,55,0,167,512
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 180","Langford",4,40,54,44,3,145,527
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 181","Langford",3,34,53,38,0,128,366
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 182","Langford",0,17,39,27,0,83,262
