Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeff Boudreault,Steve Charbonneau,Michelle Corcos,Zoé Larose,Jack McLeod,Louis Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Brome--Missisquoi/Brome--Missisquoi"," 192","Dunham",38,37,6,2,0,42,0,125,334
24014,"Brome--Missisquoi/Brome--Missisquoi"," 193","Dunham",38,57,2,1,1,48,1,148,381
24014,"Brome--Missisquoi/Brome--Missisquoi"," 194","Potton",31,25,2,0,0,70,0,128,413
24014,"Brome--Missisquoi/Brome--Missisquoi"," 195","Potton",24,50,5,6,2,51,2,140,338
24014,"Brome--Missisquoi/Brome--Missisquoi"," 196","Potton",24,38,1,1,3,33,1,101,303
24014,"Brome--Missisquoi/Brome--Missisquoi"," 197","Potton",15,26,1,2,0,52,1,97,361
24014,"Brome--Missisquoi/Brome--Missisquoi"," 198","Potton",17,52,2,4,1,28,0,104,374
24014,"Brome--Missisquoi/Brome--Missisquoi"," 199","Sutton",29,29,2,5,1,41,3,110,373
24014,"Brome--Missisquoi/Brome--Missisquoi"," 200","Sutton",43,13,4,3,0,86,2,151,449
24014,"Brome--Missisquoi/Brome--Missisquoi"," 201","Sutton",38,24,7,8,0,71,4,152,405
24014,"Brome--Missisquoi/Brome--Missisquoi"," 202","Sutton",20,23,6,7,2,43,3,104,326
24014,"Brome--Missisquoi/Brome--Missisquoi"," 203","Sutton",24,24,5,5,2,69,0,129,406
24014,"Brome--Missisquoi/Brome--Missisquoi"," 204","Sutton",32,24,2,4,5,58,0,125,446
24014,"Brome--Missisquoi/Brome--Missisquoi"," 205","Saint-Ignace-de-Stanbridge",43,40,1,4,3,70,2,163,279
24014,"Brome--Missisquoi/Brome--Missisquoi"," 206","Saint-Ignace-de-Stanbridge",49,45,2,2,0,59,1,158,257
24014,"Brome--Missisquoi/Brome--Missisquoi"," 207","Dunham",51,45,9,4,0,68,5,182,481
