Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jules Côté,Jeff Howe,John Kidder,Kevin Sinclair,Brad Vis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 603","Kent",44,522,14,9,552,3,1144,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 604","Chehalis 5",11,14,0,0,2,0,27,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 605","Squawkum Creek 3",2,3,0,0,1,0,6,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 606","Mission",11,81,5,0,157,0,254,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 607","Skweahm 10--Holachten 8",8,44,0,2,43,3,100,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 608","Mission",17,251,5,1,416,0,690,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 609","Mission",62,517,14,12,664,5,1274,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 610","Mission",66,438,11,5,533,1,1054,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 611","Mission",73,603,12,12,734,2,1436,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 612","Mission",78,684,25,10,781,6,1584,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 613","Mission",97,446,25,8,506,4,1086,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 614","Abbotsford",2,77,3,2,281,2,367,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 615","Matsqui Main 2",1,4,0,0,2,0,7,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 616","Langley",10,99,1,1,347,0,458,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 617","Abbotsford",26,351,7,3,404,3,794,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 618","Abbotsford",36,380,5,10,546,9,986,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 619","Abbotsford",46,535,3,11,1019,14,1628,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 620","Abbotsford",56,739,16,11,882,10,1714,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 621","Abbotsford",58,759,21,9,1073,6,1926,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 622","Abbotsford",79,679,17,8,936,6,1725,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 623","Abbotsford",51,712,13,19,988,2,1785,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 624","Abbotsford",39,742,18,7,1080,9,1895,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 625","Abbotsford",22,556,8,9,886,8,1489,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 626","Upper Sumas 6",2,8,0,0,4,0,14,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 627","Abbotsford",16,143,8,4,323,2,496,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 628","Abbotsford",2,36,1,0,74,0,113,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford",,Group 1/Groupe 1, 51,507,11,7,605,43,1224,251
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford",,Group 2/Groupe 2, 97,936,27,20,1290,56,2426,
