Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Collins,Robyn Kiki Eshkibok,Laura Mayer,Terry Sheehan,Hugh Stevenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 130","Sault Ste. Marie",0,1,10,102,86,2,201,461
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 131","Elliot Lake",2,2,20,49,42,0,115,441
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 132","Elliot Lake",1,1,9,50,63,0,124,419
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 133","Elliot Lake",0,0,17,38,52,1,108,349
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 134","Elliot Lake",0,0,7,47,33,0,87,269
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 135","Elliot Lake",0,0,15,50,60,0,125,445
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 136","Elliot Lake",0,2,13,51,55,1,122,488
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 137","Elliot Lake",2,4,8,54,90,0,158,448
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 138","Elliot Lake",0,2,12,44,31,0,89,347
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 139","Elliot Lake",1,3,14,39,60,0,117,421
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 140","Elliot Lake",2,4,24,48,50,0,128,456
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 141","Sault Ste. Marie",0,2,24,94,112,1,233,509
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 142","Sault Ste. Marie",0,1,6,41,68,1,117,246
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 143","Sault Ste. Marie",3,2,15,70,40,0,130,425
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 144","Sault Ste. Marie",0,5,12,47,37,0,101,355
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 145","Sault Ste. Marie",0,1,6,89,74,0,170,364
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 146","Sault Ste. Marie",0,1,22,64,105,0,192,392
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 147","Sault Ste. Marie",2,0,13,103,75,3,196,384
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 148","Sault Ste. Marie",1,0,9,83,58,1,152,355
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 149","Sault Ste. Marie",0,0,5,86,77,0,168,396
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 150","Sault Ste. Marie",0,0,8,87,111,1,207,442
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 151","Sault Ste. Marie",0,0,7,95,70,2,174,415
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 152","Sault Ste. Marie",0,0,12,65,40,0,117,334
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 153","Sault Ste. Marie",0,1,2,62,51,0,116,279
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 154","Sault Ste. Marie",0,1,16,78,68,1,164,400
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 155","Sault Ste. Marie",0,1,0,63,36,0,100,313
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 156","Sault Ste. Marie",2,2,12,55,44,0,115,392
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 157","Sault Ste. Marie",0,0,12,66,38,1,117,364
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 158","Sault Ste. Marie",0,1,9,68,61,0,139,336
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 159","Sault Ste. Marie",0,0,7,88,59,0,154,353
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 160","Sault Ste. Marie",0,2,11,77,61,0,151,324
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 161","Sault Ste. Marie",0,0,6,87,80,0,173,373
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 162","Sault Ste. Marie",0,2,5,62,41,1,111,283
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 163","Sault Ste. Marie",1,2,15,114,107,1,240,480
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 164","Sault Ste. Marie",0,1,9,73,77,0,160,403
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 165","Sault Ste. Marie",1,1,9,57,84,0,152,424
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 166","Sault Ste. Marie",2,4,11,58,76,1,152,433
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 167","Sault Ste. Marie",2,4,11,91,116,0,224,540
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 168","Sault Ste. Marie",0,0,12,61,101,0,174,480
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 169","Sault Ste. Marie",0,3,4,57,40,1,105,279
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 170","Sault Ste. Marie",0,3,15,49,74,0,141,417
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 171","Sault Ste. Marie",1,0,19,46,49,0,115,409
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 172","Sault Ste. Marie",0,6,15,41,37,0,99,349
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 173","Sault Ste. Marie",0,2,9,27,32,1,71,287
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 174","Sault Ste. Marie",0,2,18,61,58,1,140,323
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 175","Sault Ste. Marie",1,1,8,88,60,0,158,345
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 176","Sault Ste. Marie",0,3,13,108,87,1,212,408
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 177","Sault Ste. Marie",0,2,3,107,69,2,183,341
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 178","Sault Ste. Marie",0,1,6,82,52,0,141,294
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 179","Sault Ste. Marie",2,2,12,91,58,2,167,474
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 180","Sault Ste. Marie",1,1,12,111,59,0,184,398
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 181","Sault Ste. Marie",0,5,9,71,47,1,133,345
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 182","Sault Ste. Marie",0,1,7,99,58,1,166,375
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 183A","Sault Ste. Marie",0,5,20,75,47,1,148,496
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 183B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,32
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 184","Sault Ste. Marie",0,1,15,53,35,1,105,271
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 185","Sault Ste. Marie",0,0,8,37,34,1,80,310
