Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Réal Batrhino Martel,Nataël Bureau,Philippe D'Arcangeli,Henri Donascimento,Daniel Lebel,Éric Lefebvre,Alain Saint-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 96","Victoriaville",0,5,0,1,62,60,62,10,200,394
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 97","Victoriaville",1,4,3,0,47,93,66,8,222,465
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 98","Victoriaville",0,6,5,0,40,109,50,4,214,428
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 99","Victoriaville",0,5,1,1,45,118,57,4,231,463
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 100","Victoriaville",3,4,1,1,50,67,46,4,176,380
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 101","Victoriaville",2,8,1,2,38,60,34,3,148,378
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 102","Victoriaville",2,7,1,1,61,112,57,8,249,417
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 103","Victoriaville",3,2,3,2,68,92,67,5,242,425
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 104","Victoriaville",3,4,1,1,57,92,68,5,231,447
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 105","Victoriaville",1,2,1,0,51,99,56,4,214,412
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 106","Victoriaville",0,4,2,2,51,72,52,4,187,416
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 107","Victoriaville",0,6,1,2,49,104,73,6,241,465
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 108","Saint-Christophe-d'Arthabaska",2,2,1,0,43,57,51,2,158,376
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 109","Saint-Christophe-d'Arthabaska",0,2,1,3,52,99,39,6,202,444
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 110","Saint-Christophe-d'Arthabaska",1,1,5,0,38,101,40,2,188,451
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 111","Saint-Christophe-d'Arthabaska",2,2,0,0,34,114,51,8,211,468
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 112","Saint-Christophe-d'Arthabaska",1,0,3,0,37,59,30,2,132,329
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 113","Chesterville",0,4,7,0,79,106,57,4,257,389
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 114","Chesterville",0,5,2,0,65,71,47,4,194,312
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 115","Saint-Samuel",1,3,3,0,47,87,39,3,183,334
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 116","Saint-Samuel",3,7,5,0,50,72,45,3,185,306
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 117","Saint-Albert",0,4,2,2,45,99,38,2,192,401
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 118","Saint-Albert",0,0,4,2,46,100,25,7,184,353
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 119","Saint-Albert",0,8,4,0,36,93,56,9,206,435
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 120","Notre-Dame-de-Ham",4,5,2,3,61,82,40,8,205,349
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 121","Ham-Nord",2,3,6,0,36,63,43,1,154,332
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 122","Ham-Nord",1,5,9,1,52,65,57,2,192,403
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 123","Warwick",3,3,2,0,48,66,53,4,179,413
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 124","Warwick",1,3,4,0,28,108,38,1,183,371
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 125","Warwick",1,3,0,1,44,51,44,4,148,379
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 126","Warwick",1,5,1,0,47,75,57,0,186,403
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 127","Warwick",0,6,1,0,54,81,46,0,188,451
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 128","Warwick",2,2,0,0,49,53,40,2,148,359
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 129","Warwick",2,3,2,2,31,68,22,3,133,375
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 130","Warwick",1,1,1,1,42,50,35,3,134,379
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 131","Warwick",1,2,8,0,46,81,44,3,185,421
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 132","Warwick",2,2,3,0,60,68,54,1,190,315
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 133","Saints-Martyrs-Canadiens",1,3,5,0,43,38,45,0,135,250
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 134","Sainte-Clotilde-de-Horton",1,5,3,2,72,82,51,11,227,407
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 135","Sainte-Clotilde-de-Horton",1,10,4,2,55,119,60,4,255,450
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 136","Sainte-Clotilde-de-Horton",2,4,4,1,78,99,63,3,254,452
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 137","Sainte-Élisabeth-de-Warwick",2,5,4,1,48,114,42,6,222,415
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 138","Saint-Rémi-de-Tingwick",2,3,5,0,86,84,55,8,243,407
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 139","Tingwick",1,3,3,0,56,71,41,4,179,358
