Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Anderson,Leah Ellen Main,Anna Warwick Sears,Blair Visscher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 104A","North Okanagan B",63,2,87,1,0,153,300
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 104B","North Okanagan B",72,2,88,2,0,164,307
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 105","Mabel Lake",99,3,35,6,0,143,259
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 106","Coldstream",97,10,70,2,0,179,444
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 107","Coldstream",77,4,85,1,0,167,422
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 108","Coldstream",85,4,64,2,1,156,375
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 109","Coldstream",95,10,107,1,2,215,477
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 110","Coldstream",72,3,91,2,0,168,457
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 111","Coldstream",133,2,128,2,0,265,576
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 112","Coldstream",113,10,117,5,0,245,453
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 113","Coldstream",117,8,143,3,1,272,505
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 114","Coldstream",81,7,128,3,2,221,462
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 115","Coldstream",213,8,103,3,0,327,501
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 116","Coldstream",151,18,104,9,0,282,439
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 117","Coldstream",169,9,140,2,1,321,564
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 118","Coldstream",139,7,106,2,1,255,539
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 119","Coldstream",103,8,78,1,0,190,413
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 120","Coldstream",131,8,138,2,1,280,583
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 121","Coldstream",151,5,98,1,1,256,553
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 122","Coldstream",161,14,135,4,3,317,562
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 123","Coldstream",132,4,82,1,1,220,471
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 124","Coldstream",122,9,72,2,1,206,362
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 125","Lake Country",98,5,79,0,0,182,532
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 126","Lake Country",101,2,48,2,0,153,475
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 127","Lake Country",120,8,75,2,1,206,522
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 128","Lake Country",85,8,50,3,0,146,504
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 129","Trinity Valley",125,12,34,8,0,179,489
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 130","Lumby",119,6,44,4,0,173,518
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 131","Lumby",109,15,49,7,2,182,480
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 132","Lumby",88,6,22,1,0,117,404
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 133","Lumby",74,7,43,2,2,128,372
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 134","Lumby",117,6,42,6,0,171,481
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 135","Blue Springs",97,8,48,7,1,161,391
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 136","Lumby",121,4,35,5,0,165,411
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 137","Lumby",146,15,47,4,1,213,514
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 138A","Lake Country",87,1,39,1,0,128,320
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 138B","Lake Country",77,1,28,0,0,106,305
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 139A","Lake Country",60,3,35,0,0,98,319
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 139B","Lake Country",55,6,49,1,0,111,325
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 140","Lake Country",43,0,32,1,0,76,386
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 141","Lake Country",100,8,66,2,2,178,497
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 142","Lake Country",120,6,76,5,1,208,508
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 143","Lake Country",107,9,85,2,0,203,412
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 144","Lake Country",89,4,55,2,3,153,320
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 145","Oyama",100,9,61,6,0,176,457
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 146","Woodsdale",115,1,51,1,1,169,476
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 147","Lake Country",87,8,112,2,0,209,546
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 148","Lake Country",83,6,50,2,0,141,441
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 149","Lake Country",94,4,83,0,0,181,517
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 150","Lake Country",91,2,73,2,1,169,564
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 151","Lake Country",80,6,45,4,1,136,533
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 152","Lake Country",61,3,44,7,1,116,427
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 153","Lake Country",85,6,44,2,0,137,410
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 154A","Lake Country",63,3,30,1,0,97,309
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 154B","Lake Country",74,0,27,2,1,104,325
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 155","Lake Country",86,9,35,4,0,134,566
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 156A","Kelowna",54,7,34,6,0,101,338
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 156B","Kelowna",50,7,14,4,0,75,275
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 157A","Duck Lake 7",79,6,28,2,2,117,415
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 157B","Duck Lake 7",57,6,44,0,0,107,354
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 158A","Duck Lake 7",63,11,56,1,1,132,471
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 158B","Duck Lake 7",61,8,51,1,0,121,397
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 159","Cherryville",216,22,62,12,0,312,529
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 160","Cherryville",154,15,72,16,0,257,495
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 161","Lake Country",73,4,70,4,0,151,554
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 162","Lake Country",97,5,66,2,1,171,458
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 163","Lake Country",68,3,67,1,0,139,468
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 164","Lake Country",92,5,52,4,4,157,482
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 165","Kelowna",121,3,55,1,0,180,423
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 166","Kelowna",127,4,100,1,1,233,587
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 167","Ellison",137,5,89,0,0,231,571
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 168","Ellison",190,18,100,7,1,316,581
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 169","Ellison",116,13,84,2,0,215,494
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 170","Kelowna",94,1,39,1,0,135,366
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 171","Kelowna",177,8,85,6,0,276,434
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 172","Nakusp",82,10,30,8,1,131,433
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 173","Nakusp",49,12,29,6,1,97,355
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 174","Nakusp",88,12,48,4,0,152,434
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 175","Nakusp",75,20,53,5,0,153,417
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 176","Brouse",104,15,49,5,0,173,440
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 177","Edgewood",125,27,98,13,0,263,414
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 178","Hills",58,41,80,10,0,189,512
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 179","New Denver",24,18,42,11,0,95,265
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 180","Burton",145,28,114,18,0,305,560
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 181","Silverton",54,24,51,5,2,136,355
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 182","Slocan",63,24,65,9,1,162,274
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 183","Slocan",74,37,104,14,0,229,390
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 184","Vallican",49,21,39,7,1,117,420
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 185","Appledale",98,46,96,7,3,250,494
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 186","Winlaw",61,33,87,7,2,190,450
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 187","Winlaw",70,28,60,5,3,166,369
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 188","Slocan Park",38,20,36,7,1,102,493
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 189","Krestova",84,32,46,7,1,170,379
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 190","Crescent Valley",88,37,83,7,2,217,385
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 191","Crescent Valley",115,42,82,10,3,252,364
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 192","Krestova",Combined with No./Résultats combinés à ceux du n°191,,,,,,169
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 400","Mobile poll/Bureau itinérant",39,17,59,3,3,121,74
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 401","Mobile poll/Bureau itinérant",42,12,86,2,2,144,154
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 402","Coldstream",Combined with No./Résultats combinés à ceux du n°122,,,,,,3
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,64
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 501","Mobile poll/Bureau itinérant",40,17,50,2,0,109,80
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,56
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 503","Mobile poll/Bureau itinérant",31,8,30,1,1,71,71
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°401,,,,,,31
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 505","Vernon",Combined with No./Résultats combinés à ceux du n°40,,,,,,3
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,39
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 507","Mobile poll/Bureau itinérant",24,13,29,2,2,70,71
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 508","Mobile poll/Bureau itinérant",11,5,19,0,1,36,24
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,80
