Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 122","Saint-Jean-de-l'Île-d'Orléans",3,2,72,69,56,2,2,206,398
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 123","Sainte-Brigitte-de-Laval",2,0,42,94,24,1,3,166,377
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 124","Sainte-Brigitte-de-Laval",4,2,39,112,44,5,1,207,453
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 125","Sainte-Brigitte-de-Laval",5,1,44,110,40,1,3,204,437
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 126","Sainte-Brigitte-de-Laval",5,0,24,169,36,1,1,236,503
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 127","Sainte-Brigitte-de-Laval",3,0,63,135,43,6,5,255,600
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 128","Sainte-Brigitte-de-Laval",5,0,28,129,30,6,4,202,505
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 129","Sainte-Brigitte-de-Laval",0,2,38,77,22,0,2,141,348
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 130","Sainte-Brigitte-de-Laval",4,2,40,70,35,4,0,155,347
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 131","Sainte-Brigitte-de-Laval",0,2,34,65,20,2,6,129,335
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 132","L'Ange-Gardien",3,1,51,164,45,3,0,267,531
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 133","L'Ange-Gardien",6,2,57,54,34,1,1,155,375
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 134","L'Ange-Gardien",2,1,32,102,24,4,4,169,390
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 135","L'Ange-Gardien",5,1,43,65,30,2,2,148,352
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 136","L'Ange-Gardien",3,0,42,65,30,5,2,147,350
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 137","L'Ange-Gardien",2,1,48,47,31,3,4,136,368
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 138","L'Ange-Gardien",4,1,67,69,38,0,3,182,393
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 139","L'Ange-Gardien",4,1,61,74,37,4,3,184,456
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 140","Lac-Beauport",10,2,49,81,57,2,1,202,480
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 141","Lac-Beauport",2,0,12,48,25,3,0,90,236
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 142","Lac-Beauport",3,2,52,89,77,5,0,228,487
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 143","Lac-Beauport",5,5,63,127,97,5,3,305,610
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 144","Lac-Beauport",4,1,48,72,64,3,2,194,464
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 145","Lac-Beauport",2,3,84,99,98,5,6,297,589
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 146","Lac-Beauport",3,3,39,62,48,5,2,162,334
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 147","Lac-Beauport",3,0,56,87,80,1,5,232,534
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 148","Lac-Beauport",3,0,65,96,79,1,2,246,540
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 149","Lac-Beauport",1,0,47,93,73,3,2,219,474
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 150","Lac-Beauport",1,1,43,102,83,1,0,231,501
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 151","Lac-Beauport",4,0,53,75,74,3,0,209,449
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 152","Saint-Pierre-de-l'Île-d'Orléans",0,0,39,48,36,3,0,126,255
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 153","Saint-Pierre-de-l'Île-d'Orléans",2,1,36,45,34,1,0,119,261
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 154","Saint-Pierre-de-l'Île-d'Orléans",2,1,73,57,50,3,1,187,376
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 155","Saint-Pierre-de-l'Île-d'Orléans",2,0,42,44,17,2,0,107,268
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 156","Saint-Pierre-de-l'Île-d'Orléans",2,0,44,45,34,2,2,129,281
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 157","Boischatel",4,0,23,52,32,0,0,111,264
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 158","Boischatel",2,4,80,136,88,3,1,314,564
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 159","Boischatel",1,0,36,83,51,2,0,173,396
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 160","Boischatel",5,0,33,94,51,1,3,187,372
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 161","Boischatel",5,4,81,123,90,3,1,307,775
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 162","Boischatel",1,0,28,65,22,1,2,119,248
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 163","Boischatel",6,1,49,87,58,1,2,204,530
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 164","Boischatel",4,1,69,92,43,1,7,217,458
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 165","Boischatel",5,0,83,91,62,1,1,243,559
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 166","Boischatel",1,0,53,102,42,0,4,202,388
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 167","Boischatel",4,1,56,75,44,7,1,188,510
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 168","Boischatel",2,0,34,55,44,0,5,140,334
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 169","Boischatel",3,0,70,37,60,1,3,174,330
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 170","Boischatel",2,1,45,52,52,2,1,155,387
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 171","Boischatel",3,1,68,72,41,2,2,189,347
