Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grant Abraham,Blaine Calkins,Larry Gratton,Logan Hooley,Zarnab Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 155","Olds",11,121,0,13,6,0,151,576
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 156","Olds",3,117,7,18,4,0,149,511
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 157","Olds",4,126,2,16,4,0,152,518
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 158","Olds",7,144,11,33,4,1,200,559
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 159","Olds",6,102,3,22,5,1,139,414
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 160","Olds",5,116,3,27,5,0,156,510
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 161","Eagle Hill",3,154,6,16,4,0,183,492
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 162","Olds",1,131,4,32,9,1,178,601
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 163","Netook",8,144,9,21,0,2,184,463
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 164","Olds",5,147,6,25,3,1,187,604
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 165","Harmattan",14,179,4,14,4,1,216,542
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 166","Olds",5,146,7,8,3,0,169,549
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 167","Westcott",7,179,1,14,3,3,207,475
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 168","Didsbury",7,162,3,19,3,0,194,560
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 169","Didsbury",3,197,8,14,7,1,230,502
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 170","Didsbury",5,219,4,49,10,2,289,661
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 171","Didsbury",14,155,5,38,8,1,221,590
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 172","Didsbury",12,133,4,34,3,3,189,526
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 173","Didsbury",10,176,3,39,13,4,245,611
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 174","Didsbury",8,181,7,17,15,2,230,560
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 175","Didsbury",9,231,10,17,2,3,272,620
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 176","Mountain View County",4,170,6,27,6,0,213,550
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 177","Neapolis",7,196,7,8,4,4,226,500
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,35
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 501","Mobile poll/Bureau itinérant",4,75,2,15,1,0,97,73
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,15
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 503","Mobile poll/Bureau itinérant",6,59,1,13,2,5,86,74
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,40
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 505","Mobile poll/Bureau itinérant",7,63,5,13,3,9,100,44
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,2
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,12
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 508","Mobile poll/Bureau itinérant",3,33,1,4,1,1,43,35
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 509","Mobile poll/Bureau itinérant",6,101,4,6,5,1,123,124
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,34
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 511","Mobile poll/Bureau itinérant",3,59,1,7,1,2,73,63
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,24
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,49
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 514","Mobile poll/Bureau itinérant",8,39,5,6,2,1,61,28
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,2
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 516","Mobile poll/Bureau itinérant",1,40,2,3,2,0,48,52
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,16
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 518","Mobile poll/Bureau itinérant",5,52,9,7,3,0,76,74
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,11
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,64
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 521","Mobile poll/Bureau itinérant",4,75,5,10,3,5,102,96
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,8
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,23
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 524","Mobile poll/Bureau itinérant",8,60,5,6,2,1,82,53
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 600","Rimbey",29,862,9,56,12,1,969,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 601","Rimbey",45,1098,20,95,26,9,1293,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 602","Ponoka County",38,1059,13,117,27,6,1260,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 603","Ponoka",18,809,19,138,44,7,1035,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 604","Ponoka County",33,1082,15,95,18,6,1249,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 605","Mirror",25,631,10,53,12,1,732,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 606","Lacombe County",19,912,13,92,19,2,1057,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 607","Lacombe",47,991,17,196,35,9,1295,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 608","Lacombe",42,1012,17,246,43,16,1376,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 609","Lacombe",43,959,14,225,47,11,1299,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 610","Blackfalds",15,853,10,136,21,8,1043,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 611","Blackfalds",14,920,16,120,23,10,1103,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 612","Red Deer County",8,272,4,29,7,4,324,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 613","Eckville",1,246,2,26,5,3,283,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 614","Red Deer County",37,1226,12,157,34,7,1473,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 615","Sylvan Lake",54,1329,22,198,37,5,1645,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 616","Red Deer County",14,1085,19,154,30,6,1308,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 617","Red Deer County",25,1132,16,115,23,7,1318,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 618","Bowden",24,956,32,91,33,8,1144,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 619","Innisfail",32,1159,29,219,66,18,1523,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 620","Bowden",24,952,36,149,29,6,1196,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 621","Olds",58,1709,31,170,39,14,2021,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 622","Mountain View County",20,1268,53,168,52,18,1579,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 623","Mountain View County",58,942,22,102,23,11,1158,
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 624","Didsbury",53,761,20,134,37,4,1009,
48033,"Ponoka--Didsbury/Ponoka--Didsbury",,Group 1/Groupe 1, 10,660,13,105,17,66,871,185
48033,"Ponoka--Didsbury/Ponoka--Didsbury",,Group 2/Groupe 2, 28,1604,30,205,46,26,1939,
