Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wayne Baker,Kevin Kruchkywich,David Mackey,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Perth--Wellington/Perth--Wellington"," 44","North Perth",4,2,39,116,0,161,369
35085,"Perth--Wellington/Perth--Wellington"," 45","North Perth",0,5,34,140,1,180,343
35085,"Perth--Wellington/Perth--Wellington"," 46","Mapleton",6,4,27,95,1,133,338
35085,"Perth--Wellington/Perth--Wellington"," 47","Mapleton",1,8,58,122,1,190,432
35085,"Perth--Wellington/Perth--Wellington"," 48","Mapleton",4,6,32,123,0,165,419
35085,"Perth--Wellington/Perth--Wellington"," 49","Mapleton",3,2,39,121,1,166,456
35085,"Perth--Wellington/Perth--Wellington"," 50","Mapleton",3,5,53,144,1,206,465
35085,"Perth--Wellington/Perth--Wellington"," 51","Mapleton",0,6,19,93,1,119,318
35085,"Perth--Wellington/Perth--Wellington"," 52","Mapleton",2,3,9,71,0,85,339
35085,"Perth--Wellington/Perth--Wellington"," 53","Mapleton",4,5,52,105,1,167,441
35085,"Perth--Wellington/Perth--Wellington"," 54","Mapleton",1,0,9,45,0,55,200
35085,"Perth--Wellington/Perth--Wellington"," 55","Mapleton",4,5,33,113,0,155,397
35085,"Perth--Wellington/Perth--Wellington"," 56","Mapleton",5,5,22,69,1,102,441
35085,"Perth--Wellington/Perth--Wellington"," 57","Mapleton",1,2,11,37,0,51,435
35085,"Perth--Wellington/Perth--Wellington"," 58","North Perth",1,4,64,104,0,173,449
35085,"Perth--Wellington/Perth--Wellington"," 59","North Perth",2,3,25,71,0,101,302
35085,"Perth--Wellington/Perth--Wellington"," 60","North Perth",5,8,64,100,1,178,451
35085,"Perth--Wellington/Perth--Wellington"," 61","North Perth",3,14,82,104,1,204,562
35085,"Perth--Wellington/Perth--Wellington"," 62","North Perth",0,12,68,124,0,204,538
35085,"Perth--Wellington/Perth--Wellington"," 63","North Perth",2,6,48,100,0,156,528
35085,"Perth--Wellington/Perth--Wellington"," 64","North Perth",6,5,80,140,0,231,631
35085,"Perth--Wellington/Perth--Wellington"," 65","North Perth",10,9,56,132,3,210,567
35085,"Perth--Wellington/Perth--Wellington"," 66","North Perth",1,17,58,120,4,200,561
35085,"Perth--Wellington/Perth--Wellington"," 67","North Perth",2,9,76,113,0,200,500
35085,"Perth--Wellington/Perth--Wellington"," 68","North Perth",2,17,63,102,0,184,517
35085,"Perth--Wellington/Perth--Wellington"," 69","North Perth",11,13,52,125,1,202,573
35085,"Perth--Wellington/Perth--Wellington"," 70","North Perth",2,8,61,149,2,222,573
35085,"Perth--Wellington/Perth--Wellington"," 71","North Perth",4,2,82,130,1,219,560
35085,"Perth--Wellington/Perth--Wellington"," 72","North Perth",1,5,67,82,0,155,508
35085,"Perth--Wellington/Perth--Wellington"," 73","North Perth",1,6,36,84,1,128,412
35085,"Perth--Wellington/Perth--Wellington"," 74","North Perth",0,1,44,117,1,163,468
35085,"Perth--Wellington/Perth--Wellington"," 75","North Perth",4,8,52,167,0,231,379
35085,"Perth--Wellington/Perth--Wellington"," 76","North Perth",5,16,105,282,0,408,679
35085,"Perth--Wellington/Perth--Wellington"," 77","North Perth",2,2,32,140,1,177,376
35085,"Perth--Wellington/Perth--Wellington"," 78","North Perth",2,2,38,135,1,178,318
35085,"Perth--Wellington/Perth--Wellington"," 79","Perth East",4,2,19,78,0,103,380
35085,"Perth--Wellington/Perth--Wellington"," 80","Perth East",2,1,21,100,0,124,392
35085,"Perth--Wellington/Perth--Wellington"," 81","Millbank",1,3,25,49,0,78,287
35085,"Perth--Wellington/Perth--Wellington"," 82","Perth East",1,1,14,37,0,53,339
35085,"Perth--Wellington/Perth--Wellington"," 83","Perth East",2,11,37,57,0,107,329
35085,"Perth--Wellington/Perth--Wellington"," 84","Milverton",9,5,25,72,0,111,308
35085,"Perth--Wellington/Perth--Wellington"," 85","Perth East",3,9,48,89,0,149,357
35085,"Perth--Wellington/Perth--Wellington"," 86","Milverton",5,7,95,167,0,274,684
35085,"Perth--Wellington/Perth--Wellington"," 87A","Perth East",4,5,13,90,0,112,440
35085,"Perth--Wellington/Perth--Wellington"," 87B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,33
35085,"Perth--Wellington/Perth--Wellington"," 88","North Perth",4,14,58,298,3,377,569
35085,"Perth--Wellington/Perth--Wellington"," 89","West Perth",5,6,32,132,1,176,362
35085,"Perth--Wellington/Perth--Wellington"," 90","West Perth",3,3,17,123,1,147,334
35085,"Perth--Wellington/Perth--Wellington"," 91","Perth East",5,5,47,140,0,197,392
35085,"Perth--Wellington/Perth--Wellington"," 92","Perth East",6,4,57,135,0,202,340
35085,"Perth--Wellington/Perth--Wellington"," 93","West Perth",4,5,43,105,1,158,462
35085,"Perth--Wellington/Perth--Wellington"," 94","West Perth",2,8,63,134,2,209,561
35085,"Perth--Wellington/Perth--Wellington"," 95","West Perth",5,18,51,106,0,180,514
35085,"Perth--Wellington/Perth--Wellington"," 96","West Perth",10,12,55,107,0,184,544
35085,"Perth--Wellington/Perth--Wellington"," 97","West Perth",4,10,48,117,0,179,510
35085,"Perth--Wellington/Perth--Wellington"," 98","West Perth",2,15,47,114,0,178,529
35085,"Perth--Wellington/Perth--Wellington"," 99","West Perth",1,5,53,106,0,165,557
