Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lux Burgess,Connie Cody,Manuel Couto,José de Lima,Bryan May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Cambridge/Cambridge"," 102B","Cambridge",2,57,0,6,76,0,141,232
35019,"Cambridge/Cambridge"," 103","Cambridge",4,93,1,10,107,0,215,508
35019,"Cambridge/Cambridge"," 104","Cambridge",5,93,0,7,90,0,195,512
35019,"Cambridge/Cambridge"," 105","Cambridge",9,105,2,6,85,1,208,524
35019,"Cambridge/Cambridge"," 106","Cambridge",2,63,2,6,75,0,148,466
35019,"Cambridge/Cambridge"," 107","Cambridge",2,53,0,5,60,2,122,444
35019,"Cambridge/Cambridge"," 108","Cambridge",5,116,0,6,70,2,199,415
35019,"Cambridge/Cambridge"," 109","Cambridge",3,90,2,5,71,2,173,453
35019,"Cambridge/Cambridge"," 110","Cambridge",1,149,0,9,68,3,230,507
35019,"Cambridge/Cambridge"," 111","Cambridge",7,110,0,5,99,1,222,516
35019,"Cambridge/Cambridge"," 112","Cambridge",4,116,1,19,49,0,189,601
35019,"Cambridge/Cambridge"," 113","Cambridge",1,120,0,12,77,1,211,499
35019,"Cambridge/Cambridge"," 114","Cambridge",2,109,3,17,74,3,208,559
35019,"Cambridge/Cambridge"," 115","Cambridge",7,136,2,13,92,4,254,550
35019,"Cambridge/Cambridge"," 116","Cambridge",9,134,0,15,91,0,249,517
35019,"Cambridge/Cambridge"," 117","Cambridge",7,108,1,8,71,2,197,461
35019,"Cambridge/Cambridge"," 118","Cambridge",5,99,0,12,75,0,191,507
35019,"Cambridge/Cambridge"," 119","Cambridge",5,76,0,2,96,1,180,469
35019,"Cambridge/Cambridge"," 120","Cambridge",4,111,0,4,114,1,234,443
35019,"Cambridge/Cambridge"," 121","Cambridge",4,143,1,9,98,0,255,533
35019,"Cambridge/Cambridge"," 122","Cambridge",4,158,0,9,112,2,285,552
35019,"Cambridge/Cambridge"," 123","Cambridge",4,99,1,13,99,0,216,502
35019,"Cambridge/Cambridge"," 124","Cambridge",2,93,0,6,116,5,222,471
35019,"Cambridge/Cambridge"," 125","Cambridge",8,113,1,9,121,2,254,548
35019,"Cambridge/Cambridge"," 126","Cambridge",8,110,0,9,91,1,219,461
35019,"Cambridge/Cambridge"," 127","Cambridge",4,107,0,9,92,0,212,502
35019,"Cambridge/Cambridge"," 128","Cambridge",11,82,2,11,86,1,193,473
35019,"Cambridge/Cambridge"," 129","Cambridge",6,97,0,5,84,0,192,522
35019,"Cambridge/Cambridge"," 130","Cambridge",7,112,0,5,81,2,207,532
35019,"Cambridge/Cambridge"," 131","Cambridge",1,78,0,3,91,1,174,470
35019,"Cambridge/Cambridge"," 132","Cambridge",4,91,1,5,103,0,204,525
35019,"Cambridge/Cambridge"," 133","Cambridge",6,73,0,7,113,0,199,526
35019,"Cambridge/Cambridge"," 134","Cambridge",4,116,0,2,93,2,217,527
35019,"Cambridge/Cambridge"," 135","Cambridge",1,120,0,16,88,1,226,517
35019,"Cambridge/Cambridge"," 136","Cambridge",0,101,0,3,109,0,213,570
35019,"Cambridge/Cambridge"," 137","Cambridge",6,82,1,9,87,0,185,425
35019,"Cambridge/Cambridge"," 138","Cambridge",4,82,0,7,70,1,164,483
35019,"Cambridge/Cambridge"," 139","Cambridge",4,112,1,5,81,0,203,475
35019,"Cambridge/Cambridge"," 140","Cambridge",2,114,0,10,109,2,237,591
35019,"Cambridge/Cambridge"," 141","Cambridge",4,110,0,9,68,0,191,476
35019,"Cambridge/Cambridge"," 142","Cambridge",4,147,0,7,95,2,255,541
35019,"Cambridge/Cambridge"," 143","Cambridge",2,156,0,12,112,3,285,527
35019,"Cambridge/Cambridge"," 144","Cambridge",5,126,1,8,124,0,264,542
35019,"Cambridge/Cambridge"," 145","Cambridge",1,182,1,6,97,2,289,599
35019,"Cambridge/Cambridge"," 146","Cambridge",4,216,0,7,93,2,322,620
35019,"Cambridge/Cambridge"," 147","Cambridge",3,182,0,11,92,3,291,561
35019,"Cambridge/Cambridge"," 148","Cambridge",6,134,0,5,92,2,239,514
35019,"Cambridge/Cambridge"," 149","Cambridge",2,158,0,7,103,1,271,501
35019,"Cambridge/Cambridge"," 150","Cambridge",3,111,0,10,65,0,189,535
35019,"Cambridge/Cambridge"," 151","Cambridge",7,108,2,13,75,1,206,468
35019,"Cambridge/Cambridge"," 152","Cambridge",5,124,1,11,107,2,250,507
35019,"Cambridge/Cambridge"," 153","Cambridge",5,139,1,14,100,0,259,584
35019,"Cambridge/Cambridge"," 154","Cambridge",6,117,0,18,84,1,226,544
35019,"Cambridge/Cambridge"," 155","Cambridge",5,57,0,5,40,3,110,534
35019,"Cambridge/Cambridge"," 156","Cambridge",3,111,0,8,58,1,181,466
35019,"Cambridge/Cambridge"," 157","Cambridge",5,51,1,10,64,2,133,490
35019,"Cambridge/Cambridge"," 158","Cambridge",1,109,0,5,80,0,195,536
35019,"Cambridge/Cambridge"," 159","Cambridge",2,107,0,2,94,1,206,523
35019,"Cambridge/Cambridge"," 160","Cambridge",2,122,1,12,102,0,239,528
35019,"Cambridge/Cambridge"," 161","Cambridge",2,141,1,11,95,0,250,559
35019,"Cambridge/Cambridge"," 162","Cambridge",2,125,0,9,101,3,240,552
35019,"Cambridge/Cambridge"," 163","Cambridge",5,134,2,11,90,1,243,566
35019,"Cambridge/Cambridge"," 164","Cambridge",6,160,0,9,119,1,295,571
35019,"Cambridge/Cambridge"," 165","Cambridge",5,158,2,11,138,4,318,613
35019,"Cambridge/Cambridge"," 166","Cambridge",3,183,0,8,116,0,310,611
35019,"Cambridge/Cambridge"," 167","Cambridge",2,77,1,0,59,1,140,359
35019,"Cambridge/Cambridge"," 168","North Dumfries",1,72,0,3,46,2,124,376
35019,"Cambridge/Cambridge"," 169","North Dumfries",1,94,0,3,39,1,138,221
35019,"Cambridge/Cambridge"," 170","North Dumfries",2,88,0,5,60,2,157,267
35019,"Cambridge/Cambridge"," 171","Cambridge",4,186,0,7,100,0,297,611
35019,"Cambridge/Cambridge"," 172","North Dumfries",1,128,0,7,71,1,208,398
35019,"Cambridge/Cambridge"," 173","North Dumfries",0,98,0,5,84,0,187,454
35019,"Cambridge/Cambridge"," 174","North Dumfries",4,140,1,5,76,0,226,404
35019,"Cambridge/Cambridge"," 175","North Dumfries",1,107,0,3,49,1,161,399
35019,"Cambridge/Cambridge"," 176","North Dumfries",6,92,0,4,49,3,154,436
35019,"Cambridge/Cambridge"," 177","North Dumfries",6,107,0,4,76,2,195,557
35019,"Cambridge/Cambridge"," 178","North Dumfries",5,77,0,8,67,0,157,544
35019,"Cambridge/Cambridge"," 179","North Dumfries",0,116,0,6,72,1,195,461
35019,"Cambridge/Cambridge"," 180","North Dumfries",6,123,0,5,92,1,227,575
35019,"Cambridge/Cambridge"," 181","North Dumfries",2,89,0,3,74,0,168,495
35019,"Cambridge/Cambridge"," 182","North Dumfries",3,92,0,6,89,2,192,581
35019,"Cambridge/Cambridge"," 183","North Dumfries",1,127,0,3,69,0,200,500
35019,"Cambridge/Cambridge"," 184","North Dumfries",6,120,0,8,110,1,245,558
35019,"Cambridge/Cambridge"," 185","North Dumfries",5,103,0,8,92,0,208,572
35019,"Cambridge/Cambridge"," 186","North Dumfries",3,82,0,4,56,1,146,441
35019,"Cambridge/Cambridge"," 400","Cambridge",Void/Supprimé,,,,,,,
35019,"Cambridge/Cambridge"," 401","Cambridge",Void/Supprimé,,,,,,,
35019,"Cambridge/Cambridge"," 402A","Cambridge",Combined with No./Résultats combinés à ceux du n°61A,,,,,,,58
