Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Isabel Dion,Angelo Iacono,Louis Ialenti,Jordan Larochelle,Ludovic Mbany,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 55","Laval",62,61,36,10,1,3,173,455
24004,"Alfred-Pellan/Alfred-Pellan"," 56","Laval",1,93,95,9,2,5,205,522
24004,"Alfred-Pellan/Alfred-Pellan"," 57","Laval",7,54,41,6,0,2,110,344
24004,"Alfred-Pellan/Alfred-Pellan"," 58","Laval",9,76,64,2,1,0,152,402
24004,"Alfred-Pellan/Alfred-Pellan"," 59","Laval",1,88,71,1,0,0,161,407
24004,"Alfred-Pellan/Alfred-Pellan"," 60","Laval",11,55,26,5,1,2,100,445
24004,"Alfred-Pellan/Alfred-Pellan"," 61","Laval",4,78,82,8,0,2,174,473
24004,"Alfred-Pellan/Alfred-Pellan"," 62","Laval",40,68,38,8,3,1,158,404
24004,"Alfred-Pellan/Alfred-Pellan"," 63","Laval",54,96,32,13,3,8,206,435
24004,"Alfred-Pellan/Alfred-Pellan"," 64A","Laval",9,16,7,3,2,3,40,120
24004,"Alfred-Pellan/Alfred-Pellan"," 64B","Laval",49,107,13,4,0,5,178,364
24004,"Alfred-Pellan/Alfred-Pellan"," 65","Laval",5,82,51,3,0,1,142,410
24004,"Alfred-Pellan/Alfred-Pellan"," 66","Laval",6,103,86,6,1,2,204,520
24004,"Alfred-Pellan/Alfred-Pellan"," 67","Laval",3,87,67,2,0,2,161,370
24004,"Alfred-Pellan/Alfred-Pellan"," 68","Laval",4,87,71,4,0,0,166,468
24004,"Alfred-Pellan/Alfred-Pellan"," 69","Laval",2,77,55,0,1,1,136,326
24004,"Alfred-Pellan/Alfred-Pellan"," 70","Laval",11,89,89,2,0,0,191,516
24004,"Alfred-Pellan/Alfred-Pellan"," 71A","Laval",13,54,52,3,0,0,122,326
24004,"Alfred-Pellan/Alfred-Pellan"," 71B","Laval",12,64,34,0,0,0,110,264
24004,"Alfred-Pellan/Alfred-Pellan"," 72","Laval",33,69,44,9,2,3,160,387
24004,"Alfred-Pellan/Alfred-Pellan"," 73","Laval",76,84,46,9,0,4,219,530
24004,"Alfred-Pellan/Alfred-Pellan"," 74","Laval",57,67,47,5,1,3,180,417
24004,"Alfred-Pellan/Alfred-Pellan"," 75","Laval",26,57,27,5,0,1,116,354
24004,"Alfred-Pellan/Alfred-Pellan"," 76","Laval",37,110,32,6,0,6,191,454
24004,"Alfred-Pellan/Alfred-Pellan"," 77","Laval",25,59,23,6,2,2,117,372
24004,"Alfred-Pellan/Alfred-Pellan"," 78","Laval",32,91,23,6,3,5,160,395
24004,"Alfred-Pellan/Alfred-Pellan"," 79","Laval",51,87,34,12,0,2,186,411
24004,"Alfred-Pellan/Alfred-Pellan"," 80","Laval",28,83,27,5,1,1,145,369
24004,"Alfred-Pellan/Alfred-Pellan"," 81","Laval",37,88,46,10,2,6,189,398
24004,"Alfred-Pellan/Alfred-Pellan"," 82","Laval",18,123,93,1,1,8,244,411
24004,"Alfred-Pellan/Alfred-Pellan"," 83","Laval",17,66,36,7,1,1,128,362
24004,"Alfred-Pellan/Alfred-Pellan"," 84","Laval",30,94,44,0,1,4,173,510
24004,"Alfred-Pellan/Alfred-Pellan"," 85","Laval",33,97,40,6,5,3,184,435
24004,"Alfred-Pellan/Alfred-Pellan"," 86","Laval",33,81,45,9,2,3,173,427
24004,"Alfred-Pellan/Alfred-Pellan"," 87","Laval",34,81,48,3,1,0,167,459
24004,"Alfred-Pellan/Alfred-Pellan"," 88","Laval",30,97,34,9,2,3,175,365
24004,"Alfred-Pellan/Alfred-Pellan"," 89","Laval",20,86,42,5,0,2,155,415
24004,"Alfred-Pellan/Alfred-Pellan"," 90","Laval",25,91,30,6,0,1,153,439
24004,"Alfred-Pellan/Alfred-Pellan"," 91","Laval",32,51,31,3,1,1,119,327
24004,"Alfred-Pellan/Alfred-Pellan"," 92","Laval",39,63,42,6,1,1,152,351
24004,"Alfred-Pellan/Alfred-Pellan"," 93","Laval",35,79,35,8,1,5,163,429
24004,"Alfred-Pellan/Alfred-Pellan"," 94","Laval",46,100,34,5,1,2,188,388
24004,"Alfred-Pellan/Alfred-Pellan"," 95","Laval",30,68,38,12,6,6,160,503
24004,"Alfred-Pellan/Alfred-Pellan"," 96","Laval",33,86,17,1,2,4,143,331
24004,"Alfred-Pellan/Alfred-Pellan"," 97","Laval",46,113,36,10,0,2,207,401
24004,"Alfred-Pellan/Alfred-Pellan"," 98","Laval",26,94,49,11,2,2,184,347
24004,"Alfred-Pellan/Alfred-Pellan"," 99","Laval",41,108,51,8,0,0,208,428
24004,"Alfred-Pellan/Alfred-Pellan"," 100","Laval",46,107,38,9,1,2,203,390
24004,"Alfred-Pellan/Alfred-Pellan"," 101","Laval",29,50,24,6,1,4,114,331
24004,"Alfred-Pellan/Alfred-Pellan"," 102","Laval",34,64,34,10,1,3,146,413
24004,"Alfred-Pellan/Alfred-Pellan"," 103","Laval",33,89,24,7,0,2,155,376
24004,"Alfred-Pellan/Alfred-Pellan"," 104","Laval",44,68,34,8,0,4,158,315
24004,"Alfred-Pellan/Alfred-Pellan"," 105","Laval",39,108,47,7,3,0,204,403
24004,"Alfred-Pellan/Alfred-Pellan"," 106","Laval",38,110,39,10,0,6,203,438
24004,"Alfred-Pellan/Alfred-Pellan"," 107","Laval",65,78,25,10,1,4,183,452
24004,"Alfred-Pellan/Alfred-Pellan"," 108","Laval",43,72,25,7,4,0,151,387
24004,"Alfred-Pellan/Alfred-Pellan"," 109","Laval",36,148,47,5,3,4,243,467
24004,"Alfred-Pellan/Alfred-Pellan"," 110","Laval",11,109,59,4,2,1,186,391
24004,"Alfred-Pellan/Alfred-Pellan"," 111","Laval",54,95,41,6,3,3,202,343
24004,"Alfred-Pellan/Alfred-Pellan"," 112","Laval",34,79,52,12,0,3,180,411
24004,"Alfred-Pellan/Alfred-Pellan"," 113","Laval",46,108,33,5,0,3,195,338
24004,"Alfred-Pellan/Alfred-Pellan"," 114","Laval",29,103,47,5,0,1,185,493
24004,"Alfred-Pellan/Alfred-Pellan"," 115","Laval",40,99,39,6,2,2,188,465
24004,"Alfred-Pellan/Alfred-Pellan"," 116","Laval",47,90,47,10,2,2,198,458
24004,"Alfred-Pellan/Alfred-Pellan"," 117","Laval",29,99,58,5,0,3,194,552
24004,"Alfred-Pellan/Alfred-Pellan"," 118","Laval",15,92,50,5,0,1,163,398
24004,"Alfred-Pellan/Alfred-Pellan"," 119","Laval",32,132,47,6,2,6,225,445
24004,"Alfred-Pellan/Alfred-Pellan"," 120","Laval",31,102,51,3,1,1,189,410
24004,"Alfred-Pellan/Alfred-Pellan"," 121","Laval",37,111,50,6,1,4,209,408
24004,"Alfred-Pellan/Alfred-Pellan"," 122","Laval",26,109,59,5,2,0,201,473
