Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ebrahim Astaraki,Vincent Ho,Majid Jowhari,Alison Lam,Joshua Sideris,Yan Wang,Juni Yeung,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"Richmond Hill South/Richmond Hill-Sud"," 463","Richmond Hill",Combined with No./Résultats combinés à ceux du n°466,,,,,,,,,226
35089,"Richmond Hill South/Richmond Hill-Sud"," 464","Richmond Hill",8,37,34,0,0,1,0,0,80,150
35089,"Richmond Hill South/Richmond Hill-Sud"," 465","Richmond Hill",Combined with No./Résultats combinés à ceux du n°464,,,,,,,,,126
35089,"Richmond Hill South/Richmond Hill-Sud"," 466","Richmond Hill",0,78,44,1,1,0,0,0,124,241
35089,"Richmond Hill South/Richmond Hill-Sud"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,16
35089,"Richmond Hill South/Richmond Hill-Sud"," 501","Mobile poll/Bureau itinérant",4,24,28,0,1,0,1,3,61,62
35089,"Richmond Hill South/Richmond Hill-Sud"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,40
35089,"Richmond Hill South/Richmond Hill-Sud"," 503","Mobile poll/Bureau itinérant",3,16,22,1,0,0,0,0,42,63
35089,"Richmond Hill South/Richmond Hill-Sud"," 600","Richmond Hill",15,766,667,9,3,0,1,6,1467,
35089,"Richmond Hill South/Richmond Hill-Sud"," 601","Richmond Hill",18,909,799,12,2,8,0,10,1758,
35089,"Richmond Hill South/Richmond Hill-Sud"," 602","Richmond Hill",16,776,698,5,3,6,4,7,1515,
35089,"Richmond Hill South/Richmond Hill-Sud"," 603","Richmond Hill",14,898,859,9,5,2,1,9,1797,
35089,"Richmond Hill South/Richmond Hill-Sud"," 604","Richmond Hill",21,662,581,9,3,1,0,7,1284,
35089,"Richmond Hill South/Richmond Hill-Sud"," 605","Richmond Hill",16,388,401,13,1,2,0,7,828,
35089,"Richmond Hill South/Richmond Hill-Sud"," 606","Richmond Hill",35,610,623,14,9,5,4,15,1315,
35089,"Richmond Hill South/Richmond Hill-Sud"," 607","Richmond Hill",19,702,671,9,2,0,1,9,1413,
35089,"Richmond Hill South/Richmond Hill-Sud"," 608","Richmond Hill",27,635,743,8,8,2,0,11,1434,
35089,"Richmond Hill South/Richmond Hill-Sud"," 609","Richmond Hill",14,838,679,10,3,3,0,19,1566,
35089,"Richmond Hill South/Richmond Hill-Sud"," 610","Richmond Hill",25,691,633,11,3,0,0,4,1367,
35089,"Richmond Hill South/Richmond Hill-Sud"," 611","Richmond Hill",8,778,603,4,5,0,1,0,1399,
35089,"Richmond Hill South/Richmond Hill-Sud"," 612","Richmond Hill",24,714,643,9,5,2,0,28,1425,
35089,"Richmond Hill South/Richmond Hill-Sud"," 613","Richmond Hill",42,881,835,12,1,1,0,19,1791,
35089,"Richmond Hill South/Richmond Hill-Sud"," 614","Richmond Hill",25,600,673,2,4,3,1,14,1322,
35089,"Richmond Hill South/Richmond Hill-Sud"," 615","Richmond Hill",12,639,449,5,1,0,0,5,1111,
35089,"Richmond Hill South/Richmond Hill-Sud"," 616","Markham",9,412,389,13,1,1,1,6,832,
35089,"Richmond Hill South/Richmond Hill-Sud",,Group 1/Groupe 1, 12,328,504,6,2,2,1,66,921,612
35089,"Richmond Hill South/Richmond Hill-Sud",,Group 2/Groupe 2, 22,888,884,21,4,3,2,43,1867,
