Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elvin Kao,Michael Ma,Sameer Qureshi,Peter Yuen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Markham--Unionville/Markham--Unionville"," 82","Markham",4,74,1,86,1,166,355
35058,"Markham--Unionville/Markham--Unionville"," 83","Markham",1,99,0,47,0,147,585
35058,"Markham--Unionville/Markham--Unionville"," 84","Markham",0,68,0,69,1,138,453
35058,"Markham--Unionville/Markham--Unionville"," 85","Markham",0,58,1,55,3,117,307
35058,"Markham--Unionville/Markham--Unionville"," 86","Markham",1,76,0,67,1,145,474
35058,"Markham--Unionville/Markham--Unionville"," 87","Markham",1,94,0,80,0,175,537
35058,"Markham--Unionville/Markham--Unionville"," 88","Markham",0,83,4,86,1,174,502
35058,"Markham--Unionville/Markham--Unionville"," 89","Markham",3,144,1,79,1,228,478
35058,"Markham--Unionville/Markham--Unionville"," 90","Markham",6,76,7,78,0,167,391
35058,"Markham--Unionville/Markham--Unionville"," 91","Markham",0,101,2,89,0,192,490
35058,"Markham--Unionville/Markham--Unionville"," 92","Markham",4,72,2,88,0,166,496
35058,"Markham--Unionville/Markham--Unionville"," 93","Markham",2,92,3,68,0,165,411
35058,"Markham--Unionville/Markham--Unionville"," 94","Markham",1,88,4,72,1,166,483
35058,"Markham--Unionville/Markham--Unionville"," 95","Markham",0,83,3,79,1,166,444
35058,"Markham--Unionville/Markham--Unionville"," 96","Markham",0,62,0,60,0,122,430
35058,"Markham--Unionville/Markham--Unionville"," 97","Markham",2,48,2,50,0,102,354
35058,"Markham--Unionville/Markham--Unionville"," 98","Markham",3,58,2,36,0,99,335
35058,"Markham--Unionville/Markham--Unionville"," 99","Markham",1,54,1,56,1,113,368
35058,"Markham--Unionville/Markham--Unionville"," 100","Markham",0,62,0,71,3,136,372
35058,"Markham--Unionville/Markham--Unionville"," 101","Markham",1,52,3,74,0,130,336
35058,"Markham--Unionville/Markham--Unionville"," 102","Markham",2,93,5,75,0,175,363
35058,"Markham--Unionville/Markham--Unionville"," 103","Markham",2,135,1,109,2,249,569
35058,"Markham--Unionville/Markham--Unionville"," 104","Markham",6,89,2,80,0,177,577
35058,"Markham--Unionville/Markham--Unionville"," 105","Markham",1,54,2,27,0,84,313
35058,"Markham--Unionville/Markham--Unionville"," 106","Markham",1,43,1,32,0,77,288
35058,"Markham--Unionville/Markham--Unionville"," 107","Markham",0,56,2,63,1,122,442
35058,"Markham--Unionville/Markham--Unionville"," 108","Markham",1,73,3,69,0,146,449
35058,"Markham--Unionville/Markham--Unionville"," 109","Markham",7,144,0,123,2,276,585
35058,"Markham--Unionville/Markham--Unionville"," 110","Markham",1,119,2,120,0,242,529
35058,"Markham--Unionville/Markham--Unionville"," 111","Markham",8,163,0,89,1,261,543
35058,"Markham--Unionville/Markham--Unionville"," 112","Markham",0,97,5,91,0,193,542
35058,"Markham--Unionville/Markham--Unionville"," 113","Markham",1,117,4,96,0,218,559
35058,"Markham--Unionville/Markham--Unionville"," 114","Markham",1,87,1,59,2,150,382
35058,"Markham--Unionville/Markham--Unionville"," 115","Markham",0,76,0,51,1,128,352
35058,"Markham--Unionville/Markham--Unionville"," 116","Markham",5,86,1,82,2,176,378
35058,"Markham--Unionville/Markham--Unionville"," 117","Markham",3,82,2,68,3,158,359
35058,"Markham--Unionville/Markham--Unionville"," 118","Markham",2,113,7,73,1,196,399
35058,"Markham--Unionville/Markham--Unionville"," 119","Markham",2,77,2,71,0,152,343
35058,"Markham--Unionville/Markham--Unionville"," 120","Markham",2,112,4,61,1,180,429
35058,"Markham--Unionville/Markham--Unionville"," 121","Markham",0,94,1,77,2,174,362
35058,"Markham--Unionville/Markham--Unionville"," 122","Markham",2,52,1,59,0,114,357
35058,"Markham--Unionville/Markham--Unionville"," 123","Markham",1,53,3,52,0,109,321
35058,"Markham--Unionville/Markham--Unionville"," 124","Markham",2,64,0,83,0,149,366
35058,"Markham--Unionville/Markham--Unionville"," 125A","Markham",2,87,4,91,3,187,465
35058,"Markham--Unionville/Markham--Unionville"," 125B","Markham",0,26,0,50,0,76,156
35058,"Markham--Unionville/Markham--Unionville"," 126A","Markham",2,97,3,84,2,188,297
35058,"Markham--Unionville/Markham--Unionville"," 126B","Markham",2,40,3,75,2,122,157
35058,"Markham--Unionville/Markham--Unionville"," 127A","Markham",0,90,3,61,1,155,432
35058,"Markham--Unionville/Markham--Unionville"," 127B","Markham",3,58,1,30,1,93,131
