Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Néhémie Dumay,Catherine Gauvin,Jean-Marc Lamothe,Jency Mercier,Abdelhaq Sari,Philippe Tessier,Dominique Théberge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Bourassa/Bourassa"," 54B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,15
24013,"Bourassa/Bourassa"," 55","Montréal",21,7,0,13,93,0,0,0,134,426
24013,"Bourassa/Bourassa"," 56","Montréal",19,9,0,16,71,0,0,1,116,419
24013,"Bourassa/Bourassa"," 57","Montréal",31,7,1,23,54,0,1,2,119,381
24013,"Bourassa/Bourassa"," 58","Montréal",31,7,3,14,82,0,0,5,142,394
24013,"Bourassa/Bourassa"," 59","Montréal",31,6,7,6,103,1,1,6,161,489
24013,"Bourassa/Bourassa"," 60","Montréal",25,3,5,13,91,1,0,3,141,472
24013,"Bourassa/Bourassa"," 61","Montréal",25,4,3,18,92,0,0,3,145,395
24013,"Bourassa/Bourassa"," 62","Montréal",24,4,0,16,57,0,0,4,105,351
24013,"Bourassa/Bourassa"," 63","Montréal",29,4,4,27,80,1,0,1,146,383
24013,"Bourassa/Bourassa"," 64","Montréal",38,8,1,32,95,0,0,3,177,363
24013,"Bourassa/Bourassa"," 65","Montréal",40,9,2,47,84,0,4,5,191,380
24013,"Bourassa/Bourassa"," 66","Montréal",38,11,0,34,85,0,2,4,174,422
24013,"Bourassa/Bourassa"," 67","Montréal",29,3,1,43,64,1,0,7,148,392
24013,"Bourassa/Bourassa"," 68","Montréal",32,4,3,37,72,0,1,4,153,454
24013,"Bourassa/Bourassa"," 69","Montréal",27,10,4,37,59,1,0,1,139,367
24013,"Bourassa/Bourassa"," 70","Montréal",13,13,0,22,43,2,1,3,97,321
24013,"Bourassa/Bourassa"," 71","Montréal",17,10,1,14,69,1,0,2,114,425
24013,"Bourassa/Bourassa"," 72","Montréal",38,10,0,6,93,0,1,2,150,424
24013,"Bourassa/Bourassa"," 73","Montréal",29,0,2,6,61,0,0,1,99,313
24013,"Bourassa/Bourassa"," 74","Montréal",34,12,2,12,84,0,0,2,146,354
24013,"Bourassa/Bourassa"," 75","Montréal",15,8,1,24,58,0,0,2,108,317
24013,"Bourassa/Bourassa"," 76","Montréal",24,10,1,21,83,0,2,5,146,344
24013,"Bourassa/Bourassa"," 77","Montréal",29,7,3,23,100,1,0,8,171,397
24013,"Bourassa/Bourassa"," 78","Montréal",32,13,1,14,82,0,1,5,148,418
24013,"Bourassa/Bourassa"," 79","Montréal",30,5,4,14,76,0,0,2,131,424
24013,"Bourassa/Bourassa"," 80","Montréal",28,7,3,21,68,0,0,0,127,389
24013,"Bourassa/Bourassa"," 81","Montréal",27,13,2,27,81,0,0,2,152,381
24013,"Bourassa/Bourassa"," 82","Montréal",24,7,4,21,73,0,1,4,134,363
24013,"Bourassa/Bourassa"," 83","Montréal",14,5,5,10,79,0,0,5,118,426
24013,"Bourassa/Bourassa"," 84","Montréal",17,3,0,19,59,0,1,11,110,372
24013,"Bourassa/Bourassa"," 85","Montréal",25,2,0,24,79,0,0,3,133,344
24013,"Bourassa/Bourassa"," 86","Montréal",44,21,1,32,146,3,0,8,255,508
24013,"Bourassa/Bourassa"," 87","Montréal",29,15,1,28,77,1,0,0,151,367
24013,"Bourassa/Bourassa"," 88","Montréal",24,4,2,13,77,1,1,8,130,411
24013,"Bourassa/Bourassa"," 89","Montréal",15,5,2,35,72,0,0,1,130,364
24013,"Bourassa/Bourassa"," 90","Montréal",28,12,1,10,82,0,1,2,136,333
24013,"Bourassa/Bourassa"," 91","Montréal",30,7,2,20,73,0,0,4,136,385
24013,"Bourassa/Bourassa"," 92","Montréal",39,7,1,12,105,0,0,5,169,393
24013,"Bourassa/Bourassa"," 93","Montréal",37,9,1,22,102,1,1,1,174,356
24013,"Bourassa/Bourassa"," 94","Montréal",21,7,0,17,117,1,0,1,164,382
24013,"Bourassa/Bourassa"," 95","Montréal",27,3,2,22,104,3,1,3,165,381
24013,"Bourassa/Bourassa"," 96","Montréal",51,10,2,14,131,2,0,3,213,605
24013,"Bourassa/Bourassa"," 97","Montréal",15,4,1,15,92,0,1,3,131,401
24013,"Bourassa/Bourassa"," 98","Montréal",27,11,4,33,88,0,0,0,163,396
24013,"Bourassa/Bourassa"," 99","Montréal",29,5,1,53,74,1,0,1,164,583
24013,"Bourassa/Bourassa"," 100","Montréal",12,8,1,17,72,1,0,2,113,342
24013,"Bourassa/Bourassa"," 101","Montréal",18,4,3,24,55,2,1,4,111,340
24013,"Bourassa/Bourassa"," 102","Montréal",19,9,4,21,37,0,0,1,91,330
24013,"Bourassa/Bourassa"," 103","Montréal",20,7,2,18,75,1,1,5,129,407
24013,"Bourassa/Bourassa"," 104","Montréal",14,7,3,10,88,0,1,0,123,402
24013,"Bourassa/Bourassa"," 105","Montréal",20,11,0,12,95,2,3,6,149,362
24013,"Bourassa/Bourassa"," 106","Montréal",28,7,0,18,113,0,2,7,175,426
24013,"Bourassa/Bourassa"," 107","Montréal",35,6,0,23,149,0,0,4,217,434
24013,"Bourassa/Bourassa"," 108","Montréal",15,12,3,34,94,0,0,2,160,386
24013,"Bourassa/Bourassa"," 109","Montréal",19,8,0,25,102,0,0,5,159,384
24013,"Bourassa/Bourassa"," 110","Montréal",28,3,4,18,64,0,0,4,121,349
24013,"Bourassa/Bourassa"," 111","Montréal",46,11,1,33,97,1,3,6,198,422
24013,"Bourassa/Bourassa"," 112","Montréal",30,7,2,12,84,1,2,4,142,386
24013,"Bourassa/Bourassa"," 113A","Montréal",20,2,0,20,70,1,1,3,117,349
24013,"Bourassa/Bourassa"," 113B","Montréal",4,4,2,10,23,1,1,5,50,195
24013,"Bourassa/Bourassa"," 114","Montréal",19,7,1,7,100,0,0,5,139,369
24013,"Bourassa/Bourassa"," 115","Montréal",19,14,2,29,79,1,0,4,148,371
24013,"Bourassa/Bourassa"," 116","Montréal",26,11,3,46,83,1,1,4,175,404
24013,"Bourassa/Bourassa"," 117","Montréal",33,18,1,33,106,1,3,1,196,476
24013,"Bourassa/Bourassa"," 118","Montréal",27,16,4,30,79,1,1,3,161,380
24013,"Bourassa/Bourassa"," 119","Montréal",14,2,1,20,50,2,1,1,91,341
24013,"Bourassa/Bourassa"," 120","Montréal",25,6,2,12,96,0,0,5,146,339
24013,"Bourassa/Bourassa"," 121","Montréal",36,11,8,20,135,3,0,5,218,483
24013,"Bourassa/Bourassa"," 122","Montréal",32,11,7,26,103,0,1,4,184,458
24013,"Bourassa/Bourassa"," 123","Montréal",36,12,0,11,115,3,0,3,180,388
24013,"Bourassa/Bourassa"," 124","Montréal",38,4,2,17,113,0,0,4,178,470
24013,"Bourassa/Bourassa"," 125","Montréal",27,12,0,9,140,2,2,6,198,501
24013,"Bourassa/Bourassa"," 126","Montréal",20,13,3,81,161,4,0,6,288,467
24013,"Bourassa/Bourassa"," 127","Montréal",17,5,2,32,64,1,3,4,128,422
24013,"Bourassa/Bourassa"," 128","Montréal",30,14,2,31,82,0,0,4,163,317
24013,"Bourassa/Bourassa"," 129","Montréal",30,4,5,11,106,1,2,2,161,441
24013,"Bourassa/Bourassa"," 130","Montréal",28,6,1,6,107,1,0,3,152,437
24013,"Bourassa/Bourassa"," 131","Montréal",20,5,5,12,73,2,1,2,120,351
24013,"Bourassa/Bourassa"," 132","Montréal",33,11,2,20,121,1,1,7,196,505
