Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Richard Bragdon,Vern Brundle,Liam MacDougall,Julian Moulton,Michael John Winter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 48","Stanley",94,2,7,46,4,1,154,360
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 49A","Fredericksburg",97,5,8,51,5,0,166,440
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 49B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,8
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 50","Royalton",96,3,3,32,2,4,140,315
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 51","Centreville",85,1,3,48,3,1,141,328
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 52","Florenceville",74,3,0,56,3,0,136,373
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 53","Oakland",89,1,5,37,2,0,134,271
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 54","Stickney",111,2,4,47,2,1,167,303
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 55","Durham Bridge",86,1,5,71,5,0,168,282
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 56","Durham Bridge",111,7,8,86,8,0,220,393
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 57","Nashwaak Village",107,5,5,72,7,1,197,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 58","Carlisle",128,1,7,41,5,0,182,411
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 59","Brighton",117,2,5,27,6,1,158,366
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 60","Simonds",113,1,4,55,4,0,177,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 61","Penniac",133,4,3,115,9,0,264,394
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 62","Penniac",147,0,7,115,6,2,277,474
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 63","Good Corner",144,4,3,59,3,0,213,374
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 64","Lakeville",116,4,8,60,9,1,198,373
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 65","Royal Road",85,2,4,43,5,0,139,292
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 66","McLeod Hill",116,3,8,77,6,0,210,361
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 67","McLeod Hill",116,2,3,72,6,0,199,447
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 68","Burtts Corner",64,1,3,37,4,0,109,311
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 69","Birdton",60,0,1,21,5,0,87,232
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 70","MacLean Settlement",104,1,2,37,5,0,149,386
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 71","Howland Ridge--Central Hainesville",84,4,1,35,1,0,125,253
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 72","Brewers Mills",110,1,1,17,4,0,133,356
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 73A","Hartland",97,1,3,34,3,0,138,425
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 73B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,5
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 74","Hartland",79,1,1,37,6,2,126,313
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 75","Somerville",99,2,1,33,1,1,137,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 76","Lower Brighton",123,2,7,27,3,1,163,387
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 77","Upper Stoneridge",83,1,5,16,1,0,106,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 78","Upper Keswick",118,9,8,38,4,0,177,426
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 79","Victoria Corner",94,1,1,29,5,0,130,391
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 80A","Waterville",88,2,1,28,2,2,123,368
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 80B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°115B,,,,,,,8
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 81","Nortondale",104,3,2,31,2,1,143,305
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 82","Nortondale",175,4,4,47,3,2,235,387
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 83","Lindsay",92,0,4,20,0,1,117,258
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 84","Belleville",79,1,0,22,3,1,106,268
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 85","Northampton",118,2,3,49,4,1,177,399
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 86","Northampton",76,1,1,28,4,1,111,258
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 87","Douglas",62,4,0,59,2,0,127,390
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 88","Jacksontown",90,1,3,29,3,0,126,309
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 89","Jacksonville",159,4,11,42,8,0,224,451
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 90","Bright",82,0,8,52,0,0,142,316
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 91","Bright",98,5,11,110,4,1,229,433
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 92","Keswick Ridge",86,5,5,79,1,0,176,462
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 93","McKeens Corner",53,5,7,40,1,0,106,281
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 94","Woodstock",106,1,0,54,0,0,161,411
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 95","Woodstock",117,4,1,57,2,2,183,523
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 96","Woodstock",69,3,1,59,4,2,138,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 97","Woodstock",52,0,2,77,3,0,134,453
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 98","Springfield",139,1,2,40,4,0,186,403
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 99","Woodstock",80,4,4,34,4,1,127,359
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 100","Woodstock",106,4,3,88,5,2,208,502
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 101","Woodstock",79,1,2,36,2,0,120,362
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 102","Hanwell",49,0,1,75,2,1,128,394
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 103","Hanwell",53,0,4,50,4,0,111,417
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 104","Hanwell",60,1,3,47,1,0,112,361
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 105","Hanwell",36,1,2,66,3,0,108,362
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 106","Hanwell",56,0,7,89,4,2,158,442
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 107","Hanwell",65,1,9,65,6,1,147,428
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 108","Hanwell",52,1,5,78,2,0,138,400
